EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FTA,NonShootingFoulsDrawn,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,DefTwoPtRebounds,DefTwoPtReboundPct,DefAtRimReboundPct,PenaltyOffPoss,ShortMidRangeFGM,PenaltyArc3FGA,FG2M,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,ShortMidRangeAssists,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,LongMidRangeFGM,PenaltyFtPoints,PtsUnassisted2s,LongMidRangeAssists,OffThreePtRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,Corner3FGA,SecondChanceFG2A,AtRimAssists,OffTwoPtRebounds,Travels,OffTwoPtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFtPoints,SecondChancePoints,HeaveAttempts,Fg2aBlocked,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,BlockedAtRim,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,DefensiveGoaltends,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,SelfOReb,SecondChanceFg3Pct,SecondChanceEfgPct,OffAtRimReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyCorner3Frequency,AtRimPctBlocked,FTDefRebounds,DefFTReboundPct,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,SecondChanceFg2Pct,SecondChanceAtRimAccuracy,SecondChanceArc3FGA,Corner3Assists,Corner3PctAssisted,SecondChanceArc3Frequency,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,OffShortMidRangeReboundPct,PenaltyArc3Accuracy,DefCorner3ReboundPct,Loose Ball Fouls,BlockedLongMidRange,3SecondViolations,Defensive 3 Seconds Violations,team_id,year,season,team_vs
105-1477-2067-297-920,1610612748,"Dan Majerle, Bruce Bowen, Eddie House, Alonzo Mourning, A.C. Green","Majerle, Bowen, House, Mourning, Green",105-1477-2067-297-920,MIA,141.0,1,2.0,3.0,5.0,4.0,1.0,9.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,7.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,0.5,1.0,1.0,0.75,0.7,0.5,1.0,1.0,0.5,1.0,91.91489361702128,14.0,17.75,14.0,17.75,0.25,0.25,0.5,1.0,1.0,0.5,0.5,1.0,0.41935,13.4,26.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2001,2000-01,False
105-1853-193-2067-258,1610612748,"Dan Majerle, Anthony Carter, Anthony Mason, Eddie House, Brian Grant","Majerle, Carter, Mason, House, Grant",105-1853-193-2067-258,MIA,136.0,1,2.0,-7.0,4.0,4.0,4.0,8.0,,4.0,,,4.0,,,,,7.0,,,,,,,,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,1.0,,84.70588235294117,20.75,13.25,20.75,13.25,,1.0,,,,,,,0.38275,19.175,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2001,2000-01,False
105-1853-193-2067-297,1610612748,"Dan Majerle, Anthony Carter, Anthony Mason, Eddie House, Alonzo Mourning","Majerle, Carter, Mason, House, Mourning",105-1853-193-2067-297,MIA,53.0,1,1.0,2.0,2.0,1.0,,3.0,1.0,,,1.0,1.0,,1.0,,2.0,,,,1.0,,,1.0,,2.0,,1.0,1.0,,,,,1.0,,,2.0,,,,,0.5,0.5,0.5,,,1.0,,81.50943396226415,13.5,26.0,13.5,26.0,0.5,,0.5,,,,0.5,,0.47795,7.9,24.4,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.47795,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2001,2000-01,False
105-1853-193-224-258,1610612748,"Dan Majerle, Anthony Carter, Anthony Mason, Eddie Jones, Brian Grant","Majerle, Carter, Mason, Jones, Grant",105-1853-193-224-258,MIA,617.0,2,10.0,-2.0,16.0,21.0,6.0,37.0,2.0,7.0,2.0,3.0,9.0,2.0,3.0,1.0,19.0,21.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,7.0,,7.0,8.0,2.0,,5.0,,4.0,2.0,1.0,19.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.75,0.7307692307692307,0.25,0.4,,0.7,,86.35332252836305,17.9375,15.714285714285714,16.875,14.714285714285714,0.16666666666666666,0.5833333333333334,0.25,0.6666666666666666,0.6666666666666666,0.5,0.25,0.6666666666666666,0.44031250000000005,18.08888888888889,24.5,7.0,0.7,1.0,5.0,1.0,,6.0,2.0,3.0,,5.0,4.0,2.0,,5.0,5.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.625,0.5,0.5,,,0.36456666666666665,0.2631578947368421,0.3125,1.0,5.0,1.0,8.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.5714285714285714,1.0,0.7142857142857143,0.7142857142857143,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2001,2000-01,False
105-1853-193-224-297,1610612748,"Dan Majerle, Anthony Carter, Anthony Mason, Eddie Jones, Alonzo Mourning","Majerle, Carter, Mason, Jones, Mourning",105-1853-193-224-297,MIA,28.0,1,,-2.0,1.0,1.0,,2.0,,1.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,102.85714285714286,16.0,12.0,16.0,12.0,,1.0,,,,,,,0.3469,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2001,2000-01,False
105-1853-193-258-297,1610612748,"Dan Majerle, Anthony Carter, Anthony Mason, Brian Grant, Alonzo Mourning","Majerle, Carter, Mason, Grant, Mourning",105-1853-193-258-297,MIA,402.0,2,7.0,-9.0,12.0,11.0,,23.0,,3.0,2.0,2.0,6.0,2.0,3.0,,12.0,21.0,6.0,,2.0,2.0,2.0,4.0,2.0,10.0,,1.0,3.0,4.0,,5.0,1.0,4.0,,,12.0,,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.8,,0.5,,82.38805970149254,18.333333333333332,16.545454545454547,16.333333333333332,15.272727272727273,,0.3333333333333333,0.2222222222222222,1.0,1.0,1.0,0.6666666666666666,1.0,0.5042555555555555,8.416666666666666,24.2,1.0,1.0,,,,,3.0,,,,,4.0,2.0,,,,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,,2.0,2.0,,2.0,1.0,1.0,2.0,1.0,1.0,,,4.0,1.0,,1.0,,,,,,,1.0,0.5,,,1.0,,0.6666666666666666,0.6666666666666666,0.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.1111111111111111,1.0,0.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2001,2000-01,False
105-1853-193-258-896,1610612748,"Dan Majerle, Anthony Carter, Anthony Mason, Brian Grant, Tim Hardaway","Majerle, Carter, Mason, Grant, Hardaway",105-1853-193-258-896,MIA,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2001,2000-01,False
105-1853-2067-258-297,1610612748,"Dan Majerle, Anthony Carter, Eddie House, Brian Grant, Alonzo Mourning","Majerle, Carter, House, Grant, Mourning",105-1853-2067-258-297,MIA,396.0,2,7.0,2.0,12.0,12.0,5.0,24.0,1.0,5.0,,2.0,9.0,,2.0,4.0,14.0,12.0,,,1.0,,,2.0,,4.0,,4.0,5.0,1.0,,1.0,1.0,2.0,5.0,,12.0,,,,,0.45454545454545453,0.5384615384615384,0.18181818181818182,1.0,,0.5714285714285714,,87.27272727272728,14.75,18.25,14.5,17.5,0.09090909090909091,0.45454545454545453,0.18181818181818182,,,,0.45454545454545453,,0.47760499999999995,10.544444444444444,32.35,4.0,0.6666666666666666,,3.0,,,5.0,1.0,1.0,,3.0,4.0,2.0,,3.0,3.0,0.4,0.4,0.5555555555555556,1.0,1.0,0.75,,,,,0.5887,0.21428571428571427,0.25,1.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,,2.0,1.0,2.0,,1.0,0.2,1.0,0.5,1.0,,0.4,0.5,0.5,3.0,3.0,,,,1.0,,,,,,0.2727272727272727,1.0,1.0,0.3333333333333333,,,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,0.2222222222222222,1.0,0.2,1.0,1.0,0.23076923076923078,0.2727272727272727,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2001,2000-01,False
105-1853-224-258-297,1610612748,"Dan Majerle, Anthony Carter, Eddie Jones, Brian Grant, Alonzo Mourning","Majerle, Carter, Jones, Grant, Mourning",105-1853-224-258-297,MIA,209.0,1,3.0,-2.0,5.0,6.0,,11.0,,3.0,1.0,2.0,3.0,1.0,2.0,,7.0,9.0,3.0,,2.0,1.0,1.0,1.0,1.0,3.0,,3.0,3.0,,,,,,,,7.0,,1.0,0.5,0.5,0.7,0.7,0.4,,,1.0,,75.78947368421052,18.6,19.333333333333332,18.6,19.333333333333332,,0.6,0.4,0.5,0.5,1.0,0.4,0.5,0.46029,17.900000000000002,24.2,3.0,1.0,1.0,,,,2.0,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2001,2000-01,False
105-193-2067-224-258,1610612748,"Dan Majerle, Anthony Mason, Eddie House, Eddie Jones, Brian Grant","Majerle, Mason, House, Jones, Grant",105-193-2067-224-258,MIA,160.0,1,3.0,-4.0,4.0,6.0,,10.0,,2.0,,,4.0,1.0,2.0,,3.0,7.0,,3.0,,,,,,,,1.0,3.0,,,,2.0,2.0,,,,,,0.5,0.5,0.25,0.25,0.3333333333333333,,,0.5,,90.0,20.5,13.0,18.75,13.0,,0.3333333333333333,,,,,0.6666666666666666,,0.4720583333333333,8.675,24.45,1.0,1.0,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,0.51195,,0.25,2.0,,,,,,2.0,,,,,,,,,,,,,,,,0.4,,,1.0,,,,,,2.0,1.0,2.0,1.0,,2.0,,0.5,0.5,,0.3333333333333333,,,,0.3333333333333333,0.5,0.5136,,,,3.0,,1.0,,,,0.75,0.25,,0.5,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.25,0.5,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612748,2001,2000-01,False
