EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,Points,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,FtPoints,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,Fg2aBlocked,AtRimAssists,LongMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3A,SecondChanceFtPoints,PenaltyFG3A,NonHeaveArc3FGA,OffThreePtRebounds,Steals,BadPassSteals,Offensive Fouls,NonShootingFoulsDrawn,FG3APct,OffThreePtReboundPct,OffArc3ReboundPct,Corner3Frequency,Arc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,LiveBallTurnovers,LostBallTurnovers,LiveBallTurnoverPct,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,BadPassOutOfBoundsTurnovers,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,OffLongMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SelfOReb,LostBallOutOfBoundsTurnovers,OffShortMidRangeReboundPct,SelfORebPct,PtsPutbacks,LostBallSteals,BadPassTurnovers,SecondChanceTurnovers,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,BlockedShortMidRange,SecondChanceFg3Pct,ShortMidRangePctBlocked,DefCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Corner3FGM,PenaltyCorner3FGM,PenaltyFG3M,Corner3Assists,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,BlockedAtRim,PenaltyArc3FGM,Fg3aBlocked,3SecondViolations,Defensive 3 Seconds Violations,FG3APctBlocked,Corner3PctBlocked,OffCorner3ReboundPct,PenaltyArc3Accuracy,Technical Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PtsUnassisted3s,DefensiveGoaltends,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedCorner3,ThreePtShootingFoulsDrawnPct,HeaveAttempts,LongMidRangePctBlocked,Arc3PctBlocked,Clear Path Fouls,OffensiveGoaltends,team_id,year,season,team_vs
145-1541-1565-164-966,1610612761,"Tracy Murray, Alvin Williams, Michael Stewart, Chris Childs, Jerome Williams","Murray, Williams, Stewart, Childs, Williams",145-1541-1565-164-966,TOR,113.0,1,2.0,2.0,4.0,4.0,8.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,101.94690265486726,1.0,9.75,18.5,9.75,18.5,0.5,0.5,0.5,1.0,0.5,0.386025,12.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,True
145-1541-1565-1713-1721,1610612761,"Tracy Murray, Alvin Williams, Michael Stewart, Vince Carter, Keon Clark","Murray, Williams, Stewart, Carter, Clark",145-1541-1565-1713-1721,TOR,203.0,2,3.0,6.0,6.0,7.0,13.0,1.0,1.0,2.0,5.0,6.0,11.0,4.0,2.0,2.0,,4.0,,3.0,5.0,6.0,,,,,9.0,0.4,0.4,0.8333333333333334,0.8333333333333334,0.7857142857142857,0.75,,0.6,,0.5,,92.21674876847291,,10.0,20.428571428571427,9.0,15.428571428571429,0.16666666666666666,1.0,1.0,,0.3333333333333333,0.48960000000000004,8.183333333333334,6.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,5.0,1.0,1.0,2.0,5.0,6.0,1.0,11.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,11.0,6.0,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,0.7857142857142857,0.16666666666666666,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.6666666666666666,0.5,0.4759,0.48960000000000004,0.14285714285714285,0.14285714285714285,0.18181818181818182,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,True
145-1541-1565-1713-891,1610612761,"Tracy Murray, Alvin Williams, Michael Stewart, Vince Carter, Charles Oakley","Murray, Williams, Stewart, Carter, Oakley",145-1541-1565-1713-891,TOR,146.0,1,2.0,1.0,5.0,4.0,9.0,1.0,1.0,,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,,,,,2.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,,1.0,1.0,88.76712328767124,,12.4,21.0,12.4,21.0,0.3333333333333333,1.0,1.0,1.0,,0.5124166666666666,9.2,5.0,,1.0,,,,,,,,2.0,3.0,,,2.0,1.0,1.0,2.0,4.0,,,,,,,1.0,1.0,,1.0,1.0,,2.0,,2.0,,4.0,5.0,,,1.0,,0.3333333333333333,1.0,0.5,,,,,0.5,,,,,,,,,,,,,,,0.6666666666666666,,0.5124166666666666,,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,True
145-1541-1565-1721-177,1610612761,"Tracy Murray, Alvin Williams, Michael Stewart, Keon Clark, Muggsy Bogues","Murray, Williams, Stewart, Clark, Bogues",145-1541-1565-1721-177,TOR,2.0,1,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4956,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,0.4956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,True
145-1541-1565-1721-209,1610612761,"Tracy Murray, Alvin Williams, Michael Stewart, Keon Clark, Dell Curry","Murray, Williams, Stewart, Clark, Curry",145-1541-1565-1721-209,TOR,46.0,1,1.0,1.0,2.0,2.0,4.0,1.0,1.0,,1.0,1.0,2.0,,,,,,,1.0,1.0,1.0,,,,,2.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,125.21739130434781,,11.0,12.0,11.0,12.0,1.0,1.0,1.0,,,0.355,9.4,,2.0,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,True
145-1541-1565-177-2050,1610612761,"Tracy Murray, Alvin Williams, Michael Stewart, Muggsy Bogues, Morris Peterson","Murray, Williams, Stewart, Bogues, Peterson",145-1541-1565-177-2050,TOR,150.0,1,2.0,3.0,5.0,5.0,10.0,,,3.0,2.0,4.0,7.0,2.0,1.0,2.0,,5.0,,,1.0,2.0,,,,,7.0,0.5,0.5,0.5,0.7,0.7,,,,,,,96.0,,14.8,15.2,13.2,14.8,,,,,0.6,0.45054999999999995,14.85,,5.0,1.0,,1.0,,1.0,,,2.0,,4.0,,1.0,,,,,,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,2.0,,,,,,1.0,,,,,,,0.25,1.0,1.0,0.5,0.5,,,0.2,,,,0.6666666666666666,0.6666666666666666,0.5,1.0,,,,,0.4,0.5416,,,,,,,,,1.0,,1.0,,,1.0,,,,,,0.2,,,,0.2,,,25.1,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,True
145-1541-1565-2055-722,1610612761,"Tracy Murray, Alvin Williams, Michael Stewart, Mamadou N'diaye, Corliss Williamson","Murray, Williams, Stewart, N'diaye, Williamson",145-1541-1565-2055-722,TOR,287.0,1,5.0,-8.0,9.0,9.0,18.0,,1.0,2.0,3.0,6.0,8.0,,,,,,,1.0,1.0,3.0,,,,,6.0,,,0.5,0.375,0.4444444444444444,0.5,,0.3333333333333333,,0.5,,90.31358885017421,,18.666666666666668,13.222222222222221,17.333333333333332,12.333333333333334,0.125,,,,0.25,0.475425,8.15,9.0,,2.0,3.0,3.0,1.0,1.0,3.0,3.0,,2.0,16.0,1.0,2.0,2.0,3.0,6.0,2.0,8.0,6.0,,,,2.0,,2.0,1.0,,1.0,1.0,2.0,2.0,,2.0,,8.0,9.0,,0.5,0.5,0.5,0.375,0.5,0.4444444444444444,,,,0.6666666666666666,0.4,,,0.375,1.0,1.0,,,,,0.5,1.0,,0.375,1.0,0.625,0.49085,0.475425,,,0.25,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,,,,,1.0,0.25,,,0.125,0.125,0.125,0.125,24.5,,,,,,,,,,,,,,0.5,,,,,1.0,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,True
145-1541-1565-209-213,1610612761,"Tracy Murray, Alvin Williams, Michael Stewart, Dell Curry, Antonio Davis","Murray, Williams, Stewart, Curry, Davis",145-1541-1565-209-213,TOR,187.0,1,3.0,4.0,6.0,6.0,12.0,,1.0,1.0,2.0,6.0,8.0,2.0,1.0,1.0,,2.0,,2.0,2.0,4.0,,,,,6.0,0.5,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,,1.0,1.0,,,92.40641711229947,,15.666666666666666,15.5,13.5,15.5,0.16666666666666666,,,,0.16666666666666666,0.5497500000000001,4.316666666666666,,,2.0,1.0,4.0,1.0,2.0,,,1.0,4.0,4.0,1.0,2.0,2.0,,,,,2.0,2.0,,1.0,2.0,,2.0,,,,,,1.0,,4.0,2.0,,,,0.5,,0.5,,0.5,,0.3333333333333333,0.5,,0.5,0.5,0.3333333333333333,1.0,0.6666666666666666,0.25,0.5,,1.0,1.0,1.0,1.0,0.5,,,,0.6666666666666666,0.53935,,0.25,0.25,0.25,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,True
145-1541-1565-209-376,1610612761,"Tracy Murray, Alvin Williams, Michael Stewart, Dell Curry, Eric Montross","Murray, Williams, Stewart, Curry, Montross",145-1541-1565-209-376,TOR,122.0,1,2.0,,3.0,4.0,7.0,,1.0,,1.0,2.0,3.0,,,,,,2.0,,2.0,3.0,,,,,1.0,,,0.5,0.5,0.5,,1.0,0.6666666666666666,,,1.0,82.62295081967214,,19.333333333333332,16.0,19.333333333333332,10.25,0.5,,,,,0.47265,3.95,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,,,,1.0,,1.0,2.0,,2.0,2.0,,2.0,,2.0,,3.0,3.0,,1.0,0.5,1.0,0.5,1.0,0.5,,,,1.0,1.0,,,0.5,1.0,1.0,,,,,1.0,1.0,,0.5,1.0,0.5,0.592,0.47265,,,0.6666666666666666,1.0,1.0,,,,,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,True
145-1541-1565-209-722,1610612761,"Tracy Murray, Alvin Williams, Michael Stewart, Dell Curry, Corliss Williamson","Murray, Williams, Stewart, Curry, Williamson",145-1541-1565-209-722,TOR,298.0,2,5.0,7.0,11.0,11.0,22.0,,1.0,1.0,4.0,6.0,13.0,4.0,2.0,2.0,,4.0,1.0,3.0,4.0,5.0,,,,,13.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.8125,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.3333333333333333,106.30872483221476,,11.363636363636363,15.727272727272727,11.272727272727273,13.818181818181818,0.16666666666666666,,,,0.16666666666666666,0.5723833333333334,4.816666666666666,6.0,3.0,1.0,3.0,4.0,,,2.0,2.0,1.0,5.0,6.0,,,,3.0,4.0,3.0,9.0,4.0,1.0,1.0,1.0,1.0,,1.0,2.0,,4.0,2.0,1.0,1.0,,5.0,2.0,9.0,6.0,,,0.75,,0.75,,0.9,0.16666666666666666,0.25,,0.5,0.5,,1.0,0.6666666666666666,0.75,1.0,0.3333333333333333,1.0,1.0,1.0,,,,0.5,1.0,0.6666666666666666,,0.570125,0.2857142857142857,0.2857142857142857,,0.6923076923076923,0.5454545454545454,,,,,,,,,,2.0,,,1.0,,,,,,,,,2.0,,0.5,,,,,,,1.0,,,,,,,,,,,1.0,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,True
