EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FtPoints,PenaltyFtPoints,Steals,BadPassSteals,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,Corner3FGM,Corner3FGA,SecondChanceFtPoints,SecondChancePoints,Corner3Assists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,NonShootingFoulsDrawn,SecondChanceTsPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChancePointsPct,Fg2aBlocked,ShootingFouls,FG2APctBlocked,AtRimPctBlocked,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,SecondChanceFG2A,PtsAssisted2s,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,DefThreePtRebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,LiveBallTurnoverPct,DefThreePtReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,BlockedLongMidRange,BadPassTurnovers,DeadBallTurnovers,Travels,Technical Free Throw Trips,BlockedShortMidRange,ShortMidRangePctBlocked,HeaveAttempts,DefCorner3ReboundPct,SecondChanceAtRimFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,PtsPutbacks,OffThreePtRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,FTOffRebounds,SecondChanceTurnovers,OffFTReboundPct,OffensiveGoaltends,OffCorner3ReboundPct,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefensiveGoaltends,3SecondViolations,LongMidRangePctBlocked,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,Clear Path Fouls,BlockedCorner3,HeaveMakes,team_id,year,season,team_vs
128-1521-178-1900-252,1610612762,"David Benoit, Jacque Vaughn, Olden Polynice, Quincy Lewis, Karl Malone","Benoit, Vaughn, Polynice, Lewis, Malone",128-1521-178-1900-252,UTA,92.0,1,2.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.3333333333333333,1.0,1.0,1.0,93.91304347826086,16.333333333333332,14.333333333333334,16.333333333333332,14.333333333333334,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.45070000000000005,0.45070000000000005,1.0,13.8,25.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2001,2000-01,True
128-1521-178-2052-252,1610612762,"David Benoit, Jacque Vaughn, Olden Polynice, DeShawn Stevenson, Karl Malone","Benoit, Vaughn, Polynice, Stevenson, Malone",128-1521-178-2052-252,UTA,104.0,1,2.0,-1.0,4.0,3.0,4.0,3.0,7.0,,1.0,2.0,,,,,,3.0,,,1.0,2.0,,3.0,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,,,,,,0.125,0.125,,1.0,1.0,1.0,96.92307692307692,17.0,12.0,17.0,12.0,0.3333333333333333,,,0.6666666666666666,,,,,,,,,0.4025,0.4025,1.0,16.233333333333334,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2001,2000-01,True
128-1521-178-2052-330,1610612762,"David Benoit, Jacque Vaughn, Olden Polynice, DeShawn Stevenson, Danny Manning","Benoit, Vaughn, Polynice, Stevenson, Manning",128-1521-178-2052-330,UTA,103.0,2,2.0,6.0,4.0,4.0,1.0,1.0,8.0,,,,,,,,1.0,2.0,1.0,1.0,8.0,2.0,,,,,2.0,2.0,3.0,,,1.0,1.0,,3.0,1.0,2.0,3.0,1.0,7.0,2.0,1.0,,1.0,1.0,,1.0,0.5,,0.8333333333333334,,0.8,1.0,0.3333333333333333,1.0,1.0,1.0,111.84466019417476,11.25,14.5,11.25,14.5,,,,,,,,,,,1.0,,0.55365,,0.25,,22.8,0.25,3.0,2.0,1.0,1.0,,4.0,1.0,0.25,0.3333333333333333,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,0.3333333333333333,1.0,1.0,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2001,2000-01,True
128-1521-178-2052-923,1610612762,"David Benoit, Jacque Vaughn, Olden Polynice, DeShawn Stevenson, Donyell Marshall","Benoit, Vaughn, Polynice, Stevenson, Marshall",128-1521-178-2052-923,UTA,103.0,1,2.0,3.0,4.0,4.0,,,8.0,,,,,,,,1.0,2.0,,1.0,4.0,1.0,,,,,,2.0,,,,,,,,,1.0,1.0,1.0,4.0,,,,,,,,0.5,,0.3333333333333333,,0.5,,0.3333333333333333,,,,111.84466019417476,14.0,11.75,14.0,11.75,,,,,,,,,,,1.0,,0.5806666666666667,,,,22.8,,2.0,,,,,2.0,1.0,0.25,0.3333333333333333,,1.0,2.0,,1.0,,,,,1.0,,,,,1.0,,,,,0.6666666666666666,0.5,1.0,0.3333333333333333,,,,,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2001,2000-01,True
128-1521-178-252-317,1610612762,"David Benoit, Jacque Vaughn, Olden Polynice, Karl Malone, John Starks","Benoit, Vaughn, Polynice, Malone, Starks",128-1521-178-252-317,UTA,431.0,3,7.0,7.0,13.0,13.0,7.0,8.0,26.0,2.0,3.0,3.0,,1.0,,,7.0,10.0,,1.0,16.0,9.0,4.0,4.0,,,10.0,6.0,,1.0,,,4.0,,8.0,4.0,5.0,6.0,,16.0,10.0,7.0,,,,,,0.7,1.0,0.6363636363636364,1.0,0.6153846153846154,0.8333333333333334,0.09090909090909091,0.6666666666666666,0.7142857142857143,1.0,86.8677494199536,14.23076923076923,18.923076923076923,14.0,18.846153846153847,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.2727272727272727,0.09090909090909091,,,,,,0.45454545454545453,,0.4350136363636363,0.413575,0.625,10.32,25.5,0.5384615384615384,2.0,2.0,2.0,2.0,,4.0,1.0,0.08333333333333333,0.09090909090909091,1.0,2.0,4.0,,,,,,1.0,,1.0,,1.0,,,0.3333333333333333,0.25,0.5,,0.36363636363636365,0.5,0.5,,,,,,,,,,1.0,1.0,1.0,3.0,1.0,8.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.5714285714285714,0.5714285714285714,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.6666666666666666,1.0,0.25,1.0,0.5284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2001,2000-01,True
128-1521-178-252-935,1610612762,"David Benoit, Jacque Vaughn, Olden Polynice, Karl Malone, Bryon Russell","Benoit, Vaughn, Polynice, Malone, Russell",128-1521-178-252-935,UTA,128.0,1,2.0,1.0,4.0,4.0,4.0,,8.0,,,2.0,,,,,3.0,4.0,,,6.0,5.0,3.0,4.0,,,6.0,2.0,,,,,2.0,,4.0,2.0,2.0,2.0,1.0,6.0,6.0,4.0,,,,,,0.75,0.75,0.75,0.75,0.75,0.75,,1.0,1.0,1.0,90.0,14.75,17.25,14.75,17.25,,,,0.5,,,,,,,0.5,,0.484775,0.484775,1.0,8.225,,1.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,2.0,2.0,1.0,,4.0,2.0,1.0,,1.0,,,,,,1.0,,1.0,1.0,0.6666666666666666,0.6666666666666666,,,,1.0,,1.0,0.5,,0.5,0.5,1.0,,0.5,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2001,2000-01,True
128-1521-178-317-923,1610612762,"David Benoit, Jacque Vaughn, Olden Polynice, John Starks, Donyell Marshall","Benoit, Vaughn, Polynice, Starks, Marshall",128-1521-178-317-923,UTA,86.0,1,1.0,-2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,,,,,2.0,2.0,,,4.0,6.0,2.0,2.0,,,4.0,2.0,,,,,1.0,,2.0,,,,1.0,4.0,4.0,2.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,66.97674418604652,15.5,27.5,15.5,27.5,0.5,1.0,1.0,0.5,,,,,,,,,0.4119,0.4119,1.0,10.75,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,,,1.0,,,,,,,,,,0.5,0.5,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2001,2000-01,True
128-1521-178-317-935,1610612762,"David Benoit, Jacque Vaughn, Olden Polynice, John Starks, Bryon Russell","Benoit, Vaughn, Polynice, Starks, Russell",128-1521-178-317-935,UTA,306.0,1,5.0,8.0,10.0,10.0,2.0,3.0,20.0,2.0,3.0,2.0,,1.0,,1.0,5.0,6.0,,1.0,12.0,4.0,1.0,1.0,,1.0,3.0,6.0,,1.0,,,2.0,,4.0,6.0,7.0,7.0,2.0,12.0,3.0,2.0,,,,,,0.8333333333333334,1.0,0.7142857142857143,0.5,0.6875,0.5,0.14285714285714285,0.8571428571428571,0.875,0.75,94.11764705882354,11.8,18.8,11.8,17.7,0.42857142857142855,0.6666666666666666,1.0,0.2857142857142857,0.14285714285714285,,,,0.5,,0.2857142857142857,,0.41645714285714286,0.2824,0.25,10.65,30.5,0.2,2.0,1.0,1.0,1.0,1.0,3.0,1.0,0.125,0.14285714285714285,,1.0,1.0,,,,,,,,,,,,,,,,,0.14285714285714285,1.0,1.0,,,,,,1.0,,0.16666666666666666,,,,,2.0,,4.0,2.0,,,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,0.4,0.4,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2001,2000-01,True
128-1521-178-330-935,1610612762,"David Benoit, Jacque Vaughn, Olden Polynice, Danny Manning, Bryon Russell","Benoit, Vaughn, Polynice, Manning, Russell",128-1521-178-330-935,UTA,143.0,4,2.0,-5.0,5.0,6.0,3.0,5.0,11.0,,2.0,1.0,,1.0,,1.0,2.0,4.0,,1.0,4.0,9.0,1.0,2.0,,1.0,2.0,4.0,,,,,,,,,1.0,1.0,1.0,4.0,2.0,3.0,1.0,,,,,0.5,0.5,0.4,0.3333333333333333,0.4,0.3333333333333333,0.2,,0.25,,110.76923076923077,9.0,16.333333333333332,9.0,16.166666666666668,0.4,,,0.2,0.2,,,,0.3333333333333333,,0.4,,0.443725,0.4867,0.5,9.35,40.2,0.6,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,0.2,1.0,1.0,,,,,,1.0,,0.25,,,1.0,1.0,1.0,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,0.5,,,,,,,1.0,1.0,,,0.3333333333333333,1.0,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2001,2000-01,True
128-1521-178-923-935,1610612762,"David Benoit, Jacque Vaughn, Olden Polynice, Donyell Marshall, Bryon Russell","Benoit, Vaughn, Polynice, Marshall, Russell",128-1521-178-923-935,UTA,126.0,1,2.0,-1.0,4.0,4.0,4.0,,8.0,,,3.0,,,,,2.0,3.0,,,4.0,5.0,2.0,3.0,,,4.0,,,,,,2.0,,4.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0.5,0.5,,91.42857142857143,12.5,19.0,12.5,18.5,,,,1.0,,,,,,,,,0.3935,0.3935,1.0,19.533333333333335,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,4.0,2.0,,,2.0,,,,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,,,0.6666666666666666,0.6666666666666666,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2001,2000-01,True
