EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,Fouls,Loose Ball Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGA,FtPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,FTDefRebounds,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyTsPct,DefFTReboundPct,ShortMidRangeFrequency,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,ShootingFouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,BlocksRecoveredPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFG2A,PtsUnassisted3s,Fg2aBlocked,LongMidRangeAssists,OffThreePtRebounds,OffRebounds,Steals,LostBallSteals,SecondChanceTurnovers,PenaltyTurnovers,FG2APctBlocked,AtRimPctBlocked,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,ShortMidRangeFGM,PtsUnassisted2s,ShortMidRangeAssists,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,OffTwoPtRebounds,3SecondViolations,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,BadPassSteals,BlockedAtRim,SecondChanceFtPoints,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,OffAtRimReboundPct,OffArc3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SelfOReb,SecondChanceFg3Pct,SelfORebPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BadPassOutOfBoundsTurnovers,Offensive Fouls,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Blocked3s,BlockedCorner3,BlockedArc3,OffShortMidRangeReboundPct,Technical Free Throw Trips,BlockedLongMidRange,ShortMidRangePctBlocked,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,DefensiveGoaltends,SecondChanceCorner3FGM,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,Travels,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,LongMidRangePctBlocked,team_id,year,season,team_vs
109-166-1731-216-406,1610612747,"Robert Horry, Ron Harper, Tyronn Lue, Brian Shaw, Shaquille O'Neal","Horry, Harper, Lue, Shaw, O'Neal",109-166-1731-216-406,LAL,238.0,1,4.0,8.0,6.0,6.0,12.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,4.0,11.0,3.0,2.0,9.0,3.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,11.0,2.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,0.75,0.75,1.0,1.1,1.1,0.8,0.75,1.0,0.8333333333333334,1.0,0.5,1.0,1.0,1.0,72.60504201680672,21.0,18.666666666666668,21.0,16.333333333333332,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.6,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.52843,24.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,False
109-166-1731-296-406,1610612747,"Robert Horry, Ron Harper, Tyronn Lue, Rick Fox, Shaquille O'Neal","Horry, Harper, Lue, Fox, O'Neal",109-166-1731-296-406,LAL,76.0,1,1.0,-3.0,2.0,3.0,5.0,,,,,,,,1.0,,,1.0,4.0,,,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,0.25,,,,,,,,,,94.73684210526316,26.0,8.0,26.0,8.0,,,,,,,,,,,,,,,0.5675,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,0.5675,1.0,4.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,False
109-166-1731-406-977,1610612747,"Robert Horry, Ron Harper, Tyronn Lue, Shaquille O'Neal, Kobe Bryant","Horry, Harper, Lue, O'Neal, Bryant",109-166-1731-406-977,LAL,253.0,1,4.0,9.0,8.0,7.0,15.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,16.0,7.0,4.0,9.0,2.0,2.0,2.0,3.0,5.0,2.0,1.0,2.0,13.0,1.0,3.0,4.0,4.0,,,2.0,,16.0,1.0,1.0,1.0,1.0,1.0,0.5,0.9285714285714286,1.0,0.42857142857142855,0.75,1.0,0.8,,1.0,,1.0,,85.37549407114625,17.375,16.285714285714285,17.375,16.285714285714285,0.2857142857142857,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,1.0,1.0,1.0,0.7142857142857143,1.0,0.4933571428571429,25.166666666666668,7.0,3.0,2.0,3.0,3.0,3.0,16.0,,3.0,1.0,16.0,7.0,,1.1428571428571428,,0.2857142857142857,0.5247166666666666,1.0,4.5,0.875,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.6666666666666666,1.0833333333333333,1.0,0.3333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,1.0,0.14285714285714285,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,False
109-166-2058-965-977,1610612747,"Robert Horry, Ron Harper, Mark Madsen, Derek Fisher, Kobe Bryant","Horry, Harper, Madsen, Fisher, Bryant",109-166-2058-965-977,LAL,171.0,2,3.0,3.0,6.0,6.0,12.0,,1.0,,1.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,2.0,2.0,,2.0,1.0,1.0,,1.0,,,,2.0,,3.0,4.0,5.0,1.0,1.0,,,5.0,1.0,1.0,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.5,0.75,,0.75,1.0,,1.0,,,101.05263157894737,18.0,10.5,18.0,10.5,0.16666666666666666,,,,0.16666666666666666,,,,0.3333333333333333,0.5,0.5,,0.6666666666666666,0.5,0.4063833333333333,26.3,6.0,6.0,1.0,,3.0,,5.0,1.0,,,5.0,6.0,,0.4166666666666667,1.0,0.16666666666666666,0.4063833333333333,1.0,10.700000000000001,1.0,,1.0,,1.0,1.0,2.0,1.0,1.0,3.0,,,,,,,,0.3333333333333333,0.3333333333333333,0.4166666666666667,,0.16666666666666666,,0.16666666666666666,,0.3333333333333333,0.5,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,False
109-166-216-270-977,1610612747,"Robert Horry, Ron Harper, Brian Shaw, Horace Grant, Kobe Bryant","Horry, Harper, Shaw, Grant, Bryant",109-166-216-270-977,LAL,175.0,1,3.0,1.0,5.0,6.0,11.0,2.0,2.0,,,,,4.0,5.0,,,9.0,8.0,2.0,,,,1.0,,1.0,,,,2.0,,1.0,1.0,1.0,,,3.0,1.0,9.0,0.25,0.25,,,,0.8,0.8,0.9,,1.0,,1.0,,1.0,,,,90.51428571428572,18.8,13.5,18.8,12.166666666666666,0.4,1.0,1.0,,,,,,,,,,0.4,,0.41944,,5.0,6.0,1.0,1.0,5.0,1.0,9.0,,1.0,,9.0,5.0,1.0,0.9,,0.2,0.41944,1.0,9.68,1.0,2.0,2.0,,,,,4.0,,,2.0,1.0,1.0,,,,,,0.8,0.8,,0.4,1.0,,,,,0.2,0.2,,,1.0,2.0,,,,,,,,,,,,,,,,0.4,0.5,0.5,,,1.0,6.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,False
109-166-216-406-977,1610612747,"Robert Horry, Ron Harper, Brian Shaw, Shaquille O'Neal, Kobe Bryant","Horry, Harper, Shaw, O'Neal, Bryant",109-166-216-406-977,LAL,402.0,2,7.0,8.0,12.0,12.0,24.0,4.0,5.0,1.0,2.0,,2.0,7.0,9.0,1.0,4.0,17.0,9.0,10.0,3.0,2.0,,5.0,1.0,6.0,,1.0,3.0,13.0,1.0,6.0,7.0,9.0,1.0,1.0,1.0,,13.0,0.7142857142857143,0.8333333333333334,1.0,0.25,0.25,0.7777777777777778,0.6538461538461539,0.6538461538461539,0.3076923076923077,0.8571428571428571,1.0,0.875,1.0,0.6666666666666666,1.0,1.0,,85.97014925373134,12.0,21.5,11.5,20.583333333333332,0.38461538461538464,0.8,0.8,0.75,0.15384615384615385,0.5,0.5,1.0,0.15384615384615385,,,,0.6923076923076923,,0.5364730769230769,24.275,,10.0,3.0,,,,,,,,,,,,,0.23076923076923078,,,4.822222222222222,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,2.0,1.0,,1.0,2.0,,,,1.0,2.0,,,,,,,0.3333333333333333,0.4,1.0,0.07692307692307693,,,,0.5,3.0,4.0,2.0,1.0,1.0,0.6666666666666666,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5712,0.23529411764705882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,False
109-166-270-296-977,1610612747,"Robert Horry, Ron Harper, Horace Grant, Rick Fox, Kobe Bryant","Horry, Harper, Grant, Fox, Bryant",109-166-270-296-977,LAL,78.0,1,1.0,1.0,3.0,4.0,7.0,,,,,,,1.0,1.0,,,4.0,3.0,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,4.0,,,,,,1.0,1.0,0.6666666666666666,,1.0,,1.0,1.0,,,,,129.23076923076923,11.333333333333334,11.0,11.333333333333334,11.0,,,,,,,,,,,,,,,0.3617,,3.0,4.0,1.0,2.0,1.0,2.0,4.0,,4.0,2.0,4.0,3.0,,0.6666666666666666,,1.0,0.3617,1.0,6.7,1.0,,,,,,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,False
109-166-270-965-977,1610612747,"Robert Horry, Ron Harper, Horace Grant, Derek Fisher, Kobe Bryant","Horry, Harper, Grant, Fisher, Bryant",109-166-270-965-977,LAL,82.0,2,1.0,4.0,5.0,3.0,8.0,,,,,,,1.0,1.0,,,9.0,5.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,9.0,,,,,,1.0,1.0,0.9,,,1.0,1.0,,,,1.0,,140.4878048780488,9.6,11.333333333333334,9.6,11.333333333333334,,,,,,,,,,,,,,,0.3089,,5.0,3.0,,7.0,1.0,7.0,9.0,,8.0,3.0,9.0,5.0,,0.9,,,0.3089,1.0,17.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,0.5,0.5,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,False
109-166-296-965-977,1610612747,"Robert Horry, Ron Harper, Rick Fox, Derek Fisher, Kobe Bryant","Horry, Harper, Fox, Fisher, Bryant",109-166-296-965-977,LAL,5.0,1,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,288.0,,5.0,,5.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,False
109-166-406-965-977,1610612747,"Robert Horry, Ron Harper, Shaquille O'Neal, Derek Fisher, Kobe Bryant","Horry, Harper, O'Neal, Fisher, Bryant",109-166-406-965-977,LAL,463.0,2,8.0,-5.0,15.0,16.0,31.0,4.0,5.0,,,1.0,1.0,6.0,9.0,1.0,1.0,20.0,25.0,10.0,3.0,1.0,1.0,5.0,1.0,6.0,1.0,,3.0,13.0,,4.0,5.0,5.0,1.0,1.0,6.0,1.0,20.0,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.6666666666666666,0.75,0.7142857142857143,0.1,0.5714285714285714,,0.5,,1.0,0.5,,,96.41468682505399,16.066666666666666,13.875,16.066666666666666,11.9375,0.5,0.8,1.0,0.75,,,,,0.1,1.0,1.0,1.0,0.6,1.0,0.519945,26.4,9.0,12.0,1.0,5.0,5.0,3.0,12.0,1.0,9.0,1.0,12.0,9.0,1.0,0.75,1.0,0.1,0.5179583333333333,0.6,6.811111111111111,0.6,2.0,2.0,,,1.0,1.0,3.0,1.0,1.0,4.0,1.0,4.0,,,,,1.0,0.6,0.75,,0.3333333333333333,1.0,,,0.16666666666666666,1.0,0.3076923076923077,0.3333333333333333,,,1.0,3.0,,,1.0,1.0,,,,,,1.0,0.1111111111111111,0.2,,,,0.3,0.3333333333333333,0.3333333333333333,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,False
