EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG3M,FG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,Offensive Fouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,FG2M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,AtRimAssists,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,SecondChanceTurnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyArc3FGA,PenaltyFG3A,Fg2aBlocked,OffThreePtRebounds,Blocked2s,BlockedAtRim,Blocks,FG2APctBlocked,AtRimPctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyArc3Frequency,ShortMidRangeFGA,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,DefThreePtRebounds,NonShootingFoulsDrawn,PenaltyFg3Pct,ShortMidRangePctBlocked,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,PenaltyArc3Accuracy,LongMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,LongMidRangeAssists,FTOffRebounds,Technical Free Throw Trips,OffFTReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,PenaltyCorner3Frequency,ShortMidRangeFGM,LostBallTurnovers,OffShortMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,SelfOReb,LostBallOutOfBoundsTurnovers,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,Loose Ball Fouls,BadPassOutOfBoundsTurnovers,ShortMidRangeAssists,ShortMidRangePctAssisted,PtsUnassisted3s,Defensive 3 Seconds Violations,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,Travels,BlockedLongMidRange,SecondChanceCorner3FGA,SecondChanceFG3A,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGA,SecondChanceArc3Frequency,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,DefensiveGoaltends,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,Blocked3s,BlockedArc3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3SecondViolations,Clear Path Fouls,3pt And 1 Free Throw Trips,Corner3PctBlocked,OffensiveGoaltends,team_id,year,season,team_vs
1110-123-145-1711-384,1610612743,"Mark Strickland, Robert Pack, Tracy Murray, Raef LaFrentz, Calbert Cheaney","Strickland, Pack, Murray, LaFrentz, Cheaney",1110-123-145-1711-384,DEN,41.0,1,1.0,-1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.25,0.25,105.36585365853658,19.0,3.0,19.0,3.0,1.0,1.0,1.0,0.5531,0.5531,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2001,2000-01,False
1110-123-145-1711-45,1610612743,"Mark Strickland, Robert Pack, Tracy Murray, Raef LaFrentz, George McCloud","Strickland, Pack, Murray, LaFrentz, McCloud",1110-123-145-1711-45,DEN,187.0,1,3.0,-8.0,7.0,8.0,,6.0,15.0,,,2.0,2.0,5.0,13.0,,,,,3.0,2.0,1.0,5.0,,,0.5,,115.50802139037432,13.571428571428571,11.5,13.571428571428571,11.0,,,0.5,0.4805,,0.2,0.3333333333333333,,,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.375,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,15.7,25.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2001,2000-01,False
1110-123-145-1721-1763,1610612743,"Mark Strickland, Robert Pack, Tracy Murray, Keon Clark, Ryan Bowen","Strickland, Pack, Murray, Clark, Bowen",1110-123-145-1721-1763,DEN,400.0,1,7.0,9.0,16.0,15.0,6.0,2.0,31.0,13.0,7.0,14.0,4.0,17.0,8.0,8.0,1.0,5.0,1.0,2.0,4.0,3.0,15.0,5.0,6.0,0.5,0.3125,111.6,10.5625,15.4,10.0625,14.466666666666667,0.8125,0.875,0.9375,0.60491875,0.6068625,0.17647058823529413,0.2,0.29411764705882354,0.375,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,5.0,5.0,,5.0,9.0,2.0,2.0,1.0,3.0,1.0,,1.0,0.5,0.5,0.40625,0.125,0.6666666666666666,,0.8333333333333334,0.8333333333333334,,0.0625,0.125,0.5,0.5,1.0,0.5,1.3285714285714287,25.45,3.0,5.0,1.0,3.0,2.0,5.0,1.0,3.0,2.0,2.0,2.0,8.0,2.0,1.0,1.0,4.0,4.0,6.0,3.0,3.0,1.0,1.0,2.0,0.2,0.25,0.35714285714285715,0.3333333333333333,0.25,0.3333333333333333,0.25,0.3333333333333333,0.5,0.4444444444444444,0.42857142857142855,1.0,1.0,0.8,0.38461538461538464,0.38461538461538464,0.2,1.0,0.3333333333333333,0.2857142857142857,0.5467,0.11764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2001,2000-01,False
1110-123-145-1721-384,1610612743,"Mark Strickland, Robert Pack, Tracy Murray, Keon Clark, Calbert Cheaney","Strickland, Pack, Murray, Clark, Cheaney",1110-123-145-1721-384,DEN,232.0,1,4.0,1.0,8.0,8.0,8.0,8.0,16.0,3.0,3.0,4.0,2.0,6.0,5.0,4.0,2.0,6.0,,,2.0,1.0,4.0,6.0,8.0,0.5,0.5,99.3103448275862,11.75,17.25,11.5,15.75,0.6,0.6,0.8,0.60167,0.60167,0.16666666666666666,0.2,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,,2.0,4.0,,4.0,5.0,1.0,1.0,1.0,2.0,,,,,,0.4,0.2,0.5,,0.6666666666666666,0.6666666666666666,0.5,0.2,0.2,,,,,4.525,25.5,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,2.0,,0.5,1.0,0.5,1.0,0.5,1.0,0.4,1.0,,0.3333333333333333,,,,1.0,0.6666666666666666,1.0,0.5,1.0,1.0,0.6666666666666666,,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2001,2000-01,False
1110-123-145-1721-45,1610612743,"Mark Strickland, Robert Pack, Tracy Murray, Keon Clark, George McCloud","Strickland, Pack, Murray, Clark, McCloud",1110-123-145-1721-45,DEN,166.0,1,3.0,-2.0,6.0,7.0,6.0,3.0,13.0,3.0,3.0,5.0,1.0,8.0,10.0,5.0,1.0,8.0,1.0,2.0,2.0,,7.0,8.0,6.0,0.5714285714285714,0.5714285714285714,112.7710843373494,11.166666666666666,14.142857142857142,11.166666666666666,14.142857142857142,0.5,0.5,0.6666666666666666,0.5443833333333333,0.5443833333333333,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,3.0,4.0,,,,,,,1.0,1.0,1.0,0.5833333333333334,0.16666666666666666,,1.0,1.0,1.0,,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,5.4399999999999995,25.3,1.0,2.0,,,2.0,2.0,,,1.0,2.0,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.5,0.5,0.4,,0.4,,0.5833333333333334,0.5,0.3333333333333333,0.3333333333333333,1.0,,,1.0,0.6666666666666666,0.6666666666666666,0.5,,,0.6666666666666666,,0.125,1.0,1.0,1.0,,,,,0.2,,,,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2001,2000-01,False
1110-123-145-1721-702,1610612743,"Mark Strickland, Robert Pack, Tracy Murray, Keon Clark, Voshon Lenard","Strickland, Pack, Murray, Clark, Lenard",1110-123-145-1721-702,DEN,306.0,2,5.0,-6.0,10.0,11.0,10.0,3.0,21.0,2.0,2.0,6.0,5.0,9.0,15.0,6.0,5.0,9.0,1.0,1.0,9.0,,9.0,9.0,10.0,0.36363636363636365,0.36363636363636365,98.82352941176471,17.5,11.909090909090908,16.4,11.090909090909092,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.46589285714285716,0.46589285714285716,,,1.0,1.0,4.0,,,,1.0,,,,,2.0,,4.0,3.0,,3.0,4.0,,,,,,,,,,0.2857142857142857,0.14285714285714285,,,0.6,0.5,,0.5714285714285714,,,,,,12.466666666666667,24.1,1.0,,,,,2.0,,1.0,,2.0,4.0,,,2.0,,,1.0,1.0,1.0,,,,,1.0,1.0,0.3333333333333333,,0.3333333333333333,,0.2857142857142857,,,,,,0.6666666666666666,1.0,,,,,,,0.4112,,,1.0,1.0,,1.0,1.0,1.0,0.16666666666666666,0.5,,,,,,,,,4.0,,,,,,,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,0.14285714285714285,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2001,2000-01,False
1110-123-145-1899-426,1610612743,"Mark Strickland, Robert Pack, Tracy Murray, James Posey, Terry Davis","Strickland, Pack, Murray, Posey, Davis",1110-123-145-1899-426,DEN,640.0,1,11.0,-2.0,20.0,20.0,7.0,3.0,40.0,1.0,1.0,12.0,6.0,19.0,21.0,2.0,4.0,8.0,2.0,4.0,8.0,4.0,17.0,8.0,7.0,0.5,0.5714285714285714,90.0,15.25,16.75,14.55,16.05,0.06666666666666667,0.25,0.26666666666666666,0.4301933333333333,0.5412125,0.21052631578947367,0.25,0.42105263157894735,0.35,6.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,7.0,3.0,,5.0,8.0,3.0,,1.0,4.0,1.0,,1.0,0.3333333333333333,0.3333333333333333,0.43333333333333335,0.2,0.75,,0.75,0.8333333333333334,,0.4,0.2,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,13.691666666666668,24.8,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,4.0,6.0,2.0,2.0,,1.0,3.0,,,,2.0,2.0,,0.4,0.5,0.4166666666666667,1.0,1.0,1.0,0.5,1.0,0.14285714285714285,0.3333333333333333,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,0.10526315789473684,2.0,2.0,,2.0,,,,,,1.0,1.0,0.5,5.0,,,,2.0,,,,1.0,1.0,0.3333333333333333,,3.0,,,2.0,,,,0.5,0.5,0.6666666666666666,,,1.0,3.0,0.25,1.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2001,2000-01,False
1110-123-145-426-702,1610612743,"Mark Strickland, Robert Pack, Tracy Murray, Terry Davis, Voshon Lenard","Strickland, Pack, Murray, Davis, Lenard",1110-123-145-426-702,DEN,80.0,1,1.0,-6.0,2.0,3.0,,,5.0,,,,,,6.0,,,,,,,,,,,,,90.0,17.0,15.333333333333334,17.0,15.333333333333334,,,1.0,0.58695,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2001,2000-01,False
1110-123-1505-1721-1763,1610612743,"Mark Strickland, Robert Pack, Tariq Abdul-Wahad, Keon Clark, Ryan Bowen","Strickland, Pack, Abdul-Wahad, Clark, Bowen",1110-123-1505-1721-1763,DEN,81.0,1,1.0,3.0,3.0,2.0,,,5.0,2.0,,2.0,2.0,6.0,3.0,,,,,,2.0,1.0,6.0,,,1.0,,88.88888888888889,7.666666666666667,29.0,7.666666666666667,24.5,1.0,,1.0,0.62835,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,1.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,0.5,0.3333333333333333,1.0,,,,,,,,,,2.0,,,,2.0,,,,,2.0,2.0,,1.0,1.0,,,,,,,,,0.5,0.5,1.0,,,,,,,,,,,,1.0,1.0,0.5,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2001,2000-01,False
1110-123-1505-1721-45,1610612743,"Mark Strickland, Robert Pack, Tariq Abdul-Wahad, Keon Clark, George McCloud","Strickland, Pack, Abdul-Wahad, Clark, McCloud",1110-123-1505-1721-45,DEN,239.0,1,4.0,-11.0,9.0,10.0,,,19.0,3.0,,6.0,,2.0,13.0,,,,1.0,4.0,,,2.0,,,0.14285714285714285,,114.47698744769875,13.11111111111111,12.1,12.11111111111111,12.0,0.42857142857142855,,0.5714285714285714,0.48362857142857146,,,,,,1.0,,1.0,,1.0,,1.0,,,1.0,,2.0,2.0,,2.0,3.0,2.0,,1.0,3.0,1.0,,,,,0.14285714285714285,0.14285714285714285,0.6666666666666666,,1.0,0.6666666666666666,1.0,0.14285714285714285,0.14285714285714285,,,,,6.45,24.7,1.0,1.0,,1.0,,1.0,,1.0,,,2.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,0.16666666666666666,,,,,,0.2,0.16666666666666666,,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,,,0.5578,,,,,,,,,,,,,,2.0,,,,,,,,,,0.2857142857142857,,,,,,,,,,,,,,,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2001,2000-01,False
