EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGM,PenaltyArc3FGM,FG3M,FtPoints,PenaltyFG3M,PenaltyFtPoints,PtsUnassisted3s,NonHeaveArc3FGM,FTA,NonShootingFoulsDrawn,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShortMidRangeFGM,ShortMidRangeFGA,ShortMidRangeAssists,Steals,LostBallSteals,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceArc3FGA,SecondChanceFG3A,LongMidRangePctBlocked,OffShortMidRangeReboundPct,SecondChanceArc3Frequency,PenaltyTurnovers,ShootingFouls,Offensive Fouls,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsAssisted3s,ThreePtAssists,Arc3Assists,Corner3Assists,Assisted3sPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,3SecondViolations,LongMidRangeFGM,LongMidRangeAssists,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Technical Free Throw Trips,DefAtRimReboundPct,DefLongMidRangeReboundPct,TwoPtShootingFoulsDrawn,ShortMidRangePctBlocked,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LiveBallTurnovers,LostBallTurnovers,LiveBallTurnoverPct,FTDefRebounds,BadPassSteals,Loose Ball Fouls,DefFTReboundPct,SecondChanceFtPoints,OffThreePtRebounds,DefensiveGoaltends,OffThreePtReboundPct,OffArc3ReboundPct,BadPassOutOfBoundsTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefCorner3ReboundPct,BlocksRecoveredPct,Defensive 3 Seconds Violations,BlockedShortMidRange,SecondChanceAtRimPctAssisted,Travels,2pt And 1 Free Throw Trips,BadPassTurnovers,SelfOReb,SelfORebPct,BlockedLongMidRange,SecondChanceCorner3FGA,OffCorner3ReboundPct,SecondChanceCorner3Frequency,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
128-1521-178-252-935,1610612762,"David Benoit, Jacque Vaughn, Olden Polynice, Karl Malone, Bryon Russell","Benoit, Vaughn, Polynice, Malone, Russell",128-1521-178-252-935,UTA,190.0,2,3.0,-2.0,6.0,5.0,5.0,5.0,2.0,11.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,6.0,1.0,4.0,6.0,1.0,1.0,2.0,2.0,5.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0,0.5,1.0,0.3333333333333333,1.0,0.4,0.2857142857142857,1.0,0.3333333333333333,0.2857142857142857,1.0,0.3333333333333333,0.14285714285714285,0.16666666666666666,0.25,1.0,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,83.36842105263159,20.0,14.0,19.833333333333332,14.0,0.5714285714285714,0.5,0.6666666666666666,0.5,0.2857142857142857,0.14285714285714285,1.0,1.0,0.6666666666666666,0.5,0.16666666666666666,0.7142857142857143,0.48762857142857147,0.6646,0.5111,0.5,1.0,6.333333333333333,25.2,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2001,2000-01,False
128-1521-178-304-330,1610612762,"David Benoit, Jacque Vaughn, Olden Polynice, John Stockton, Danny Manning","Benoit, Vaughn, Polynice, Stockton, Manning",128-1521-178-304-330,UTA,46.0,1,1.0,1.0,2.0,2.0,2.0,2.0,,4.0,,,,,,,,1.0,1.0,,,1.0,5.0,4.0,,,,,,1.0,5.0,,,,1.0,,,,,,,,,,,,,,,,1.0,5.0,5.0,2.0,1.0,,,,,,1.5,,1.5,1.25,,1.25,1.0,,,,,,,,,,,,125.21739130434781,6.5,16.5,6.5,13.5,,,,,,1.0,,,,,1.0,1.0,0.1653,,0.1653,,1.0,,28.1,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2001,2000-01,False
128-1521-178-330-935,1610612762,"David Benoit, Jacque Vaughn, Olden Polynice, Danny Manning, Bryon Russell","Benoit, Vaughn, Polynice, Manning, Russell",128-1521-178-330-935,UTA,79.0,1,1.0,-1.0,3.0,3.0,,3.0,,6.0,,1.0,,,,,,1.0,,1.0,2.0,1.0,2.0,3.0,,,,,,,,2.0,,,1.0,,1.0,1.0,,2.0,,,1.0,1.0,,1.0,,,,,,2.0,,,,1.0,1.0,0.5,,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,1.0,,,1.0,,,,1.0,,109.36708860759494,16.0,10.333333333333334,16.0,10.333333333333334,0.3333333333333333,,,,,0.3333333333333333,,,,,,0.6666666666666666,0.46,,,,,6.45,36.7,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2001,2000-01,False
128-1521-178-923-935,1610612762,"David Benoit, Jacque Vaughn, Olden Polynice, Donyell Marshall, Bryon Russell","Benoit, Vaughn, Polynice, Marshall, Russell",128-1521-178-923-935,UTA,68.0,1,1.0,-2.0,3.0,2.0,,2.0,1.0,5.0,,,,,,,1.0,1.0,,,3.0,1.0,,2.0,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,0.25,0.3333333333333333,,,0.5,,,0.5,,,,,105.88235294117648,16.333333333333332,9.5,15.666666666666666,9.5,,,,,0.25,0.25,,,,,,0.25,0.375725,0.5337,,,,10.833333333333334,25.7,,,,,,,,,,,,,,,,,,,,2.0,,,,0.5,,,,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2001,2000-01,False
128-1521-180-252-330,1610612762,"David Benoit, Jacque Vaughn, John Crotty, Karl Malone, Danny Manning","Benoit, Vaughn, Crotty, Malone, Manning",128-1521-180-252-330,UTA,59.0,1,1.0,-2.0,2.0,2.0,2.0,2.0,,4.0,,,,,,,,,,,,,2.0,4.0,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,1.0,,3.0,2.0,2.0,2.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,97.6271186440678,16.0,13.5,16.0,13.5,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,2.0,,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2001,2000-01,False
128-1521-180-252-935,1610612762,"David Benoit, Jacque Vaughn, John Crotty, Karl Malone, Bryon Russell","Benoit, Vaughn, Crotty, Malone, Russell",128-1521-180-252-935,UTA,95.0,1,2.0,3.0,2.0,2.0,2.0,2.0,,4.0,,,,,,,1.0,1.0,1.0,,1.0,2.0,6.0,3.0,,,,,1.0,2.0,6.0,,,,1.0,,,2.0,,6.0,1.0,,,,1.0,1.0,,,,,2.0,6.0,6.0,2.0,2.0,,,,,,1.0,,1.0,1.0,,1.0,0.6666666666666666,,,,1.0,,,1.0,,1.0,,,60.631578947368425,35.0,12.5,35.0,12.5,,,,,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,0.6666666666666666,0.4452666666666667,,0.4452666666666667,,1.0,14.4,23.3,1.0,1.0,1.0,2.0,,2.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2001,2000-01,False
128-1521-252-304-330,1610612762,"David Benoit, Jacque Vaughn, Karl Malone, John Stockton, Danny Manning","Benoit, Vaughn, Malone, Stockton, Manning",128-1521-252-304-330,UTA,71.0,1,1.0,,3.0,2.0,,,,5.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,1.0,1.0,101.40845070422534,14.666666666666666,13.5,14.666666666666666,13.5,0.5,,,,,,,,,,,0.5,0.4736,,,,,4.95,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2001,2000-01,False
128-1521-252-317-923,1610612762,"David Benoit, Jacque Vaughn, Karl Malone, John Starks, Donyell Marshall","Benoit, Vaughn, Malone, Starks, Marshall",128-1521-252-317-923,UTA,92.0,1,2.0,-2.0,3.0,3.0,,,,6.0,,,,,,,3.0,,,1.0,3.0,,2.0,4.0,,,,,,,,2.0,,,,,1.0,1.0,,2.0,,,1.0,1.0,,1.0,,,,,1.0,2.0,,,,1.0,1.0,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,,,,1.0,,,1.0,,,,1.0,,93.91304347826086,15.333333333333334,15.333333333333334,15.333333333333334,15.333333333333334,,,,,1.0,,,,,,,,0.38556666666666667,,,,,18.033333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2001,2000-01,False
128-1521-252-330-935,1610612762,"David Benoit, Jacque Vaughn, Karl Malone, Danny Manning, Bryon Russell","Benoit, Vaughn, Malone, Manning, Russell",128-1521-252-330-935,UTA,192.0,3,3.0,3.0,6.0,7.0,6.0,5.0,,13.0,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,12.0,9.0,,,,1.0,2.0,1.0,12.0,,2.0,,1.0,,,1.0,,3.0,,,2.0,2.0,,2.0,,,,,4.0,12.0,12.0,6.0,1.0,,,0.5,,0.5,0.8333333333333334,,0.8333333333333334,0.8333333333333334,,0.8333333333333334,0.3333333333333333,,,1.0,,,1.0,,,,,,97.5,14.333333333333334,15.142857142857142,14.333333333333334,15.142857142857142,,,,,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,0.43818333333333337,,0.43818333333333337,,1.0,15.7,24.7,1.0,1.0,1.0,1.0,7.0,1.0,7.0,,1.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,0.3333333333333333,,,,,,,,,,3.0,,,,,,3.0,1.0,1.0,,1.0,,,,,1.0,,,,1.0,,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2001,2000-01,False
128-1521-252-923-935,1610612762,"David Benoit, Jacque Vaughn, Karl Malone, Donyell Marshall, Bryon Russell","Benoit, Vaughn, Malone, Marshall, Russell",128-1521-252-923-935,UTA,139.0,1,2.0,-6.0,4.0,3.0,4.0,3.0,,7.0,2.0,2.0,,,2.0,2.0,1.0,,,2.0,4.0,,4.0,10.0,,,,2.0,4.0,,4.0,4.0,,,,,2.0,2.0,2.0,4.0,,,,,,,,,,,1.0,4.0,4.0,4.0,,1.0,1.0,0.5,,0.5,0.5,,0.5,0.5,,0.5,,,,,,,,,,,,,72.51798561151078,23.25,15.333333333333334,23.25,15.333333333333334,0.5,1.0,1.0,1.0,0.25,,,,0.5,1.0,,0.5,0.417,,0.417,,1.0,8.525,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,0.25,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2001,2000-01,False
