EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,Fouls,Loose Ball Fouls,FTA,Technical Free Throw Trips,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,SecondChanceCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,DefTwoPtRebounds,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PtsPutbacks,Fg2aBlocked,ShootingFouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Blocked2s,BlockedAtRim,Blocks,LiveBallTurnoverPct,AtRimAssists,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,DefLongMidRangeReboundPct,AtRimPctAssisted,LongMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,ThreePtAssists,Corner3Assists,LongMidRangeAssists,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,FTDefRebounds,BadPassTurnovers,ThreePtShootingFoulsDrawn,AtRimPctBlocked,DefFTReboundPct,ThreePtShootingFoulsDrawnPct,Arc3FGM,PenaltyArc3FGM,NonHeaveArc3FGM,Arc3Assists,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PtsUnassisted3s,OffThreePtRebounds,SelfOReb,RecoveredBlocks,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,Steals,BadPassSteals,HeaveAttempts,DefCorner3ReboundPct,SecondChanceTurnovers,Offensive Fouls,SecondChanceArc3FGA,SecondChanceArc3Frequency,Fg3aBlocked,LostBallSteals,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,BadPassOutOfBoundsTurnovers,BlockedShortMidRange,DefensiveGoaltends,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceFG3M,FTOffRebounds,SecondChanceFg3Pct,OffFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,Travels,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffCorner3ReboundPct,Blocked3s,BlockedArc3,BlockedLongMidRange,3SecondViolations,team_id,year,season,team_vs
109-166-1731-216-406,1610612747,"Robert Horry, Ron Harper, Tyronn Lue, Brian Shaw, Shaquille O'Neal","Horry, Harper, Lue, Shaw, O'Neal",109-166-1731-216-406,LAL,238.0,1,4.0,-8.0,6.0,6.0,1.0,12.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,11.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.2,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.25,1.0,1.0,0.16666666666666666,0.5,1.0,72.60504201680672,18.666666666666668,21.0,16.333333333333332,21.0,0.14285714285714285,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,0.42857142857142855,0.4198571428571429,0.50895,11.64,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,True
109-166-1731-296-406,1610612747,"Robert Horry, Ron Harper, Tyronn Lue, Rick Fox, Shaquille O'Neal","Horry, Harper, Lue, Fox, O'Neal",109-166-1731-296-406,LAL,76.0,1,1.0,3.0,3.0,2.0,,5.0,2.0,,,,,,,2.0,2.0,,,4.0,1.0,,,,,,,,,,1.0,,1.0,1.0,,2.0,,4.0,,,1.0,1.0,0.6666666666666666,,,,1.0,,,,94.73684210526316,8.0,26.0,8.0,26.0,1.0,,,,,,,,,1.0,0.5401,,,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.5401,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,True
109-166-1731-406-977,1610612747,"Robert Horry, Ron Harper, Tyronn Lue, Shaquille O'Neal, Kobe Bryant","Horry, Harper, Lue, O'Neal, Bryant",109-166-1731-406-977,LAL,253.0,1,4.0,-9.0,7.0,8.0,1.0,15.0,2.0,1.0,4.0,,,,1.0,2.0,6.0,1.0,3.0,7.0,16.0,,,1.0,,,,,1.0,,2.0,1.0,3.0,3.0,,3.0,,4.0,,,0.3333333333333333,0.2857142857142857,0.4375,0.14285714285714285,0.25,,1.0,0.2,,,85.37549407114625,16.285714285714285,17.375,16.285714285714285,17.375,0.2857142857142857,0.5714285714285714,0.25,0.5,,,,0.14285714285714285,,0.42857142857142855,0.4776142857142857,0.5996,6.216666666666666,26.3,3.0,7.0,1.0,1.0,2.0,1.0,4.0,3.0,4.0,2.0,,3.0,3.0,1.0,0.25,0.25,0.375,1.0,1.0,0.5,0.5,0.5,0.5,0.503475,0.42857142857142855,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.5,0.3333333333333333,0.5,1.0,1.0,1.0,0.25,0.2857142857142857,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,True
109-166-2058-965-977,1610612747,"Robert Horry, Ron Harper, Mark Madsen, Derek Fisher, Kobe Bryant","Horry, Harper, Madsen, Fisher, Bryant",109-166-2058-965-977,LAL,171.0,2,3.0,-3.0,6.0,6.0,1.0,12.0,1.0,1.0,2.0,2.0,,,,1.0,5.0,,,2.0,5.0,,,,,,,,1.0,1.0,2.0,1.0,3.0,,,,,,,,0.2,0.2,0.2,,0.25,0.5,0.6666666666666666,0.25,1.0,1.0,101.05263157894737,10.5,18.0,10.5,18.0,0.2,0.4,0.5,0.5,,0.4,,,,0.2,0.45182,0.4956,10.540000000000001,,6.0,6.0,,,1.0,1.0,5.0,2.0,2.0,1.0,,2.0,6.0,,0.2,0.2,0.2,1.0,1.0,,,0.2,,0.45182,1.0,1.0,,,1.0,1.0,,2.0,,2.0,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,True
109-166-216-270-977,1610612747,"Robert Horry, Ron Harper, Brian Shaw, Horace Grant, Kobe Bryant","Horry, Harper, Shaw, Grant, Bryant",109-166-216-270-977,LAL,175.0,1,3.0,-1.0,6.0,5.0,1.0,11.0,1.0,,1.0,,,,,1.0,2.0,,6.0,8.0,9.0,,2.0,,1.0,1.0,,2.0,,,1.0,,1.0,1.0,,6.0,,8.0,1.0,1.0,0.5,0.5,0.8,,,,1.0,,,,90.51428571428572,13.5,18.8,12.166666666666666,18.8,0.5,0.5,,,,,,,,0.5,0.4009,0.3474,4.35,,6.0,5.0,1.0,1.0,1.0,1.0,2.0,8.0,,1.0,1.0,8.0,6.0,,0.5,0.5,0.8,1.0,,1.0,1.0,0.5,1.0,0.4009,1.0,1.0,,,,1.0,,,6.0,,,1.0,,2.0,,,,,,,,,0.5,0.5,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,True
109-166-216-406-977,1610612747,"Robert Horry, Ron Harper, Brian Shaw, Shaquille O'Neal, Kobe Bryant","Horry, Harper, Shaw, O'Neal, Bryant",109-166-216-406-977,LAL,402.0,2,7.0,-8.0,12.0,12.0,1.0,24.0,1.0,2.0,5.0,4.0,1.0,,1.0,3.0,10.0,2.0,,9.0,17.0,,4.0,1.0,2.0,3.0,1.0,7.0,1.0,2.0,3.0,1.0,4.0,,,,,7.0,0.6666666666666666,0.6666666666666666,0.3,0.375,0.375,0.16666666666666666,0.14285714285714285,0.6666666666666666,0.6,0.125,0.3333333333333333,1.0,85.97014925373134,21.5,12.0,20.583333333333332,11.5,0.08333333333333333,0.4166666666666667,0.4,0.5,0.5,0.3333333333333333,0.08333333333333333,0.08333333333333333,,0.25,0.39657916666666665,0.3637,12.7,24.0,10.0,,,,1.0,2.0,7.0,7.0,2.0,1.0,,7.0,10.0,,0.2857142857142857,0.3888888888888889,0.3888888888888889,0.5,,,,0.1111111111111111,,0.40676111111111113,0.7777777777777778,0.8333333333333334,,,1.0,1.0,,2.0,,,1.0,,,,1.0,1.0,1.0,0.1,0.2,,,,,,0.2222222222222222,,,1.0,1.0,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.25,0.25,1.0,1.0,1.0,1.0,0.1111111111111111,1.0,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,True
109-166-270-296-977,1610612747,"Robert Horry, Ron Harper, Horace Grant, Rick Fox, Kobe Bryant","Horry, Harper, Grant, Fox, Bryant",109-166-270-296-977,LAL,78.0,1,1.0,-1.0,4.0,3.0,,7.0,1.0,,,,,,,,1.0,,3.0,3.0,4.0,,,,,,,,,,1.0,,1.0,2.0,,3.0,,3.0,,,,,0.75,,,,,,,,129.23076923076923,11.0,11.333333333333334,11.0,11.333333333333334,1.0,,,,,,,,,1.0,0.5978,,,,4.0,3.0,,,1.0,,1.0,3.0,,,,3.0,4.0,2.0,,,0.75,,,,,1.0,,0.5978,1.0,1.0,,,,,,,3.0,,1.0,,,,,,,1.0,,,,,0.5,,,2.0,1.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,True
109-166-270-965-977,1610612747,"Robert Horry, Ron Harper, Horace Grant, Derek Fisher, Kobe Bryant","Horry, Harper, Grant, Fisher, Bryant",109-166-270-965-977,LAL,82.0,2,1.0,-4.0,3.0,5.0,,8.0,,,,1.0,,,2.0,1.0,1.0,2.0,,5.0,9.0,,,2.0,,1.0,,3.0,,,,,,4.0,,,,5.0,,,1.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,,,,,,,140.4878048780488,11.333333333333334,9.6,11.333333333333334,9.6,,,,,,0.3333333333333333,,0.6666666666666666,,0.6666666666666666,0.39585000000000004,,14.4,24.95,3.0,5.0,,,,1.0,1.0,5.0,2.0,,,5.0,3.0,3.0,1.0,0.8333333333333334,0.8333333333333334,,,,,,,0.39585000000000004,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,1.0,1.0,2.0,3.0,1.0,,,1.0,0.5,0.5,0.5,,1.0,1.0,,,,,,,0.6666666666666666,,,,,,,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,True
109-166-296-965-977,1610612747,"Robert Horry, Ron Harper, Rick Fox, Derek Fisher, Kobe Bryant","Horry, Harper, Fox, Fisher, Bryant",109-166-296-965-977,LAL,5.0,1,,,1.0,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,5.0,,5.0,,,,,,,1.0,,,,,0.2687,,19.7,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,0.2687,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,True
109-166-406-965-977,1610612747,"Robert Horry, Ron Harper, Shaquille O'Neal, Derek Fisher, Kobe Bryant","Horry, Harper, O'Neal, Fisher, Bryant",109-166-406-965-977,LAL,463.0,2,8.0,5.0,16.0,15.0,3.0,31.0,3.0,2.0,4.0,6.0,1.0,,2.0,6.0,13.0,3.0,7.0,25.0,20.0,,4.0,2.0,2.0,3.0,1.0,7.0,3.0,,3.0,4.0,7.0,5.0,,9.0,,21.0,0.3333333333333333,0.3333333333333333,0.46153846153846156,0.5625,0.625,0.1875,0.42857142857142855,,1.0,0.5,,,96.41468682505399,13.875,16.066666666666666,11.9375,16.066666666666666,0.1875,0.25,0.5,0.5,0.5,0.375,0.0625,0.125,,0.375,0.426940625,0.35255,11.76923076923077,25.266666666666666,12.0,9.0,2.0,1.0,1.0,4.0,10.0,19.0,8.0,3.0,1.0,19.0,12.0,,0.4,0.5384615384615384,0.6333333333333333,1.0,,0.6666666666666666,0.6666666666666666,0.07692307692307693,1.0,0.41693461538461535,0.76,0.75,,,1.0,3.0,2.0,4.0,5.0,,,4.0,1.0,4.0,0.3333333333333333,0.3333333333333333,0.5,,,1.0,,,0.21052631578947367,0.25,0.16,,,,,1.0,1.0,1.0,,,,,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,0.07692307692307693,1.0,0.15384615384615385,,,,,,,1.0,1.0,1.0,,0.5,0.5,,0.5,0.5,3.0,1.0,1.0,1.0,1.0,0.5,1.0,0.125,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,True
