EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,OffThreePtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,Fouls,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,Arc3FGM,FG3M,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,FtPoints,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,PenaltyDefPoss,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyTsPct,DefAtRimReboundPct,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,ShootingFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,FTDefRebounds,DefFTReboundPct,ShortMidRangeFGM,Corner3FGM,SecondChanceFtPoints,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,BadPassSteals,LostBallTurnovers,PenaltyTurnovers,AtRimPctBlocked,OffAtRimReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,SecondChanceFG3A,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,LongMidRangePctAssisted,SecondChanceCorner3Frequency,SelfOReb,OffensiveGoaltends,SelfORebPct,PenaltyArc3FGA,PenaltyFG3A,PtsUnassisted3s,Travels,Loose Ball Fouls,Blocked2s,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,PenaltyArc3Frequency,NonShootingPenaltyNonTakeFouls,Offensive Fouls,PenaltyArc3FGM,PenaltyFG3M,FTOffRebounds,PenaltyFg3Pct,OffFTReboundPct,PenaltyArc3Accuracy,Blocked3s,BlockedArc3,BlockedAtRim,SecondChanceTurnovers,3SecondViolations,DefCorner3ReboundPct,PenaltyCorner3FGM,PenaltyCorner3FGA,HeaveAttempts,LostBallOutOfBoundsTurnovers,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3FGA,SecondChanceArc3Frequency,Technical Free Throw Trips,Defensive 3 Seconds Violations,DefensiveGoaltends,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangePctBlocked,Corner3PctBlocked,3pt And 1 Free Throw Trips,BlockedCorner3,Clear Path Fouls,team_id,year,season,team_vs
109-145-296-323-375,1610612747,"Robert Horry, Tracy Murray, Rick Fox, Greg Foster, Isaiah Rider","Horry, Murray, Fox, Foster, Rider",109-145-296-323-375,LAL,163.0,1,3.0,-10.0,5.0,6.0,1.0,11.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,12.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.2,1.0,0.8,1.0,0.25,1.0,0.25,0.3333333333333333,1.0,97.17791411042944,19.0,11.333333333333334,18.8,11.333333333333334,0.2,1.0,1.0,0.2,0.6,0.8,0.51017,1.0,16.9,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,False
109-145-323-375-977,1610612747,"Robert Horry, Tracy Murray, Greg Foster, Isaiah Rider, Kobe Bryant","Horry, Murray, Foster, Rider, Bryant",109-145-323-375-977,LAL,117.0,1,2.0,4.0,4.0,3.0,1.0,7.0,,,,1.0,2.0,3.0,1.0,7.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,,,2.0,1.0,3.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.875,1.0,0.875,1.0,0.25,,,1.0,1.0,,,86.15384615384616,13.0,21.666666666666668,12.75,21.666666666666668,,,,,0.25,0.75,0.5724375,0.2857142857142857,4.066666666666666,25.6,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,5.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,False
109-145-375-406-977,1610612747,"Robert Horry, Tracy Murray, Isaiah Rider, Shaquille O'Neal, Kobe Bryant","Horry, Murray, Rider, O'Neal, Bryant",109-145-375-406-977,LAL,40.0,1,1.0,3.0,2.0,1.0,,3.0,,1.0,,,1.0,2.0,,3.0,,,,,,,,,,,,,,,,0.5,,0.5,,0.75,,,,,,,,,108.0,17.5,5.0,17.5,5.0,0.5,,,,,0.5,0.4717,,8.5,,1.0,1.0,,,,,,2.0,,,1.0,,1.0,,1.0,2.0,,,3.0,1.0,1.0,,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,False
109-166-1731-2058-977,1610612747,"Robert Horry, Ron Harper, Tyronn Lue, Mark Madsen, Kobe Bryant","Horry, Harper, Lue, Madsen, Bryant",109-166-1731-2058-977,LAL,61.0,1,1.0,,2.0,3.0,,5.0,,1.0,,,,1.0,,2.0,2.0,,,,,,,,1.0,2.0,,2.0,,,,,,,,0.5,,,1.0,,1.0,,,1.0,118.03278688524591,7.0,15.666666666666666,7.0,15.0,1.0,,,,,,0.4108,,16.9,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,0.5,1.0,0.4108,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,False
109-166-1731-216-270,1610612747,"Robert Horry, Ron Harper, Tyronn Lue, Brian Shaw, Horace Grant","Horry, Harper, Lue, Shaw, Grant",109-166-1731-216-270,LAL,77.0,1,1.0,,2.0,3.0,,5.0,,,,,2.0,2.0,,5.0,5.0,,,,2.0,,,,,,,,,,1.0,1.0,,1.0,,1.25,,,,,,,,,93.5064935064935,13.5,16.666666666666668,13.5,16.666666666666668,,,,,,1.0,0.5441,,2.55,,2.0,2.0,,,,,,2.0,,,1.0,,1.0,,1.0,2.0,,,5.0,0.5,0.5,,,,,,,,,1.0,1.0,1.0,0.5,,,,,,,,,1.0,1.0,1.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,5.0,,5.0,2.0,1.25,,0.5441,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,False
109-166-1731-270-296,1610612747,"Robert Horry, Ron Harper, Tyronn Lue, Horace Grant, Rick Fox","Horry, Harper, Lue, Grant, Fox",109-166-1731-270-296,LAL,1.0,1,,-2.0,,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,1440.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,False
109-166-1731-296-977,1610612747,"Robert Horry, Ron Harper, Tyronn Lue, Rick Fox, Kobe Bryant","Horry, Harper, Lue, Fox, Bryant",109-166-1731-296-977,LAL,12.0,1,,-2.0,1.0,1.0,,2.0,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,3.0,9.0,3.0,9.0,,,,,,,0.2042,,11.9,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,0.2042,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,False
109-166-1731-323-977,1610612747,"Robert Horry, Ron Harper, Tyronn Lue, Greg Foster, Kobe Bryant","Horry, Harper, Lue, Foster, Bryant",109-166-1731-323-977,LAL,19.0,1,,-2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,False
109-166-1904-2058-977,1610612747,"Robert Horry, Ron Harper, Devean George, Mark Madsen, Kobe Bryant","Horry, Harper, George, Madsen, Bryant",109-166-1904-2058-977,LAL,351.0,1,6.0,6.0,9.0,9.0,2.0,18.0,,1.0,2.0,1.0,4.0,7.0,3.0,13.0,7.0,,2.0,2.0,2.0,,1.0,2.0,,3.0,4.0,7.0,,1.0,4.0,0.5714285714285714,,0.55,,0.5416666666666666,0.3333333333333333,0.3,,1.0,0.6,0.8,1.0,,73.84615384615385,17.88888888888889,21.11111111111111,15.88888888888889,20.333333333333332,0.1,,,0.2,0.1,0.6,0.49582499999999996,0.15384615384615385,7.285714285714286,24.766666666666666,2.0,3.0,,1.0,3.0,,1.0,6.0,3.0,,3.0,1.0,4.0,,1.0,9.0,2.0,3.0,11.0,0.75,0.75,1.0,0.3333333333333333,0.3333333333333333,0.6,0.6666666666666666,1.0,0.5,0.6666666666666666,0.3,0.6666666666666666,0.6666666666666666,0.5,0.3,,,,0.5,,,0.3458,2.0,4.0,,2.0,0.16666666666666666,0.2222222222222222,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,False
109-166-1904-296-375,1610612747,"Robert Horry, Ron Harper, Devean George, Rick Fox, Isaiah Rider","Horry, Harper, George, Fox, Rider",109-166-1904-296-375,LAL,12.0,1,,2.0,1.0,,1.0,1.0,,1.0,,,,1.0,,2.0,,,1.0,2.0,,,,,,,1.0,1.0,,,,,,,,0.5,0.5,,,,,1.0,,,120.0,10.0,,,,1.0,,,,,,0.278,1.0,17.4,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,0.278,2.0,2.0,,,,,1.0,,1.0,2.0,2.0,1.0,2.0,1.0,0.5,,0.278,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2001,2000-01,False
