EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,LongMidRangeFGA,Arc3FGA,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,NonHeaveArc3FGA,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGA,FG2M,SecondChanceFG2M,PenaltyFG2A,PtsUnassisted2s,PtsPutbacks,FTDefRebounds,Steals,LostBallSteals,Loose Ball Fouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,ShortMidRangePctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Corner3Frequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyShotQualityAvg,PenaltyOffPossPct,ShortMidRangeFGM,PenaltyFG2M,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,LiveBallTurnovers,LostBallTurnovers,PenaltyTurnovers,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyPointsPct,BadPassSteals,PenaltyCorner3FGA,PenaltyFG3A,PenaltyFtPoints,BadPassTurnovers,LostBallOutOfBoundsTurnovers,BlockedAtRim,PenaltyCorner3Frequency,LongMidRangeFGM,LongMidRangeAssists,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,OffThreePtRebounds,BlockedLongMidRange,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,OffThreePtReboundPct,OffCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyAtRimFGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,SelfOReb,DefensiveGoaltends,PenaltyFg3Pct,SelfORebPct,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,Corner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,Corner3Assists,Travels,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceFg3Pct,LongMidRangePctBlocked,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,FTOffRebounds,OffFTReboundPct,Blocked3s,BlockedCorner3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,BlockedArc3,FG3APctBlocked,Arc3PctBlocked,HeaveAttempts,team_id,year,season,team_vs
124-1513-1517-2045-468,1610612758,"Vlade Divac, Scot Pollard, Bobby Jackson, Hedo Turkoglu, Jon Barry","Divac, Pollard, Jackson, Turkoglu, Barry",124-1513-1517-2045-468,SAC,209.0,1,3.0,-4.0,5.0,6.0,3.0,11.0,3.0,3.0,4.0,1.0,7.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,3.0,5.0,8.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.05555555555555555,0.1,0.125,0.14285714285714285,0.3333333333333333,1.0,0.7142857142857143,1.0,1.0,0.625,0.3333333333333333,1.0,1.0,1.0,1.0,75.78947368421052,1.0,22.0,16.5,17.2,16.5,0.375,0.5,0.125,0.75,0.5,0.46531875,0.49595,0.1111111111111111,0.125,1.0,9.242857142857144,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2001,2000-01,False
124-1513-1517-2045-57,1610612758,"Vlade Divac, Scot Pollard, Bobby Jackson, Hedo Turkoglu, Doug Christie","Divac, Pollard, Jackson, Turkoglu, Christie",124-1513-1517-2045-57,SAC,165.0,2,3.0,-3.0,6.0,6.0,2.0,12.0,2.0,1.0,2.0,,6.0,1.0,,2.0,5.0,2.0,,2.0,,1.0,2.0,,1.0,2.0,2.0,4.0,,,,2.0,,2.0,1.0,1.0,1.0,1.0,,0.125,0.5,0.14285714285714285,0.16666666666666666,,1.0,0.4,,1.0,0.3333333333333333,,0.5,,,,104.72727272727273,,17.0,10.5,15.0,10.5,0.2857142857142857,0.2857142857142857,,0.5,0.42857142857142855,0.4594571428571429,0.4489,0.125,0.14285714285714285,1.0,7.566666666666666,22.6,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,0.16666666666666666,0.5,0.14285714285714285,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.2857142857142857,0.14285714285714285,1.0,0.25,0.415725,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2001,2000-01,False
124-1513-1517-2045-978,1610612758,"Vlade Divac, Scot Pollard, Bobby Jackson, Hedo Turkoglu, Peja Stojakovic","Divac, Pollard, Jackson, Turkoglu, Stojakovic",124-1513-1517-2045-978,SAC,171.0,1,3.0,2.0,7.0,7.0,2.0,14.0,4.0,2.0,1.0,,7.0,,1.0,7.0,5.0,2.0,,2.0,,,2.0,3.0,,3.0,2.0,5.0,,2.0,1.0,1.0,,2.0,,,,,,0.4375,0.5,,,,,0.5,1.0,1.0,0.5,0.5,,,,1.0,117.89473684210526,,13.857142857142858,10.571428571428571,13.0,10.571428571428571,0.5714285714285714,0.14285714285714285,,1.0,0.5714285714285714,0.46362857142857145,0.5471,,,0.2857142857142857,5.042857142857143,,5.0,7.0,2.0,1.0,1.0,2.0,,3.0,1.0,4.0,4.0,2.0,,1.0,1.0,,5.0,,0.42857142857142855,0.5,0.42857142857142855,0.5,,,1.0,,0.5,0.5,0.2857142857142857,,0.5,0.25,0.4243,0.7142857142857143,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,0.3333333333333333,0.5,0.25,0.25,0.25,1.0,1.0,0.5,0.5,0.5,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2001,2000-01,False
124-1513-1517-468-978,1610612758,"Vlade Divac, Scot Pollard, Bobby Jackson, Jon Barry, Peja Stojakovic","Divac, Pollard, Jackson, Barry, Stojakovic",124-1513-1517-468-978,SAC,140.0,1,2.0,-1.0,3.0,3.0,1.0,6.0,1.0,,,,3.0,,1.0,3.0,4.0,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,2.0,1.0,,,,,0.375,0.5,,0.3333333333333333,,,0.5,,,0.5,,,,,,61.71428571428571,,19.666666666666668,27.0,19.333333333333332,25.333333333333332,0.3333333333333333,,,,0.3333333333333333,0.4621,,0.25,0.25,0.3333333333333333,3.8333333333333335,,,,1.0,,,2.0,,1.0,,,,,,,,,,,0.3333333333333333,,0.3333333333333333,,0.5,,0.5,,1.0,1.0,0.6666666666666666,,,,,,,,,2.0,1.0,1.0,1.0,2.0,,,,,2.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2001,2000-01,False
124-1513-1517-57-978,1610612758,"Vlade Divac, Scot Pollard, Bobby Jackson, Doug Christie, Peja Stojakovic","Divac, Pollard, Jackson, Christie, Stojakovic",124-1513-1517-57-978,SAC,120.0,2,2.0,2.0,4.0,3.0,,7.0,,,1.0,,3.0,1.0,,2.0,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,0.25,,0.25,0.3333333333333333,,0.5,,,0.5,,,,1.0,,,84.0,,13.25,22.333333333333332,13.25,18.333333333333332,,0.25,,,0.25,0.4497,,,,,8.866666666666667,24.1,,1.0,,,,2.0,1.0,1.0,,,2.0,,,1.0,,,,,0.3333333333333333,,0.25,,0.5,,,,,,0.5,0.25,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,0.5,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2001,2000-01,False
124-1513-1715-57-978,1610612758,"Vlade Divac, Scot Pollard, Jason Williams, Doug Christie, Peja Stojakovic","Divac, Pollard, Williams, Christie, Stojakovic",124-1513-1715-57-978,SAC,209.0,1,3.0,-9.0,7.0,8.0,,15.0,,,,,,1.0,3.0,3.0,12.0,,,,,,,,2.0,2.0,,2.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,,1.0,1.0,0.5,,1.0,,,1.0,,,0.6666666666666666,,,,,1.0,,103.34928229665071,1.0,13.714285714285714,14.125,13.714285714285714,11.375,,,,,1.0,0.582,,0.5,1.0,,,24.2,7.0,8.0,,,,,1.0,,,,,,,,,,7.0,,,,,,,,,1.0,,,,1.0,,,0.582,1.0,,,3.0,,,,,,2.0,1.0,4.0,1.0,3.0,3.0,,,,,0.5,0.5,,,,,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2001,2000-01,False
124-1517-1715-185-978,1610612758,"Vlade Divac, Bobby Jackson, Jason Williams, Chris Webber, Peja Stojakovic","Divac, Jackson, Williams, Webber, Stojakovic",124-1517-1715-185-978,SAC,111.0,1,2.0,2.0,4.0,4.0,,8.0,1.0,,1.0,,4.0,,,4.0,2.0,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,,0.5,,,,,1.0,,,1.0,,,,1.0,1.0,,103.78378378378378,,13.0,14.75,13.0,14.75,0.25,0.25,,,0.25,0.4637,,,,,9.25,,,4.0,,,,2.0,,2.0,,,2.0,,,,,,,,0.5,,0.5,,,,,,,,0.5,,,,,,1.0,,,2.0,1.0,1.0,,2.0,,,,,4.0,,0.5,0.5,,,,,,,0.5,0.5,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2001,2000-01,False
124-1517-185-2045-468,1610612758,"Vlade Divac, Bobby Jackson, Chris Webber, Hedo Turkoglu, Jon Barry","Divac, Jackson, Webber, Turkoglu, Barry",124-1517-185-2045-468,SAC,142.0,1,2.0,-3.0,5.0,4.0,,9.0,,,2.0,,3.0,,,4.0,7.0,,,,,,,,1.0,1.0,,1.0,,2.0,2.0,2.0,,,,,,,,0.6666666666666666,,,,,0.5,,,0.5,,,,0.5,,,91.26760563380282,,14.8,17.0,14.8,17.0,,0.6666666666666666,,,,0.3756333333333333,,,,,13.166666666666666,,,,,,,1.0,,2.0,,,4.0,,,,,,,,0.6666666666666666,,0.6666666666666666,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,2.0,2.0,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2001,2000-01,False
124-1517-185-2045-57,1610612758,"Vlade Divac, Bobby Jackson, Chris Webber, Hedo Turkoglu, Doug Christie","Divac, Jackson, Webber, Turkoglu, Christie",124-1517-185-2045-57,SAC,547.0,5,9.0,3.0,19.0,20.0,1.0,39.0,4.0,1.0,4.0,2.0,9.0,5.0,5.0,17.0,14.0,1.0,,,2.0,1.0,1.0,2.0,7.0,11.0,2.0,13.0,1.0,4.0,1.0,2.0,1.0,6.0,3.0,3.0,1.0,3.0,3.0,0.5,,0.35714285714285715,0.1111111111111111,0.25,0.875,0.16666666666666666,1.0,0.9,0.2222222222222222,,0.3333333333333333,0.5,1.0,1.0,102.6691042047532,1.0,15.578947368421053,12.55,15.31578947368421,12.45,0.2857142857142857,0.2857142857142857,0.14285714285714285,1.0,0.6428571428571429,0.4840035714285714,0.5316,0.17647058823529413,0.25,,8.399999999999999,23.16,3.0,,2.0,,1.0,1.0,3.0,3.0,,1.0,2.0,,2.0,2.0,,,3.0,,0.3333333333333333,,0.42857142857142855,,,1.0,,1.0,0.5,0.6666666666666666,0.07142857142857142,0.21428571428571427,,1.0,0.5158,0.15789473684210525,,,1.0,4.0,2.0,4.0,1.0,10.0,3.0,1.0,1.0,,17.0,1.0,0.6666666666666666,0.6666666666666666,,,0.25,0.75,,0.5,,,0.058823529411764705,2.0,,,1.0,2.0,,1.0,,1.0,1.0,0.25,0.25,1.0,2.0,2.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,0.4,0.4,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2001,2000-01,False
124-1517-185-2045-978,1610612758,"Vlade Divac, Bobby Jackson, Chris Webber, Hedo Turkoglu, Peja Stojakovic","Divac, Jackson, Webber, Turkoglu, Stojakovic",124-1517-185-2045-978,SAC,494.0,2,8.0,13.0,16.0,15.0,2.0,31.0,4.0,1.0,5.0,3.0,11.0,3.0,4.0,26.0,13.0,2.0,,4.0,3.0,,2.0,1.0,5.0,6.0,2.0,8.0,,1.0,1.0,1.0,,6.0,3.0,1.0,,1.0,1.0,0.7647058823529411,1.0,0.21428571428571427,,,1.0,0.6666666666666666,1.0,1.0,0.5,,0.6666666666666666,1.0,1.0,1.0,90.36437246963564,1.0,14.125,17.866666666666667,13.25,17.866666666666667,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.5,0.5,0.4574142857142857,0.3941,0.17647058823529413,0.21428571428571427,0.15384615384615385,9.336363636363636,25.03333333333333,4.0,,4.0,1.0,1.0,2.0,,8.0,2.0,1.0,10.0,2.0,,,,,4.0,,0.7272727272727273,1.0,0.7857142857142857,1.0,,,,1.0,1.0,1.0,0.14285714285714285,,1.0,0.3333333333333333,0.5353,0.25,2.0,1.0,5.0,6.0,3.0,5.0,2.0,12.0,1.0,,1.0,,22.0,5.0,0.375,0.42857142857142855,1.0,0.8333333333333334,0.8333333333333334,1.0,,0.5,1.0,1.0,0.19230769230769232,,,2.0,,1.0,,1.0,,2.0,1.0,0.4,0.4,0.5,2.0,2.0,6.0,2.0,2.0,2.0,,,1.0,0.6666666666666666,0.6666666666666666,,,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.25,1.0,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2001,2000-01,False
