EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,FtPoints,Points,OpponentPoints,PenaltyFtPoints,PenaltyPoints,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,NonShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,FG3APct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFG2A,ShortMidRangeAssists,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,LiveBallTurnoverPct,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Fg2aBlocked,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,OffShortMidRangeReboundPct,BlocksRecoveredPct,LongMidRangePctAssisted,HeaveAttempts,Loose Ball Fouls,2pt And 1 Free Throw Trips,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,DefShortMidRangeReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,PtsPutbacks,OffThreePtRebounds,FTDefRebounds,Defensive 3 Seconds Violations,SecondChanceFg2Pct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,LostBallSteals,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,ShortMidRangePctBlocked,Technical Free Throw Trips,OffCorner3ReboundPct,SecondChanceFtPoints,SecondChanceAtRimPctAssisted,Travels,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,FTOffRebounds,OffFTReboundPct,PtsUnassisted3s,LongMidRangePctBlocked,Blocked3s,BlockedArc3,Clear Path Fouls,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveMakes,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,BlockedCorner3,OffensiveGoaltends,team_id,year,season,team_vs
1110-123-145-1711-384,1610612743,"Mark Strickland, Robert Pack, Tracy Murray, Raef LaFrentz, Calbert Cheaney","Strickland, Pack, Murray, LaFrentz, Cheaney",1110-123-145-1711-384,DEN,41.0,1,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,105.36585365853658,3.0,19.0,3.0,19.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2001,2000-01,True
1110-123-145-1711-45,1610612743,"Mark Strickland, Robert Pack, Tracy Murray, Raef LaFrentz, George McCloud","Strickland, Pack, Murray, LaFrentz, McCloud",1110-123-145-1711-45,DEN,187.0,1,3.0,8.0,8.0,7.0,6.0,,15.0,1.0,13.0,5.0,1.0,13.0,2.0,3.0,4.0,1.0,1.0,2.0,,10.0,13.0,6.0,0.8125,0.9285714285714286,1.0,1.0,,115.50802139037432,11.5,13.571428571428571,11.0,13.571428571428571,,,1.0,0.75,1.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,6.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.6,0.75,0.8571428571428571,1.5,1.0,1.5,0.2857142857142857,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,0.2857142857142857,0.5,0.5,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.16666666666666666,1.0,0.16666666666666666,1.0,0.7142857142857143,1.0,0.5312071428571429,0.53955,0.5577916666666667,0.23076923076923078,4.5,24.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2001,2000-01,True
1110-123-145-1721-1763,1610612743,"Mark Strickland, Robert Pack, Tracy Murray, Keon Clark, Ryan Bowen","Strickland, Pack, Murray, Clark, Bowen",1110-123-145-1721-1763,DEN,400.0,1,7.0,-9.0,15.0,16.0,2.0,6.0,31.0,2.0,8.0,17.0,,,4.0,5.0,6.0,3.0,4.0,2.0,1.0,8.0,,2.0,0.4,,0.5,0.5555555555555556,0.5714285714285714,111.6,15.4,10.5625,14.466666666666667,10.0625,0.1,0.1,,0.13333333333333333,1.0,1.0,2.0,,,1.0,1.0,,,,,,,,,,,3.0,9.0,,,,,,,1.0,,,4.0,2.0,,,,2.0,,2.0,,,1.0,4.0,1.0,1.0,1.0,,2.0,2.0,,0.6666666666666666,0.6666666666666666,,,,,,0.3333333333333333,,0.3333333333333333,,,,,0.16666666666666666,1.0,0.16666666666666666,,,1.0,,0.2222222222222222,0.5,0.5,1.0,0.1111111111111111,1.0,1.0,,,,,,,,,,,,,,,,,,0.2222222222222222,,0.44114444444444445,0.4214,0.3728,,13.7,,1.0,6.0,1.0,1.0,6.0,3.0,3.0,6.0,1.0,1.0,0.2,1.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2001,2000-01,True
1110-123-145-1721-384,1610612743,"Mark Strickland, Robert Pack, Tracy Murray, Keon Clark, Calbert Cheaney","Strickland, Pack, Murray, Clark, Cheaney",1110-123-145-1721-384,DEN,232.0,1,4.0,-1.0,8.0,8.0,8.0,8.0,16.0,,5.0,6.0,,5.0,2.0,2.0,4.0,1.0,1.0,,,2.0,5.0,8.0,0.3125,0.3125,1.0,0.6666666666666666,1.0,99.3103448275862,17.25,11.75,15.75,11.5,,,1.0,1.0,1.0,,1.0,,1.0,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,3.0,1.0,7.0,1.0,1.0,2.0,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,,5.0,2.0,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.3125,0.75,0.3125,0.75,0.125,0.3333333333333333,,0.3333333333333333,1.0,1.0,,0.2,0.125,,,,0.25,,,,,,,0.125,1.0,1.0,1.0,0.5,1.0,1.0,0.125,,,,0.125,1.0,0.25,1.0,0.41719375,0.456575,0.41719375,0.6,13.357142857142858,25.5,1.0,4.0,1.0,,1.0,1.0,,2.0,2.0,0.5,,,0.5,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2001,2000-01,True
1110-123-145-1721-45,1610612743,"Mark Strickland, Robert Pack, Tracy Murray, Keon Clark, George McCloud","Strickland, Pack, Murray, Clark, McCloud",1110-123-145-1721-45,DEN,166.0,1,3.0,2.0,7.0,6.0,3.0,6.0,13.0,2.0,10.0,8.0,,2.0,2.0,2.0,2.0,,1.0,3.0,1.0,10.0,2.0,3.0,0.7142857142857143,0.3333333333333333,0.6666666666666666,0.6666666666666666,,112.7710843373494,14.142857142857142,11.166666666666666,14.142857142857142,11.166666666666666,0.16666666666666666,0.2,0.2,0.42857142857142855,,3.0,3.0,1.0,1.0,,,,,,,,1.0,,,,1.0,4.0,5.0,,1.0,,,,1.0,2.0,,1.0,6.0,2.0,,,,3.0,,3.0,,,2.0,6.0,,,,,,,1.0,0.75,0.75,,,,,,0.8,0.5,0.6666666666666666,,0.3333333333333333,,0.16666666666666666,,,,,1.0,,,0.5,1.0,1.0,0.6666666666666666,,,,,,,,0.16666666666666666,,,,,,,0.3333333333333333,1.0,,,0.3333333333333333,,0.6666666666666666,,0.46024000000000004,,0.4644,,6.779999999999999,43.4,1.0,2.0,,,1.0,1.0,,1.0,,1.0,,,0.3333333333333333,0.5,0.5,,1.0,,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2001,2000-01,True
1110-123-145-1721-702,1610612743,"Mark Strickland, Robert Pack, Tracy Murray, Keon Clark, Voshon Lenard","Strickland, Pack, Murray, Clark, Lenard",1110-123-145-1721-702,DEN,306.0,2,5.0,6.0,11.0,10.0,3.0,10.0,21.0,2.0,15.0,9.0,,7.0,4.0,6.0,9.0,,4.0,2.0,1.0,13.0,7.0,3.0,0.5769230769230769,1.1666666666666667,1.0,1.0,1.0,98.82352941176471,11.909090909090908,17.5,11.090909090909092,16.4,0.07692307692307693,0.09090909090909091,0.4666666666666667,0.2727272727272727,2.0,5.0,8.0,2.0,2.0,,1.0,,,,,1.0,2.0,,,1.0,1.0,5.0,10.0,1.0,2.0,,,2.0,2.0,2.0,1.0,1.0,6.0,4.0,3.0,2.0,1.0,3.0,1.0,4.0,1.0,,3.0,9.0,2.0,1.0,3.0,,,,,0.6,0.75,1.0,0.5,,1.0,0.5,0.5,1.0,0.5416666666666666,0.3333333333333333,1.1666666666666667,0.3333333333333333,0.16666666666666666,0.4,1.0,0.5,0.3333333333333333,1.0,,,0.6666666666666666,0.625,0.7142857142857143,0.6,0.08333333333333333,,,,,,,0.16666666666666666,0.5,0.5,1.0,,,,0.6666666666666666,1.0,,,0.3333333333333333,1.0,0.8333333333333334,0.5,0.5779916666666667,0.701,0.5982500000000001,0.13333333333333333,2.65,26.1,,1.0,3.0,,1.0,1.0,,1.0,,1.0,,,0.08333333333333333,,,1.0,,,,1.0,1.0,1.0,1.0,0.1,0.125,1.0,1.0,,,,,,4.0,,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2001,2000-01,True
1110-123-145-1899-426,1610612743,"Mark Strickland, Robert Pack, Tracy Murray, James Posey, Terry Davis","Strickland, Pack, Murray, Posey, Davis",1110-123-145-1899-426,DEN,640.0,1,11.0,2.0,20.0,20.0,3.0,7.0,40.0,3.0,21.0,19.0,,4.0,6.0,7.0,8.0,4.0,8.0,3.0,2.0,21.0,4.0,3.0,0.65625,1.0,0.8571428571428571,0.6666666666666666,,90.0,16.75,15.25,16.05,14.55,0.125,0.14285714285714285,0.19047619047619047,0.15,1.0,5.0,6.0,,,1.0,1.0,,1.0,,,,1.0,,,,,9.0,13.0,,2.0,,,,2.0,2.0,,,12.0,6.0,,1.0,,6.0,,6.0,,,4.0,12.0,1.0,,1.0,,3.0,,,0.6666666666666666,0.6666666666666666,,,,,,0.6923076923076923,1.0,0.6,,1.0,,0.13333333333333333,0.25,,0.16666666666666666,1.0,1.0,,,0.4,0.8333333333333334,0.8333333333333334,0.8,0.06666666666666667,1.0,1.0,0.06666666666666667,,,,0.06666666666666667,,,,,,,,,,,,,0.5333333333333333,,0.49339,,0.3512,,9.176923076923076,23.95,3.0,6.0,,,,,,4.0,,,,,0.4,0.5,0.5,,2.0,,4.0,,,,,,,,,0.6666666666666666,,1.0,1.0,,,0.75,,,,,,1.0,,,1.0,,,,,,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2001,2000-01,True
1110-123-145-426-702,1610612743,"Mark Strickland, Robert Pack, Tracy Murray, Terry Davis, Voshon Lenard","Strickland, Pack, Murray, Davis, Lenard",1110-123-145-426-702,DEN,80.0,1,1.0,6.0,3.0,2.0,,,5.0,,6.0,,,,,1.0,1.0,,,,,6.0,,,1.0,,,1.0,,90.0,15.333333333333334,17.0,15.333333333333334,17.0,,,,,,1.0,1.0,,,2.0,2.0,,,,,,,,,,,3.0,3.0,,,,,,,,,,4.0,2.0,,,,2.0,,2.0,,,1.0,4.0,,1.0,,,,,,0.6666666666666666,0.6666666666666666,,,,,,1.0,,1.0,,,,,,1.0,,,,1.0,,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,0.3333333333333333,,0.49076666666666663,,,,5.8,,,,,1.0,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2001,2000-01,True
1110-123-1505-1721-1763,1610612743,"Mark Strickland, Robert Pack, Tariq Abdul-Wahad, Keon Clark, Ryan Bowen","Strickland, Pack, Abdul-Wahad, Clark, Bowen",1110-123-1505-1721-1763,DEN,81.0,1,1.0,-3.0,2.0,3.0,,,5.0,,3.0,6.0,,,,,2.0,1.0,1.0,,,3.0,,,0.375,,,,,88.88888888888889,29.0,7.666666666666667,24.5,7.666666666666667,,,,,1.0,,1.0,,,,1.0,,,,,1.0,2.0,,,,,,2.0,1.0,2.0,,,,,,,,,,3.0,2.0,1.0,,1.0,1.0,1.0,,,3.0,1.0,,2.0,,,,,,,1.0,0.5,,,0.5,,,0.375,,,,0.5,0.5,,0.6666666666666666,1.0,,,,0.25,,,,0.25,,,,,,,0.5,0.5,0.5,1.0,,,,,,,,,,0.75,0.5,0.5643875,0.5659,,,2.75,24.75,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,0.5,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,,0.5,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2001,2000-01,True
1110-123-1505-1721-45,1610612743,"Mark Strickland, Robert Pack, Tariq Abdul-Wahad, Keon Clark, George McCloud","Strickland, Pack, Abdul-Wahad, Clark, McCloud",1110-123-1505-1721-45,DEN,239.0,1,4.0,11.0,10.0,9.0,,,19.0,3.0,13.0,2.0,,,4.0,5.0,6.0,,1.0,3.0,1.0,13.0,,,0.6666666666666666,,0.8,0.8333333333333334,1.0,114.47698744769875,12.1,13.11111111111111,12.0,12.11111111111111,0.1111111111111111,0.125,,,1.0,2.0,2.0,,,1.0,3.0,,1.0,,,,,,,,,5.0,7.0,,1.0,,,,,,,,8.0,2.0,,,,4.0,,4.0,,,1.0,8.0,,1.0,1.0,,2.0,,,0.8,0.8,,,,,,0.7142857142857143,,0.625,,,,0.125,,1.0,0.3333333333333333,,1.0,1.0,,0.25,1.0,1.0,0.5,0.375,0.3333333333333333,0.3333333333333333,0.125,,,,,,,,,,,,,,,,,0.375,,0.4871375,,,,8.057142857142857,24.5,2.0,2.0,,1.0,1.0,,1.0,2.0,,0.5,,1.0,0.25,1.0,1.0,,2.0,,1.0,,,,,,,,,1.0,,,,,,0.5,,,,,1.0,,,,,1.0,,,,,2.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2001,2000-01,True
