EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Offensive Fouls Drawn,DeadBallTurnovers,Offensive Fouls,Corner3FGA,SecondChanceTurnovers,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,OffCorner3ReboundPct,Corner3Frequency,LostBallSteals,HeaveAttempts,FTDefRebounds,DefFTReboundPct,BadPassOutOfBoundsTurnovers,SecondChanceCorner3FGA,LostBallTurnovers,Blocked3s,BlockedCorner3,SecondChanceCorner3Frequency,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,NonShootingPenaltyNonTakeFouls,BlockingFouls,PenaltyCorner3FGA,PenaltyFtPoints,FTOffRebounds,Travels,PenaltyTurnovers,BlockedLongMidRange,OffFTReboundPct,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Defensive 3 Seconds Violations,SecondChanceArc3FGM,SecondChanceFG3M,Charge Fouls,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Loose Ball Fouls Drawn,SecondChanceCorner3FGM,PenaltyCorner3FGM,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,DefensiveGoaltends,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,3SecondViolations,Fg3aBlocked,StepOutOfBoundsTurnovers,FG3APctBlocked,Corner3PctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffensiveGoaltends,BlockedArc3,Clear Path Fouls,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1626148-1626209-201228-202687-204014,1610612753,"Anthony Brown, Mario Hezonja, C.J. Watson, Bismack Biyombo, Damjan Rudez","Brown, Hezonja, Watson, Biyombo, Rudez",1626148-1626209-201228-202687-204014,ORL,760.0,2,13.0,16.0,25.0,24.0,5.0,9.0,4.0,49.0,5.0,6.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,7.0,4.0,10.0,1.0,1.0,11.0,17.0,4.0,10.0,3.0,37.0,21.0,2.0,2.0,1.0,2.0,6.0,3.0,6.0,1.0,6.0,14.0,8.0,9.0,3.0,2.0,10.0,4.0,1.0,7.0,3.0,10.0,3.0,3.0,2.0,2.0,23.0,2.0,3.0,5.0,6.0,11.0,5.0,16.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,5.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,31.0,6.0,5.0,0.6363636363636364,0.7,0.75,0.4,0.4,0.6470588235294118,1.0,0.5,0.6296296296296297,0.6666666666666666,0.42857142857142855,0.6379310344827587,0.6,0.375,0.37037037037037035,0.058823529411764705,0.16666666666666666,1.0,0.8571428571428571,0.5,0.7142857142857143,0.3333333333333333,0.7857142857142857,0.4166666666666667,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,0.75,0.09090909090909091,92.8421052631579,0.5,14.48,16.583333333333332,13.76,15.583333333333334,0.2222222222222222,0.8333333333333334,1.0,0.6,0.14814814814814814,0.5,0.5,1.0,0.25925925925925924,0.5714285714285714,0.5714285714285714,0.5,0.37037037037037035,0.4,0.4,0.75,0.3333333333333333,1.0,0.3333333333333333,0.2857142857142857,0.5,0.14285714285714285,0.5925925925925926,0.4,0.5132592592592593,0.5876,0.48174285714285714,0.10344827586206896,0.15789473684210525,0.16216216216216217,0.16216216216216217,10.01764705882353,25.79,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2017,2016-17,False
1626148-1626209-201571-202687-204014,1610612753,"Anthony Brown, Mario Hezonja, D.J. Augustin, Bismack Biyombo, Damjan Rudez","Brown, Hezonja, Augustin, Biyombo, Rudez",1626148-1626209-201571-202687-204014,ORL,147.0,1,2.0,1.0,5.0,5.0,,,,10.0,1.0,1.0,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,3.0,4.0,1.0,1.0,,9.0,8.0,,,,,,,,,,6.0,,3.0,,,1.0,1.0,,3.0,1.0,4.0,1.0,1.0,1.0,1.0,9.0,,,,1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,9.0,,,1.0,1.0,1.0,1.0,1.0,0.75,,,0.9,,,0.9,,,0.2,,,,1.0,,,,1.0,,,,,1.0,,,,,,97.95918367346938,,17.0,12.4,17.0,12.4,0.2,1.0,1.0,1.0,0.4,0.5,0.5,1.0,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,,,,,,,0.4,1.0,0.49461000000000005,,,,,,,9.675,25.6,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2017,2016-17,False
1626148-201228-201571-202687-204014,1610612753,"Anthony Brown, C.J. Watson, D.J. Augustin, Bismack Biyombo, Damjan Rudez","Brown, Watson, Augustin, Biyombo, Rudez",1626148-201228-201571-202687-204014,ORL,82.0,1,1.0,-2.0,2.0,2.0,,,,4.0,,,,,,,,,,,,1.0,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,1.0,,,,70.2439024390244,,19.5,21.5,19.5,21.5,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,0.438,,,,,,,,26.4,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2017,2016-17,False
1626209-1627757-1627868-1627875-201571,1610612753,"Mario Hezonja, Stephen Zimmerman, Patricio Garino, Marcus Georges-Hunt, D.J. Augustin","Hezonja, Zimmerman, Garino, Georges-Hunt, Augustin",1626209-1627757-1627868-1627875-201571,ORL,307.0,1,5.0,-5.0,8.0,8.0,,,4.0,16.0,,1.0,,1.0,,,1.0,5.0,1.0,4.0,1.0,1.0,,,2.0,10.0,1.0,2.0,,7.0,12.0,2.0,4.0,,,4.0,,,,,2.0,2.0,3.0,,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,1.0,5.0,1.0,4.0,2.0,1.0,3.0,5.0,8.0,,,,1.0,1.0,1.0,2.0,4.0,,1.0,,,,,,,,,3.0,,,0.5,0.5,1.0,0.5,0.5,0.2,0.5,,0.2916666666666667,0.5,,0.2916666666666667,0.5,,0.16666666666666666,0.2,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.75,0.5555555555555556,1.0,0.6666666666666666,,,1.0,,0.6666666666666666,,,75.04885993485343,,25.25,13.125,18.375,12.125,0.08333333333333333,,,,0.4166666666666667,0.2,0.25,,0.3333333333333333,0.25,0.25,1.0,0.08333333333333333,1.0,1.0,1.0,0.25,,,,,,0.25,1.0,0.42835833333333334,0.423225,,,,0.5714285714285714,,13.569999999999999,24.2,,,,,1.0,1.0,0.2,0.25,1.0,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2017,2016-17,False
1626209-1627757-1627868-203901-203932,1610612753,"Mario Hezonja, Stephen Zimmerman, Patricio Garino, Elfrid Payton, Aaron Gordon","Hezonja, Zimmerman, Garino, Payton, Gordon",1626209-1627757-1627868-203901-203932,ORL,146.0,1,2.0,2.0,5.0,5.0,2.0,5.0,,10.0,,,,,,,2.0,2.0,2.0,2.0,,,,,4.0,4.0,,1.0,,8.0,6.0,,,,,,2.0,2.0,,4.0,2.0,6.0,,,,,,,1.0,,1.0,,,1.0,,2.0,,,2.0,,2.0,,2.0,,1.0,,,,,3.0,3.0,,1.0,,,,,,,,,8.0,4.0,2.0,0.25,0.25,,,,1.0,,1.0,0.8,,1.0,0.8,,1.0,0.2,,,,,,0.6666666666666666,,0.4,,,,,,,,0.5,1.0,,98.63013698630138,,12.8,16.4,12.8,14.8,,,,,0.4,1.0,1.0,0.5,0.4,1.0,1.0,,,,,,,,,,,,0.2,,0.42726,,0.39025,,,,0.5,11.175,24.1,0.4,,,,1.0,,,,,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2017,2016-17,False
1626209-1627757-1627875-201571-201975,1610612753,"Mario Hezonja, Stephen Zimmerman, Marcus Georges-Hunt, D.J. Augustin, Jodie Meeks","Hezonja, Zimmerman, Georges-Hunt, Augustin, Meeks",1626209-1627757-1627875-201571-201975,ORL,356.0,2,6.0,-10.0,10.0,13.0,,2.0,1.0,23.0,,3.0,,,,,,1.0,,,2.0,6.0,1.0,,,4.0,2.0,6.0,,6.0,16.0,,,1.0,,,,,,,,,3.0,3.0,,5.0,2.0,1.0,,1.0,1.0,1.0,,,,3.0,1.0,,1.0,3.0,6.0,1.0,7.0,,,,1.0,1.0,2.0,2.0,3.0,,2.0,,,,,,,,,6.0,,,,,0.5,0.3333333333333333,0.4,,,,0.3,,,0.3,,,0.6,0.25,,0.5,1.0,,0.5,0.3333333333333333,0.8,0.14285714285714285,,,0.3333333333333333,,1.0,1.0,1.0,,,93.03370786516854,,19.2,12.615384615384615,18.2,12.307692307692308,0.3,,,,0.1,,,,,,,,0.6,0.3333333333333333,0.3333333333333333,0.5,,,1.0,,,,0.9,0.4,0.5017333333333334,,,,,,,3.3,33.38333333333333,,1.0,1.0,1.0,,,1.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2017,2016-17,False
1626209-1627757-1627875-201975-203901,1610612753,"Mario Hezonja, Stephen Zimmerman, Marcus Georges-Hunt, Jodie Meeks, Elfrid Payton","Hezonja, Zimmerman, Georges-Hunt, Meeks, Payton",1626209-1627757-1627875-201975-203901,ORL,62.0,1,1.0,-3.0,3.0,2.0,,2.0,,5.0,,,,,,,,,,1.0,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,1.0,1.0,2.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,1.0,,,,,1.0,,,,,,116.1290322580645,1.0,11.666666666666666,13.5,11.666666666666666,13.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.4245,,,,,,,16.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2017,2016-17,False
1626209-1627757-1627875-203901-203932,1610612753,"Mario Hezonja, Stephen Zimmerman, Marcus Georges-Hunt, Elfrid Payton, Aaron Gordon","Hezonja, Zimmerman, Georges-Hunt, Payton, Gordon",1626209-1627757-1627875-203901-203932,ORL,114.0,1,2.0,2.0,3.0,4.0,,,1.0,7.0,,2.0,,1.0,,,1.0,1.0,,1.0,,,,,1.0,4.0,,,2.0,4.0,2.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,2.0,3.0,2.0,5.0,1.0,,,,,,,,,1.0,2.0,,1.0,1.0,1.0,,1.0,1.0,4.0,,,,,,,,0.25,,,0.25,,,0.4,,,,,,,0.6666666666666666,0.6666666666666666,,,0.6666666666666666,0.6666666666666666,0.5,1.0,,1.0,,,,,0.3333333333333333,88.42105263157895,1.0,18.333333333333332,14.75,18.0,14.25,0.5,,,,0.25,1.0,1.0,,0.25,,,,,,,,1.0,,,,,,0.5,,0.476475,0.5792,,0.2,0.2,,,8.75,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2017,2016-17,False
1626209-1627757-201145-201228-201571,1610612753,"Mario Hezonja, Stephen Zimmerman, Jeff Green, C.J. Watson, D.J. Augustin","Hezonja, Zimmerman, Green, Watson, Augustin",1626209-1627757-201145-201228-201571,ORL,1000.0,3,17.0,,32.0,33.0,,,3.0,65.0,3.0,5.0,,,,,2.0,5.0,3.0,6.0,5.0,14.0,1.0,,8.0,16.0,5.0,16.0,1.0,32.0,32.0,,,2.0,,,,,,,2.0,14.0,12.0,3.0,,14.0,5.0,1.0,1.0,4.0,5.0,4.0,1.0,,,14.0,2.0,1.0,5.0,4.0,9.0,3.0,12.0,,6.0,4.0,1.0,,3.0,5.0,6.0,,2.0,1.0,1.0,1.0,,,,1.0,1.0,32.0,,,0.125,0.125,0.8,0.3125,0.3125,0.5,,,0.484375,,,0.5,,,0.5,0.0625,0.2,0.3333333333333333,0.8,0.125,0.7142857142857143,0.18181818181818182,0.75,0.15789473684210525,,0.3333333333333333,0.2222222222222222,0.5,1.0,1.0,0.6,1.0,,93.6,1.0,15.15625,15.606060606060606,13.5625,15.181818181818182,0.15625,0.6,0.75,0.3333333333333333,0.15625,0.4,0.4,,0.1875,0.5,0.5,,0.4375,0.35714285714285715,0.35714285714285715,0.8,,,0.5,,,,0.65625,0.35714285714285715,0.5056359375,0.5805,,0.03125,0.0625,,,9.61875,25.71875,,,2.0,,2.0,1.0,,,,0.0625,2.0,,,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2017,2016-17,False
1626209-1627757-201145-201228-203912,1610612753,"Mario Hezonja, Stephen Zimmerman, Jeff Green, C.J. Watson, CJ Wilcox","Hezonja, Zimmerman, Green, Watson, Wilcox",1626209-1627757-201145-201228-203912,ORL,297.0,1,5.0,2.0,11.0,10.0,3.0,1.0,1.0,21.0,2.0,2.0,,,,,,2.0,1.0,4.0,2.0,3.0,1.0,2.0,3.0,8.0,2.0,4.0,1.0,13.0,11.0,,,1.0,,,1.0,2.0,2.0,5.0,2.0,4.0,6.0,,,3.0,2.0,,1.0,2.0,3.0,2.0,1.0,,,8.0,1.0,1.0,2.0,2.0,4.0,2.0,6.0,,,,,,,,1.0,,2.0,1.0,1.0,1.0,,,,,,13.0,5.0,3.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.375,,0.5,0.5,,0.625,0.5416666666666666,,0.625,0.3333333333333333,,,,0.6666666666666666,0.2,1.0,0.5,0.8,0.2857142857142857,,0.3333333333333333,1.0,1.0,0.5,,1.0,,,101.81818181818181,,12.363636363636363,16.1,12.0,15.7,0.16666666666666666,1.0,1.0,0.5,0.16666666666666666,,,,0.3333333333333333,0.25,0.25,,0.25,0.6666666666666666,0.6666666666666666,1.0,,,1.0,,,0.5,0.5,0.6666666666666666,0.49328750000000005,0.40995,0.4213375,0.08333333333333333,0.125,,0.38461538461538464,11.8625,25.7,0.2727272727272727,,,,1.0,,,,,0.08333333333333333,,,,,,,,,,,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2017,2016-17,False
