EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,ShortMidRangeFGM,Corner3FGM,Corner3FGA,FG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,Steals,BadPassSteals,Loose Ball Fouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGA,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,LongMidRangeAssists,OffThreePtRebounds,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,Travels,Offensive Fouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,LongMidRangePctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyPointsPct,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,NonHeaveArc3FGM,Fg2aBlocked,Arc3Assists,ShortMidRangeAssists,FTOffRebounds,FTDefRebounds,SelfOReb,LostBallTurnovers,Loose Ball Fouls Drawn,Blocked3s,BlockedArc3,PenaltyFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffShortMidRangeReboundPct,SelfORebPct,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PtsUnassisted3s,SecondChanceTurnovers,Offensive Fouls Drawn,Technical Free Throw Trips,DefensiveGoaltends,SecondChanceFg3Pct,AtRimPctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,HeaveAttempts,Arc3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
147-15-2469-2556-2592,1610612756,"Jalen Rose, Eric Piatkowski, Pat Burke, Marcus Banks, James Jones","Rose, Piatkowski, Burke, Banks, Jones",147-15-2469-2556-2592,PHX,177.0,1,3.0,-1.0,6.0,6.0,2.0,6.0,12.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,7.0,8.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,2.0,0.3333333333333333,0.3333333333333333,1.0,0.75,0.7,0.25,1.0,1.0,1.0,97.62711864406779,13.5,16.0,13.5,16.0,0.25,1.0,1.0,1.0,0.5,1.0,1.0,0.25,1.0,0.5,0.44475,0.5193,0.2,0.25,12.4,25.8,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2007,2006-07,True
147-2556-2564-2592-703,1610612756,"Jalen Rose, Marcus Banks, Boris Diaw, James Jones, Kurt Thomas","Rose, Banks, Diaw, Jones, Thomas",147-2556-2564-2592-703,PHX,167.0,1,3.0,3.0,5.0,5.0,,5.0,10.0,2.0,2.0,2.0,4.0,,,4.0,7.0,,,8.0,5.0,,,8.0,,,,,,1.0,2.0,4.0,,,,,,2.0,,,,6.0,,,,0.5714285714285714,0.5714285714285714,0.5714285714285714,,1.0,1.0,1.0,86.22754491017965,18.8,14.6,15.6,14.6,0.2857142857142857,1.0,1.0,,0.5714285714285714,0.5,0.5,,,0.2857142857142857,0.4273285714285714,,,,10.942857142857141,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.5,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.14285714285714285,0.5,1.0,0.4595,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2007,2006-07,True
147-2564-2571-2592-703,1610612756,"Jalen Rose, Boris Diaw, Leandro Barbosa, James Jones, Kurt Thomas","Rose, Diaw, Barbosa, Jones, Thomas",147-2564-2571-2592-703,PHX,188.0,1,3.0,1.0,4.0,5.0,,2.0,9.0,1.0,1.0,,,1.0,,2.0,2.0,2.0,,7.0,6.0,,2.0,2.0,1.0,1.0,2.0,1.0,5.0,,,,,,,,,2.0,2.0,,,7.0,,0.5,0.5,1.0,0.875,0.875,0.5,,,,68.93617021276596,13.25,27.0,13.25,21.2,0.25,1.0,1.0,1.0,,,,0.25,,0.75,0.561675,,,,3.95,24.4,,,,,1.0,,,,,,,,,,,,,,,,,0.25,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2007,2006-07,True
1890-1952-2405-2564-2571,1610612756,"Shawn Marion, Raja Bell, Amar'e Stoudemire, Boris Diaw, Leandro Barbosa","Marion, Bell, Stoudemire, Diaw, Barbosa",1890-1952-2405-2564-2571,PHX,1879.0,6,31.0,-17.0,68.0,68.0,22.0,39.0,136.0,9.0,14.0,6.0,12.0,12.0,5.0,19.0,36.0,16.0,9.0,53.0,70.0,5.0,16.0,22.0,12.0,8.0,10.0,6.0,22.0,18.0,21.0,27.0,10.0,,15.0,4.0,9.0,17.0,8.0,14.0,3.0,51.0,22.0,0.42105263157894735,0.42105263157894735,0.5277777777777778,0.4230769230769231,0.4491525423728814,0.3076923076923077,0.6206896551724138,0.6363636363636364,1.0,104.22565194252262,14.808823529411764,12.823529411764707,13.823529411764707,12.352941176470589,0.2692307692307692,0.6428571428571429,0.6428571428571429,0.6666666666666666,0.23076923076923078,0.5,0.5,0.23076923076923078,0.35714285714285715,0.5769230769230769,0.4713913461538462,0.4463142857142857,0.05555555555555555,0.07894736842105263,8.758333333333333,24.825,0.3235294117647059,2.0,,2.0,10.0,1.0,4.0,2.0,,3.0,3.0,6.0,,0.25,0.2,0.2,0.17647058823529413,0.75,0.1935483870967742,0.16666666666666666,0.6666666666666666,0.19230769230769232,0.4,,0.4771666666666667,0.03773584905660377,4.0,2.0,4.0,2.0,6.0,2.0,2.0,10.0,5.0,1.0,1.0,0.125,0.125,0.4,0.4,0.07692307692307693,0.5,0.5,1.0,3.0,3.0,1.0,1.0,8.0,9.0,6.0,22.0,2.0,3.0,5.0,5.0,2.0,5.0,1.0,5.0,1.0,5.0,7.0,5.0,1.0,1.0,7.0,2.0,1.0,22.0,4.0,0.8888888888888888,0.5714285714285714,0.5789473684210527,0.3333333333333333,0.21428571428571427,0.4,0.16666666666666666,0.5,0.4166666666666667,0.6363636363636364,1.0,0.2857142857142857,0.3333333333333333,0.2,0.21428571428571427,1.0,0.41509433962264153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2007,2006-07,True
1890-1952-2405-2564-959,1610612756,"Shawn Marion, Raja Bell, Amar'e Stoudemire, Boris Diaw, Steve Nash","Marion, Bell, Stoudemire, Diaw, Nash",1890-1952-2405-2564-959,PHX,851.0,7,14.0,-2.0,31.0,31.0,24.0,26.0,62.0,5.0,10.0,2.0,4.0,2.0,2.0,9.0,23.0,5.0,6.0,33.0,35.0,4.0,8.0,10.0,2.0,4.0,7.0,3.0,17.0,6.0,11.0,18.0,3.0,1.0,5.0,4.0,5.0,10.0,6.0,9.0,2.0,27.0,24.0,0.4444444444444444,0.5,0.391304347826087,0.48214285714285715,0.515625,0.17857142857142858,0.75,0.8181818181818182,1.0,104.91186839012926,13.806451612903226,13.64516129032258,13.290322580645162,13.580645161290322,0.35714285714285715,0.5,0.5,0.6,0.14285714285714285,0.5,0.5,0.07142857142857142,0.09090909090909091,0.5357142857142857,0.5051732142857143,0.5050159090909091,0.06896551724137931,0.08333333333333333,6.482608695652174,24.22,0.7741935483870968,8.0,2.0,6.0,9.0,2.0,6.0,6.0,2.0,6.0,3.0,7.0,3.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.42857142857142855,1.0,0.375,0.5,1.0,0.32142857142857145,1.0,0.3333333333333333,0.6099333333333333,0.18181818181818182,2.0,2.0,3.0,3.0,9.0,3.0,2.0,2.0,1.0,1.0,1.0,0.6,0.6,0.2222222222222222,0.2857142857142857,0.10714285714285714,0.6666666666666666,0.6666666666666666,1.0,4.0,8.0,,,7.0,18.0,5.0,25.0,,,1.0,2.0,,1.0,,2.0,1.0,3.0,,,,,1.0,,,25.0,3.0,0.3888888888888889,0.45454545454545453,0.5,0.4,,0.4,,,1.0,0.6,1.0,,,,0.36363636363636365,0.5,0.7575757575757576,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.08695652173913043,0.2222222222222222,1.0,0.3333333333333333,0.42857142857142855,0.14285714285714285,0.5,0.5,0.5,1.0,0.5,0.09090909090909091,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2007,2006-07,True
1890-1952-2405-2571-2592,1610612756,"Shawn Marion, Raja Bell, Amar'e Stoudemire, Leandro Barbosa, James Jones","Marion, Bell, Stoudemire, Barbosa, Jones",1890-1952-2405-2571-2592,PHX,44.0,1,1.0,2.0,2.0,2.0,,2.0,4.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,,,2.0,,1.0,1.0,1.0,,2.0,,2.0,2.0,,,,,,,,,,2.0,,1.0,1.0,1.0,0.5,0.5,0.5,,1.0,,130.9090909090909,16.0,6.0,16.0,6.0,,,,,0.5,1.0,1.0,0.5,,0.5,0.4425,,,,20.4,24.1,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2007,2006-07,True
1890-1952-2405-2571-703,1610612756,"Shawn Marion, Raja Bell, Amar'e Stoudemire, Leandro Barbosa, Kurt Thomas","Marion, Bell, Stoudemire, Barbosa, Thomas",1890-1952-2405-2571-703,PHX,19.0,1,,2.0,1.0,,,,1.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,,,,,,1.0,,,,,75.78947368421053,19.0,,19.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2007,2006-07,True
1890-1952-2405-2571-959,1610612756,"Shawn Marion, Raja Bell, Amar'e Stoudemire, Leandro Barbosa, Steve Nash","Marion, Bell, Stoudemire, Barbosa, Nash",1890-1952-2405-2571-959,PHX,4004.0,9,67.0,-26.0,126.0,129.0,43.0,80.0,255.0,24.0,38.0,9.0,28.0,23.0,4.0,42.0,99.0,27.0,21.0,126.0,152.0,5.0,24.0,60.0,23.0,12.0,15.0,8.0,33.0,20.0,38.0,66.0,10.0,,15.0,2.0,17.0,34.0,29.0,30.0,11.0,99.0,43.0,0.2857142857142857,0.3333333333333333,0.42424242424242425,0.4166666666666667,0.44964028776978415,0.21428571428571427,0.5714285714285714,0.5932203389830508,0.6666666666666666,91.70829170829171,17.904761904761905,13.550387596899224,16.793650793650794,12.310077519379846,0.30158730158730157,0.631578947368421,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.32142857142857145,0.32142857142857145,0.18253968253968253,0.09523809523809523,0.5158730158730159,0.4661801587301587,0.44420714285714286,0.08208955223880597,0.102803738317757,8.0010101010101,25.314814814814813,0.3412698412698413,23.0,9.0,14.0,33.0,10.0,19.0,27.0,12.0,21.0,15.0,28.0,7.0,0.5263157894736842,0.5227272727272727,0.5192307692307693,0.3684210526315789,0.625,0.3246753246753247,0.21052631578947367,0.7222222222222222,0.2619047619047619,0.6363636363636364,0.6428571428571429,0.552490909090909,0.21428571428571427,9.0,2.0,4.0,7.0,9.0,3.0,2.0,6.0,5.0,2.0,0.42857142857142855,0.25925925925925924,0.25925925925925924,0.2727272727272727,0.3333333333333333,0.031746031746031744,0.5,0.5,1.0,8.0,13.0,,3.0,15.0,37.0,13.0,43.0,2.0,4.0,1.0,5.0,,2.0,3.0,6.0,3.0,5.0,8.0,5.0,,3.0,8.0,3.0,1.0,43.0,5.0,0.40540540540540543,0.35714285714285715,0.43,0.3333333333333333,0.2,0.6428571428571429,0.2222222222222222,,0.5,0.6,0.3333333333333333,0.375,0.2222222222222222,,0.30952380952380953,0.6153846153846154,0.3412698412698413,,1.0,5.0,,4.0,,5.0,8.0,1.0,2.0,3.0,3.0,8.0,3.0,4.0,,,,0.08080808080808081,0.18181818181818182,1.0,0.6,0.3333333333333333,0.11594202898550725,0.2222222222222222,0.21739130434782608,0.21739130434782608,0.2,0.1111111111111111,0.023809523809523808,,,0.21739130434782608,1.0,3.0,1.0,12.0,2.0,3.0,1.0,1.0,0.3333333333333333,0.05263157894736842,0.13636363636363635,0.3333333333333333,1.0,,,,,,,,,,,,1610612756,2007,2006-07,True
1890-1952-2405-2592-959,1610612756,"Shawn Marion, Raja Bell, Amar'e Stoudemire, James Jones, Steve Nash","Marion, Bell, Stoudemire, Jones, Nash",1890-1952-2405-2592-959,PHX,4383.0,7,73.0,-6.0,143.0,142.0,,,285.0,22.0,39.0,14.0,32.0,22.0,,53.0,102.0,29.0,20.0,162.0,168.0,,30.0,76.0,22.0,15.0,23.0,7.0,54.0,35.0,52.0,76.0,13.0,2.0,25.0,,16.0,34.0,30.0,34.0,17.0,139.0,,0.2830188679245283,0.3125,0.5196078431372549,0.5419847328244275,0.5555555555555556,0.22137404580152673,0.7608695652173914,0.7704918032786885,0.8571428571428571,93.63449691991786,16.804195804195803,13.943661971830986,16.027972027972027,13.288732394366198,0.29770992366412213,0.5641025641025641,0.7333333333333333,0.3181818181818182,0.24427480916030533,0.4375,0.45161290322580644,0.16793893129770993,,0.5190839694656488,0.4956549618320611,,0.125,0.14912280701754385,8.480392156862745,25.113793103448273,,18.0,6.0,10.0,31.0,9.0,15.0,23.0,10.0,16.0,12.0,24.0,,0.6,0.5833333333333334,0.575,0.32653061224489793,0.8,0.3181818181818182,0.2777777777777778,0.8461538461538461,0.2366412213740458,0.5555555555555556,0.6,0.5519966666666666,0.1419753086419753,17.0,4.0,7.0,12.0,24.0,8.0,4.0,12.0,8.0,2.0,0.6666666666666666,0.41379310344827586,0.41379310344827586,0.5483870967741935,0.5862068965517241,0.05343511450381679,0.5714285714285714,0.5714285714285714,1.0,,,2.0,3.0,,,,,4.0,5.0,4.0,12.0,1.0,7.0,1.0,5.0,5.0,,4.0,2.0,,2.0,4.0,2.0,1.0,,,,,,0.48,0.29411764705882354,0.4117647058823529,0.2857142857142857,0.3333333333333333,0.625,0.7058823529411765,0.5,0.5,0.2857142857142857,0.1111111111111111,,,,,,8.0,,2.0,,8.0,12.0,4.0,4.0,3.0,5.0,2.0,5.0,1.0,,,,0.11764705882352941,0.06451612903225806,1.0,0.6,0.2857142857142857,0.037037037037037035,0.23529411764705882,0.36363636363636365,0.36363636363636365,0.5,0.3333333333333333,,,,0.36363636363636365,1.0,1.0,1.0,12.0,4.0,3.0,2.0,1.0,0.3333333333333333,0.23076923076923078,0.05555555555555555,1.0,1.0,1.0,1.0,1.0,0.03125,0.03333333333333333,,,,,,,1610612756,2007,2006-07,True
1890-1952-2405-703-959,1610612756,"Shawn Marion, Raja Bell, Amar'e Stoudemire, Kurt Thomas, Steve Nash","Marion, Bell, Stoudemire, Thomas, Nash",1890-1952-2405-703-959,PHX,3619.0,6,60.0,-23.0,112.0,115.0,10.0,3.0,227.0,14.0,23.0,11.0,23.0,10.0,,37.0,78.0,20.0,15.0,107.0,130.0,2.0,26.0,48.0,10.0,13.0,19.0,4.0,44.0,28.0,41.0,53.0,12.0,,19.0,,19.0,30.0,23.0,23.0,14.0,96.0,10.0,0.35135135135135137,0.3611111111111111,0.47435897435897434,0.46938775510204084,0.5,0.20408163265306123,0.6666666666666666,0.7254901960784313,0.6875,90.32329372754904,17.741071428571427,14.191304347826087,17.258928571428573,13.71304347826087,0.23469387755102042,0.6086956521739131,0.7,0.2857142857142857,0.23469387755102042,0.4782608695652174,0.5,0.10204081632653061,,0.4387755102040816,0.4908015306122449,0.42171000000000003,0.1308411214953271,0.16091954022988506,9.08974358974359,24.175,0.08928571428571429,9.0,2.0,3.0,32.0,3.0,7.0,11.0,2.0,9.0,9.0,12.0,,0.42857142857142855,0.5625,0.55,0.21951219512195122,1.0,0.21818181818181817,0.08333333333333333,1.0,0.32653061224489793,0.375,0.6666666666666666,0.5293357142857144,0.102803738317757,12.0,4.0,10.0,6.0,18.0,6.0,4.0,5.0,3.0,1.0,1.0,0.3,0.3,0.375,0.4444444444444444,0.10204081632653061,0.4,0.4444444444444444,1.0,1.0,2.0,,1.0,2.0,8.0,4.0,14.0,5.0,3.0,2.0,7.0,3.0,7.0,3.0,3.0,5.0,,11.0,8.0,,3.0,11.0,5.0,,14.0,,0.25,0.5,0.5833333333333334,0.3684210526315789,0.21428571428571427,0.4444444444444444,0.125,0.3333333333333333,0.5454545454545454,0.7333333333333333,1.0,0.45454545454545453,0.45454545454545453,,0.2,0.5,0.1308411214953271,2.0,2.0,2.0,,2.0,2.0,2.0,9.0,2.0,4.0,,4.0,1.0,,1.0,,,1.0,0.11538461538461539,0.15625,1.0,,0.2,0.022222222222222223,0.3333333333333333,0.2,0.2,1.0,,0.2,1.0,,0.2,1.0,1.0,1.0,,2.0,3.0,,1.0,1.0,0.13043478260869565,0.125,1.0,1.0,1.0,,,0.043478260869565216,,1.0,0.05,0.1,,,,1610612756,2007,2006-07,True
