EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,LongMidRangeFGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,LongMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,LiveBallTurnoverPct,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Loose Ball Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,BlocksRecoveredPct,SecondChancePointsPct,PtsUnassisted2s,Fg2aBlocked,SelfOReb,Offensive Fouls Drawn,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,SelfORebPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PtsUnassisted3s,SecondChanceTurnovers,DefAtRimReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Corner3FGM,Corner3Assists,Travels,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,OffShortMidRangeReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFtPoints,PtsPutbacks,OffThreePtRebounds,Offensive Fouls,2pt And 1 Free Throw Trips,BlockedAtRim,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,LostBallTurnovers,ShortMidRangePctBlocked,3SecondViolations,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,DefensiveGoaltends,LostBallSteals,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Technical Free Throw Trips,HeaveAttempts,Blocked3s,BlockedArc3,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Defensive 3 Seconds Violations,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,BlockedLongMidRange,Arc3PctBlocked,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,SecondChanceAtRimPctAssisted,FTOffRebounds,OffFTReboundPct,OffensiveGoaltends,team_id,year,season,team_vs
147-15-1908-2469-2556,1610612756,"Jalen Rose, Eric Piatkowski, Jumaine Jones, Pat Burke, Marcus Banks","Rose, Piatkowski, Jones, Burke, Banks",147-15-1908-2469-2556,PHX,159.0,1,3.0,5.0,6.0,6.0,6.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,7.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,3.0,1.0,4.0,4.0,1.0,1.0,2.0,2.0,7.0,1.0,1.0,1.0,0.5,0.5,0.6666666666666666,0.7,0.7,0.4,1.0,1.0,1.0,1.0,1.0,1.0,108.67924528301887,11.166666666666666,15.333333333333334,11.166666666666666,11.833333333333334,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.2,0.2,0.2,1.0,1.0,1.0,0.6,1.0,0.48667,8.466666666666667,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2007,2006-07,False
147-15-2469-2556-2564,1610612756,"Jalen Rose, Eric Piatkowski, Pat Burke, Marcus Banks, Boris Diaw","Rose, Piatkowski, Burke, Banks, Diaw",147-15-2469-2556-2564,PHX,207.0,1,3.0,1.0,7.0,6.0,6.0,13.0,,,,,5.0,,1.0,2.0,1.0,5.0,1.0,2.0,7.0,6.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,,5.0,,2.0,4.0,5.0,,,1.0,2.0,7.0,1.0,1.0,1.0,0.5,0.5,0.2,0.35714285714285715,0.4375,0.2857142857142857,1.0,,1.0,1.0,,,90.43478260869564,18.714285714285715,12.666666666666666,16.285714285714285,12.666666666666666,,,,,,,,,0.7142857142857143,,0.2857142857142857,0.5,0.5,1.0,0.2857142857142857,0.5,0.4093,20.66,24.45,7.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,7.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,7.0,7.0,1.0,0.5,0.2,0.35714285714285715,0.4375,1.0,0.25,0.2,0.25,1.0,0.2,0.2,1.0,1.0,0.2857142857142857,0.5,0.5877,0.4093,0.125,0.16666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2007,2006-07,False
147-1752-1908-1952-2571,1610612756,"Jalen Rose, Sean Marks, Jumaine Jones, Raja Bell, Leandro Barbosa","Rose, Marks, Jones, Bell, Barbosa",147-1752-1908-1952-2571,PHX,131.0,1,2.0,-7.0,5.0,6.0,6.0,11.0,,,,,2.0,,1.0,1.0,,2.0,1.0,1.0,3.0,10.0,,3.0,1.0,1.0,,1.0,1.0,1.0,,,3.0,,1.0,1.0,1.0,,,,1.0,3.0,,,1.0,1.0,1.0,,0.5,0.5,0.3333333333333333,1.0,,0.5,,,,120.91603053435115,14.8,9.5,14.8,8.833333333333334,,,,,,,,,0.6666666666666666,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.43271666666666664,15.8,25.3,5.0,,,,1.0,1.0,,,,2.0,1.0,1.0,,3.0,,,,,,,,3.0,5.0,1.0,1.0,,0.5,0.5,,,,,1.0,,,,,0.3333333333333333,1.0,,0.43271666666666664,,,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2007,2006-07,False
147-1752-1908-2469-2556,1610612756,"Jalen Rose, Sean Marks, Jumaine Jones, Pat Burke, Marcus Banks","Rose, Marks, Jones, Burke, Banks",147-1752-1908-2469-2556,PHX,281.0,1,5.0,-4.0,11.0,12.0,12.0,23.0,,,,,6.0,1.0,,,3.0,6.0,,1.0,9.0,13.0,6.0,,,,3.0,,3.0,,,,6.0,,3.0,3.0,4.0,1.0,1.0,1.0,3.0,7.0,1.0,1.0,,,,0.5,0.42857142857142855,0.5,0.14285714285714285,0.75,,0.75,1.0,,,117.86476868327402,12.272727272727273,12.166666666666666,11.454545454545455,11.916666666666666,,,,,,,,,0.8571428571428571,0.14285714285714285,,,,,0.14285714285714285,,0.4034857142857143,18.816666666666666,23.4,,1.0,3.0,,,,3.0,,,,,,,,3.0,1.0,,1.0,2.0,4.0,2.0,,,2.0,,,,,,0.3333333333333333,0.25,0.3333333333333333,1.0,0.5,0.5,1.0,,,,0.3787,,0.2222222222222222,0.25,,,2.0,2.0,3.0,,0.6666666666666666,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2007,2006-07,False
147-1752-1908-2556-2571,1610612756,"Jalen Rose, Sean Marks, Jumaine Jones, Marcus Banks, Leandro Barbosa","Rose, Marks, Jones, Banks, Barbosa",147-1752-1908-2556-2571,PHX,212.0,1,4.0,-5.0,6.0,6.0,6.0,12.0,,1.0,1.0,2.0,3.0,1.0,,,2.0,6.0,,1.0,4.0,9.0,,,,,,,,,,,,,,,2.0,,,1.0,1.0,2.0,,,,,,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.14285714285714285,,,,,,,81.50943396226415,16.166666666666668,19.166666666666668,15.0,17.5,0.14285714285714285,,,,0.2857142857142857,0.5,0.5,,0.42857142857142855,0.14285714285714285,,,,,0.2857142857142857,,0.3766,13.299999999999999,23.3,,2.0,1.0,,,,,,,,,,,,,2.0,,2.0,1.0,,,,,,,,,,,0.5,0.4,0.5,,0.3333333333333333,0.3333333333333333,,,,,0.33375,,,,,,,,,,,1.0,2.0,2.0,,,,,,,,0.5,0.5,0.5,,0.5,4.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2007,2006-07,False
147-1752-1908-2556-2592,1610612756,"Jalen Rose, Sean Marks, Jumaine Jones, Marcus Banks, James Jones","Rose, Marks, Jones, Banks, Jones",147-1752-1908-2556-2592,PHX,204.0,1,3.0,5.0,9.0,8.0,8.0,17.0,1.0,2.0,,,4.0,,1.0,1.0,4.0,6.0,1.0,1.0,11.0,6.0,8.0,,1.0,1.0,4.0,,4.0,,1.0,,8.0,1.0,2.0,3.0,4.0,,,1.0,3.0,11.0,1.0,1.0,,1.0,1.0,0.6666666666666666,0.7857142857142857,0.7857142857142857,0.14285714285714285,1.0,1.0,1.0,,,1.0,120.0,10.11111111111111,14.125,9.777777777777779,14.125,0.2857142857142857,0.5,0.5,1.0,,,,,0.5714285714285714,,0.14285714285714285,1.0,1.0,,0.42857142857142855,1.0,0.4898571428571428,13.366666666666667,26.9,9.0,1.0,3.0,,1.0,1.0,,,4.0,6.0,1.0,1.0,,11.0,3.0,1.0,,1.0,,,,11.0,9.0,2.0,1.0,0.6666666666666666,0.7857142857142857,0.7857142857142857,,0.5,0.5,1.0,1.0,0.75,0.75,1.0,,0.14285714285714285,1.0,,0.4898571428571428,,,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,1.0,1.0,0.2857142857142857,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2007,2006-07,False
147-1890-1908-2571-703,1610612756,"Jalen Rose, Shawn Marion, Jumaine Jones, Leandro Barbosa, Kurt Thomas","Rose, Marion, Jones, Barbosa, Thomas",147-1890-1908-2571-703,PHX,124.0,1,2.0,-9.0,4.0,5.0,,9.0,,,,1.0,,1.0,,1.0,,1.0,1.0,2.0,3.0,12.0,,3.0,1.0,,,1.0,1.0,,,,3.0,,,,,,,3.0,3.0,3.0,,,1.0,0.5,0.5,,0.5,0.5,0.6666666666666666,,,,,,,104.51612903225805,16.75,11.4,16.75,11.4,,,,,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,,,,0.6666666666666666,,0.4832,8.1,25.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2007,2006-07,False
147-1890-1952-2405-2556,1610612756,"Jalen Rose, Shawn Marion, Raja Bell, Amar'e Stoudemire, Marcus Banks","Rose, Marion, Bell, Stoudemire, Banks",147-1890-1952-2405-2556,PHX,70.0,1,1.0,-4.0,2.0,2.0,,4.0,,,1.0,3.0,,,,,1.0,3.0,,,2.0,6.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,82.28571428571428,25.5,9.5,23.0,8.0,,,,,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,0.39953333333333335,9.733333333333333,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,0.4095,,,,,,,,1.0,,,1.0,1.0,2.0,,1.0,,,,,,1.0,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2007,2006-07,False
147-1890-1952-2405-2571,1610612756,"Jalen Rose, Shawn Marion, Raja Bell, Amar'e Stoudemire, Leandro Barbosa","Rose, Marion, Bell, Stoudemire, Barbosa",147-1890-1952-2405-2571,PHX,117.0,1,2.0,-7.0,5.0,5.0,,10.0,,,,1.0,1.0,,,1.0,1.0,2.0,,1.0,3.0,10.0,,,1.0,,,,,,,,,,,1.0,1.0,,,2.0,2.0,1.0,,,,,,0.5,0.3333333333333333,0.375,0.3333333333333333,,,,,,,123.07692307692308,17.8,5.6,17.2,5.6,,,,,0.3333333333333333,,,,0.3333333333333333,,0.3333333333333333,,,,0.3333333333333333,,0.3483,13.25,26.0,5.0,1.0,1.0,,,1.0,1.0,,1.0,2.0,,1.0,1.0,3.0,,,1.0,,1.0,2.0,1.0,3.0,5.0,,,0.5,0.3333333333333333,0.375,1.0,,,,,1.0,1.0,,,0.3333333333333333,,0.3182,0.3483,0.25,0.3333333333333333,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,1.0,1.0,1.0,,0.6666666666666666,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2007,2006-07,False
147-1890-1952-2405-959,1610612756,"Jalen Rose, Shawn Marion, Raja Bell, Amar'e Stoudemire, Steve Nash","Rose, Marion, Bell, Stoudemire, Nash",147-1890-1952-2405-959,PHX,506.0,3,8.0,-2.0,16.0,16.0,8.0,32.0,1.0,1.0,4.0,4.0,4.0,1.0,2.0,4.0,7.0,9.0,2.0,5.0,21.0,23.0,10.0,6.0,4.0,2.0,5.0,2.0,7.0,2.0,,3.0,16.0,2.0,2.0,6.0,8.0,1.0,1.0,3.0,5.0,16.0,0.7142857142857143,0.8333333333333334,1.0,0.4,0.4,0.7777777777777778,0.7142857142857143,0.75,0.35714285714285715,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,,91.06719367588933,13.0625,18.5625,12.6875,16.0625,0.07142857142857142,1.0,1.0,,0.2857142857142857,1.0,1.0,0.75,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.5,0.5,1.0,0.42857142857142855,0.5,0.4756714285714286,12.377777777777778,25.1,,2.0,2.0,,,,1.0,,,,,,,,2.0,,2.0,2.0,1.0,1.0,1.0,,,,,,,,1.0,,0.4,,,0.5,0.5,1.0,,,,,,0.07142857142857142,0.1111111111111111,,,1.0,1.0,3.0,,0.3333333333333333,2.0,2.0,5.0,,2.0,,2.0,1.0,2.0,,1.0,1.0,1.25,,0.23809523809523808,4.0,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2007,2006-07,False
