EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,PtsUnassisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,OpponentPoints,ShootingFouls,Fouls,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,Fg2aBlocked,LongMidRangeAssists,Offensive Fouls,BlockedLongMidRange,FG2APctBlocked,AtRimPctBlocked,DefShortMidRangeReboundPct,DefArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3FGM,PenaltyArc3FGA,FG3M,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Travels,SecondChanceTurnovers,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,OffAtRimReboundPct,OffShortMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceFtPoints,ShortMidRangeAssists,SelfOReb,SelfORebPct,ShortMidRangePctAssisted,FTDefRebounds,DefFTReboundPct,BadPassTurnovers,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,Corner3Assists,Technical Free Throw Trips,BlockedShortMidRange,SecondChanceFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,Loose Ball Fouls,LostBallOutOfBoundsTurnovers,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyFG3M,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Blocked3s,BlockedCorner3,DefensiveGoaltends,3SecondViolations,PenaltyFg3Pct,ShortMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,FTOffRebounds,ThreePtShootingFoulsDrawn,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,BlockedArc3,LongMidRangePctBlocked,PenaltyArc3FGM,PenaltyArc3Accuracy,team_id,year,season,team_vs
120-133-136-1714-353,1610612740,"Steven Smith, David Wesley, P.J. Brown, Robert Traylor, Darrell Armstrong","Smith, Wesley, Brown, Traylor, Armstrong",120-133-136-1714-353,NOH,87.0,1,1.0,5.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,0.8333333333333334,0.5,0.5,0.5,82.75862068965517,14.333333333333334,22.0,14.333333333333334,22.0,1.0,1.0,1.0,0.3859,0.3333333333333333,0.3333333333333333,9.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2004,2003-04,True
120-133-136-1742-2048,1610612740,"Steven Smith, David Wesley, P.J. Brown, Shammond Williams, Jamaal Magloire","Smith, Wesley, Brown, Williams, Magloire",120-133-136-1742-2048,NOH,16.0,1,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2004,2003-04,True
120-133-136-1742-248,1610612740,"Steven Smith, David Wesley, P.J. Brown, Shammond Williams, George Lynch","Smith, Wesley, Brown, Williams, Lynch",120-133-136-1742-248,NOH,377.0,1,6.0,-7.0,16.0,15.0,31.0,,,4.0,9.0,6.0,14.0,4.0,1.0,2.0,4.0,9.0,1.0,12.0,0.4444444444444444,0.36363636363636365,0.4666666666666667,1.0,0.6666666666666666,,118.40848806366049,15.1875,8.933333333333334,14.125,8.533333333333333,,,,0.4480318181818182,0.09090909090909091,0.1111111111111111,10.033333333333333,21.0,1.0,2.0,12.0,15.0,1.0,4.0,4.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,5.0,1.0,6.0,12.0,4.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,12.0,12.0,1.0,0.5,0.6666666666666666,0.5,0.6,0.5,0.5,0.5,0.6,0.18181818181818182,0.5,0.2,0.5,0.5,0.2857142857142857,0.2,1.0,1.0,1.0,1.0,0.36363636363636365,1.0,1.0,0.5,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.5,1.0,0.5,1.0,0.16666666666666666,0.5454545454545454,0.5725,0.4712166666666667,0.14285714285714285,0.8571428571428571,23.9,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2004,2003-04,True
120-133-136-1884-2048,1610612740,"Steven Smith, David Wesley, P.J. Brown, Baron Davis, Jamaal Magloire","Smith, Wesley, Brown, Davis, Magloire",120-133-136-1884-2048,NOH,801.0,3,13.0,1.0,23.0,24.0,47.0,2.0,3.0,7.0,16.0,3.0,17.0,6.0,10.0,15.0,15.0,4.0,1.0,17.0,0.4375,0.3684210526315789,0.40476190476190477,0.7142857142857143,0.7142857142857143,0.8571428571428571,84.49438202247191,15.695652173913043,18.333333333333332,15.695652173913043,17.458333333333332,0.15789473684210525,0.6666666666666666,0.6666666666666666,0.47659736842105266,0.05,0.058823529411764705,11.6,16.0,,7.0,1.0,3.0,,2.0,4.0,,,,,9.0,,,3.0,3.0,,,,,,,1.0,1.0,8.0,,3.0,4.0,4.0,1.0,8.0,,,5.0,,,,,1.0,1.0,1.0,2.0,,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,0.5714285714285714,0.5714285714285714,,,,,,0.5,0.15789473684210525,0.5,,0.7142857142857143,,,,,1.0,1.0,0.5,0.21052631578947367,0.5,0.6666666666666666,0.5,0.47368421052631576,,0.15789473684210525,,,,,,0.3684210526315789,,,,0.058823529411764705,24.666666666666668,0.043478260869565216,3.0,1.0,3.0,1.0,1.0,0.0625,0.25,0.4,0.6,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2004,2003-04,True
120-133-136-2048-353,1610612740,"Steven Smith, David Wesley, P.J. Brown, Jamaal Magloire, Darrell Armstrong","Smith, Wesley, Brown, Magloire, Armstrong",120-133-136-2048-353,NOH,448.0,2,7.0,2.0,13.0,14.0,27.0,,1.0,2.0,4.0,6.0,13.0,,5.0,5.0,7.0,8.0,3.0,13.0,0.5,0.5,0.5909090909090909,0.5555555555555556,0.5555555555555556,0.5,86.78571428571428,14.76923076923077,18.285714285714285,14.0,16.285714285714285,0.14285714285714285,,,0.4809833333333333,0.3,0.42857142857142855,11.4,11.0,,4.0,6.0,5.0,2.0,,1.0,,,,1.0,2.0,,,3.0,3.0,,,,1.0,2.0,1.0,4.0,6.0,4.0,,2.0,2.0,3.0,,7.0,,2.0,,2.0,2.0,2.0,,1.0,4.0,1.0,5.0,3.0,,1.0,1.0,1.0,1.0,1.0,6.0,6.0,,1.0,1.0,,0.5,,0.3333333333333333,,0.6,0.42857142857142855,0.2,1.0,,,0.6666666666666666,,,1.0,,1.0,0.14285714285714285,,,,0.2857142857142857,,0.42857142857142855,,,0.3333333333333333,,,0.5714285714285714,,0.46335,,0.46153846153846156,37.9,0.46153846153846156,2.0,,2.0,2.0,,,,0.5,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.5,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2004,2003-04,True
120-133-136-2561-353,1610612740,"Steven Smith, David Wesley, P.J. Brown, David West, Darrell Armstrong","Smith, Wesley, Brown, West, Armstrong",120-133-136-2561-353,NOH,398.0,1,7.0,1.0,12.0,12.0,24.0,1.0,1.0,6.0,11.0,1.0,13.0,6.0,4.0,6.0,8.0,2.0,1.0,12.0,0.5454545454545454,0.5,0.5,1.0,1.0,1.0,86.83417085427135,17.0,16.166666666666668,16.75,16.166666666666668,0.08333333333333333,1.0,1.0,0.5005625,0.07692307692307693,0.08333333333333333,5.636363636363637,12.0,1.0,4.0,,10.0,2.0,3.0,7.0,,1.0,,,3.0,,,1.0,1.0,,1.0,1.0,,,,,,6.0,,1.0,3.0,3.0,2.0,6.0,,2.0,2.0,2.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,2.0,0.5,0.5,,,,,0.25,,0.08333333333333333,,0.4,1.0,,0.3333333333333333,,,1.0,,,0.5833333333333334,0.42857142857142855,0.5,0.6666666666666666,0.25,,0.08333333333333333,1.0,,,,,0.6666666666666666,0.5641,,0.07692307692307693,,24.2,,2.0,1.0,,1.0,,0.09090909090909091,0.14285714285714285,1.0,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,0.5,,,,,,,1.0,1.0,1.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2004,2003-04,True
120-133-1714-1742-2048,1610612740,"Steven Smith, David Wesley, Robert Traylor, Shammond Williams, Jamaal Magloire","Smith, Wesley, Traylor, Williams, Magloire",120-133-1714-1742-2048,NOH,23.0,1,,2.0,1.0,1.0,2.0,,,,,2.0,2.0,,,1.0,1.0,2.0,,2.0,,,1.0,,,,125.21739130434781,20.0,3.0,20.0,3.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2004,2003-04,True
120-133-1714-1742-248,1610612740,"Steven Smith, David Wesley, Robert Traylor, Shammond Williams, George Lynch","Smith, Wesley, Traylor, Williams, Lynch",120-133-1714-1742-248,NOH,69.0,1,1.0,2.0,2.0,3.0,5.0,,,1.0,1.0,2.0,4.0,2.0,,,,2.0,,4.0,1.0,1.0,1.0,,,,104.34782608695653,13.0,14.333333333333334,13.0,14.333333333333334,,,,0.8947,,,,2.0,,,2.0,3.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,2.0,4.0,,,,,,,,,,,,2.0,2.0,,1.0,,,1.0,1.0,,1.0,,,,,4.0,2.0,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,0.8947,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2004,2003-04,True
120-133-1714-1884-2561,1610612740,"Steven Smith, David Wesley, Robert Traylor, Baron Davis, David West","Smith, Wesley, Traylor, Davis, West",120-133-1714-1884-2561,NOH,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2004,2003-04,True
120-1714-1742-2466-248,1610612740,"Steven Smith, Robert Traylor, Shammond Williams, Maurice Carter, George Lynch","Smith, Traylor, Williams, Carter, Lynch",120-1714-1742-2466-248,NOH,124.0,1,2.0,2.0,5.0,4.0,9.0,1.0,1.0,2.0,2.0,,4.0,2.0,2.0,2.0,2.0,,,4.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,,104.51612903225805,13.6,14.0,13.6,14.0,0.3333333333333333,1.0,1.0,0.3861333333333334,,,9.15,2.0,,,5.0,4.0,,,,,,,,1.0,,,1.0,1.0,,,,2.0,2.0,1.0,,4.0,2.0,,1.0,1.0,1.0,,2.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,4.0,5.0,,0.5,0.5,,1.0,,0.6666666666666666,,0.6666666666666666,0.3333333333333333,1.0,,,,,,,1.0,,,,,,,0.3333333333333333,,0.3333333333333333,,,,,,0.3333333333333333,,0.3861333333333334,,1.0,27.5,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,0.3333333333333333,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2004,2003-04,True
