EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,LostBallSteals,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffThreePtReboundPct,OffArc3ReboundPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,SecondChanceFtPoints,SelfOReb,SelfORebPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Corner3FGA,SecondChanceCorner3FGA,SecondChanceFG3A,DefArc3ReboundPct,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Loose Ball Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,Offensive Fouls,LostBallTurnovers,BlockedAtRim,AtRimPctBlocked,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,PtsUnassisted3s,3SecondViolations,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Technical Free Throw Trips,SecondChanceArc3FGA,BlockedLongMidRange,DefensiveGoaltends,SecondChanceArc3Frequency,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,Corner3PctBlocked,OffensiveGoaltends,HeaveMakes,3pt And 1 Free Throw Trips,BlockedCorner3,Clear Path Fouls,team_id,year,season,team_vs
120-133-136-1714-1884,1610612740,"Steven Smith, David Wesley, P.J. Brown, Robert Traylor, Baron Davis","Smith, Wesley, Brown, Traylor, Davis",120-133-136-1714-1884,NOH,307.0,4,5.0,1.0,12.0,9.0,3.0,8.0,2.0,21.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,7.0,2.0,6.0,5.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,5.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,0.3333333333333333,0.5,0.42857142857142855,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.2222222222222222,1.0,1.0,0.25,1.0,1.0,0.16666666666666666,0.5,1.0,1.0,1.0,98.50162866449512,11.583333333333334,18.666666666666668,10.666666666666666,18.666666666666668,0.2222222222222222,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.2222222222222222,0.2222222222222222,1.0,1.0,1.0,0.4444444444444444,0.45685555555555557,0.5614,0.35895,0.3333333333333333,10.857142857142858,25.4,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2004,2003-04,False
120-133-136-1714-353,1610612740,"Steven Smith, David Wesley, P.J. Brown, Robert Traylor, Darrell Armstrong","Smith, Wesley, Brown, Traylor, Armstrong",120-133-136-1714-353,NOH,182.0,2,3.0,3.0,6.0,8.0,2.0,3.0,1.0,14.0,1.0,2.0,,1.0,1.0,1.0,1.0,2.0,,3.0,4.0,2.0,9.0,6.0,,1.0,,,6.0,,,2.0,3.0,3.0,1.0,6.0,,,2.0,,2.0,1.0,3.0,2.0,1.0,,,,,,,1.0,2.0,9.0,2.0,,1.0,1.0,0.75,,0.5,,0.6428571428571429,,0.3333333333333333,,1.0,,,0.6666666666666666,0.3333333333333333,,,1.0,,110.76923076923077,12.333333333333334,13.5,11.833333333333334,13.25,0.3333333333333333,0.5,0.5,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,1.0,,,0.6666666666666666,0.5159583333333333,,0.3759,,7.275,26.8,0.3333333333333333,1.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.16666666666666666,0.25,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2004,2003-04,False
120-133-136-1742-1884,1610612740,"Steven Smith, David Wesley, P.J. Brown, Shammond Williams, Baron Davis","Smith, Wesley, Brown, Williams, Davis",120-133-136-1742-1884,NOH,13.0,1,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,0.25,0.5,1.0,,,,,,1.0,,,,,110.76923076923076,13.0,,10.0,,,,,,,,,,1.0,,,1.0,1.0,0.43575,,0.43575,1.0,,25.0,1.0,,1.0,,,1.0,1.0,,,1.0,,2.0,,,1.0,1.0,,,0.25,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2004,2003-04,False
120-133-136-1742-2048,1610612740,"Steven Smith, David Wesley, P.J. Brown, Shammond Williams, Jamaal Magloire","Smith, Wesley, Brown, Williams, Magloire",120-133-136-1742-2048,NOH,14.0,1,,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,,1.0,1.0,,2.0,,,,,,2.0,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,205.71428571428572,11.0,3.0,11.0,3.0,1.0,1.0,1.0,,,,,,,,,,1.0,0.4738,,0.4738,,,,1.0,,,1.0,1.0,,2.0,1.0,,,,,,,,2.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2004,2003-04,False
120-133-136-1742-2561,1610612740,"Steven Smith, David Wesley, P.J. Brown, Shammond Williams, David West","Smith, Wesley, Brown, Williams, West",120-133-136-1742-2561,NOH,78.0,1,1.0,-2.0,2.0,2.0,,,1.0,4.0,,,,,,,1.0,1.0,,,1.0,2.0,,2.0,,,,,,,,1.0,,,,,,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,1.0,1.0,0.3333333333333333,,,,,73.84615384615384,29.5,9.5,23.0,9.5,,,,,,,,0.3333333333333333,0.3333333333333333,,,,0.6666666666666666,0.52185,,,,15.2,23.65,,,,,,,,,,1.0,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2004,2003-04,False
120-133-136-1742-278,1610612740,"Steven Smith, David Wesley, P.J. Brown, Shammond Williams, Stacey Augmon","Smith, Wesley, Brown, Williams, Augmon",120-133-136-1742-278,NOH,1.0,1,,2.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,1440.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,2.0,2.0,,,,,2.0,,,1.0,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2004,2003-04,False
120-133-136-1884-2048,1610612740,"Steven Smith, David Wesley, P.J. Brown, Baron Davis, Jamaal Magloire","Smith, Wesley, Brown, Davis, Magloire",120-133-136-1884-2048,NOH,1350.0,10,22.0,-2.0,42.0,40.0,28.0,24.0,5.0,82.0,3.0,6.0,1.0,1.0,4.0,8.0,11.0,6.0,5.0,12.0,25.0,9.0,41.0,43.0,2.0,4.0,5.0,8.0,6.0,18.0,2.0,5.0,3.0,4.0,1.0,9.0,3.0,4.0,9.0,1.0,14.0,5.0,19.0,2.0,1.0,,4.0,,4.0,,2.0,5.0,11.0,36.0,28.0,1.0,0.25,0.2727272727272727,0.48,0.5,0.39705882352941174,0.5,0.4659090909090909,0.5,0.2647058823529412,1.0,0.6923076923076923,0.23076923076923078,1.0,0.7647058823529411,0.25,,0.25,0.75,,87.46666666666667,16.095238095238095,16.85,14.833333333333334,16.325,0.17647058823529413,0.5,0.5,0.23529411764705882,0.5,0.5714285714285714,0.25,0.3235294117647059,0.17647058823529413,0.25,1.0,0.21739130434782608,0.4411764705882353,0.4545378787878788,0.44273333333333337,0.44672272727272727,0.12195121951219512,10.995999999999999,26.299999999999997,0.6666666666666666,5.0,14.0,8.0,15.0,10.0,29.0,,2.0,2.0,1.0,20.0,,7.0,3.0,29.0,0.5333333333333333,0.41304347826086957,0.48333333333333334,0.2857142857142857,0.5,,0.45454545454545453,0.45454545454545453,0.4,0.17073170731707318,0.21875,0.7073170731707317,1.0,,,1.0,2.0,0.08695652173913043,0.5,3.0,,,1.0,0.08823529411764706,,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.125,0.125,0.04,0.125,0.6666666666666666,0.25,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,0.13043478260869565,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2004,2003-04,False
120-133-136-1884-2561,1610612740,"Steven Smith, David Wesley, P.J. Brown, Baron Davis, David West","Smith, Wesley, Brown, Davis, West",120-133-136-1884-2561,NOH,59.0,1,1.0,,2.0,3.0,2.0,3.0,,5.0,,,,,,,,1.0,1.0,,,1.0,3.0,3.0,,,,1.0,,,,1.0,,1.0,,3.0,,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,2.0,3.0,2.0,2.0,,,,,1.5,,1.5,,1.0,1.0,,,,,,,,,,122.03389830508475,15.5,9.333333333333334,15.5,9.333333333333334,,,,,,,,,1.0,,,1.0,1.0,0.52665,,0.52665,,,24.5,1.0,,,,,,3.0,,,,,,,,,3.0,,1.5,1.5,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2004,2003-04,False
120-133-136-1884-353,1610612740,"Steven Smith, David Wesley, P.J. Brown, Baron Davis, Darrell Armstrong","Smith, Wesley, Brown, Davis, Armstrong",120-133-136-1884-353,NOH,112.0,7,2.0,6.0,7.0,5.0,7.0,5.0,,12.0,,,,,,,,1.0,1.0,,,3.0,10.0,4.0,,,,3.0,,,,1.0,,1.0,,3.0,,,2.0,1.0,3.0,1.0,4.0,,,,,,,,,,1.0,10.0,7.0,1.0,,,,,0.5,,0.625,,1.0,1.0,0.6666666666666666,,,0.6666666666666666,0.5,,1.0,0.5,,154.28571428571428,9.857142857142858,8.6,9.714285714285714,8.6,,,,,,,,,0.3333333333333333,,,0.3333333333333333,1.0,0.43235,,0.43235,,,24.366666666666664,1.0,,7.0,,,7.0,10.0,,,1.0,,10.0,,,5.0,10.0,,0.5,0.625,0.5,,,,,,,,1.0,,,,,,,,2.0,,,,0.6666666666666666,,2.0,,,1.0,1.0,3.0,,,,1.0,,,,,,,,,,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,0.6666666666666666,,,,,,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2004,2003-04,False
120-133-136-1884-399,1610612740,"Steven Smith, David Wesley, P.J. Brown, Baron Davis, Sean Rooks","Smith, Wesley, Brown, Davis, Rooks",120-133-136-1884-399,NOH,61.0,1,1.0,-4.0,2.0,2.0,2.0,2.0,1.0,4.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,,4.0,,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,2.0,,2.0,,,,,,,,,,0.5,,,,,,0.5,,,,,94.42622950819673,18.5,12.0,15.5,12.0,,,,,,,,0.5,0.5,,,0.5,0.5,0.504225,,0.504225,,16.7,24.5,1.0,,,,1.0,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2004,2003-04,False
