EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Fouls,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,LongMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,PtsUnassisted2s,LongMidRangeAssists,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,ShootingFouls,BlockedShortMidRange,RecoveredBlocks,SecondChanceFg2Pct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyDefPoss,SecondChanceAtRimFGA,SecondChanceFtPoints,FTDefRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,TwoPtShootingFoulsDrawn,LiveBallTurnoverPct,DefFTReboundPct,SelfORebPct,SecondChanceAtRimFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Corner3FGA,OffThreePtRebounds,LostBallSteals,LostBallTurnovers,PenaltyTurnovers,Offensive Fouls,OffThreePtReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,Corner3Frequency,BadPassOutOfBoundsTurnovers,SecondChanceAtRimFGM,PenaltyCorner3FGA,ShortMidRangeAssists,OffShortMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,2pt And 1 Free Throw Trips,PtsPutbacks,3SecondViolations,OffArc3ReboundPct,PtsAssisted3s,ThreePtAssists,Arc3Assists,Loose Ball Fouls,Assisted3sPct,Arc3PctAssisted,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,SecondChanceTurnovers,Clear Path Fouls,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,FTOffRebounds,StepOutOfBoundsTurnovers,Technical Free Throw Trips,BlockedLongMidRange,Defensive 3 Seconds Violations,LongMidRangePctBlocked,OffFTReboundPct,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedCorner3,SecondChanceArc3PctAssisted,BlockedArc3,Travels,ThreePtShootingFoulsDrawn,DefensiveGoaltends,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,OffensiveGoaltends,HeaveAttempts,SecondChanceCorner3PctAssisted,Corner3PctBlocked,team_id,year,season,team_vs
1747-1885-1917-2124-224,1610612748,"Rafer Alston, Lamar Odom, Wang Zhi-zhi, Malik Allen, Eddie Jones","Alston, Odom, Zhi-zhi, Allen, Jones",1747-1885-1917-2124-224,MIA,379.0,3,6.0,-10.0,12.0,12.0,12.0,1.0,24.0,1.0,4.0,1.0,4.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,10.0,1.0,2.0,2.0,7.0,17.0,1.0,1.0,3.0,1.0,10.0,1.0,2.0,2.0,7.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,7.0,12.0,1.0,1.0,0.5,1.0,0.5,0.5,0.1,0.1,0.20833333333333334,1.5,0.20833333333333334,0.2692307692307692,1.5,0.2692307692307692,0.16666666666666666,0.2,0.5,0.5,0.1111111111111111,1.0,0.5714285714285714,0.1,0.3333333333333333,0.75,1.0,91.18733509234829,15.166666666666666,16.416666666666668,15.0,14.583333333333334,0.3333333333333333,0.25,0.5,1.0,0.08333333333333333,0.4166666666666667,0.16666666666666666,0.5,0.5,1.0,1.0,0.3333333333333333,0.25,0.16666666666666666,0.5,0.5,0.5,0.4769833333333333,0.5508,0.4769833333333333,0.42857142857142855,1.0,9.620000000000001,24.85,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2004,2003-04,True
1747-1885-1917-2124-2406,1610612748,"Rafer Alston, Lamar Odom, Wang Zhi-zhi, Malik Allen, Caron Butler","Alston, Odom, Zhi-zhi, Allen, Butler",1747-1885-1917-2124-2406,MIA,367.0,2,6.0,1.0,9.0,10.0,,1.0,19.0,1.0,2.0,,,1.0,5.0,1.0,1.0,,,,,3.0,8.0,1.0,1.0,,9.0,8.0,,,2.0,,,,,,,4.0,3.0,1.0,1.0,,2.0,2.0,1.0,4.0,1.0,,5.0,5.0,1.0,6.0,2.0,,,2.0,1.0,2.0,7.0,,,0.6666666666666666,0.6666666666666666,1.0,,,1.0,0.375,,0.5,1.0,,0.5,1.0,,0.1111111111111111,,,0.7142857142857143,0.2,,0.625,0.2,,0.6666666666666666,,74.55040871934605,16.88888888888889,21.5,15.444444444444445,17.1,0.2222222222222222,0.5,0.5,1.0,0.1111111111111111,0.5555555555555556,0.1111111111111111,1.0,1.0,,,,,,,0.3333333333333333,1.0,0.4527222222222222,0.3767,,0.2222222222222222,,13.2875,24.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.5,1.0,1.0,0.2,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2004,2003-04,True
1747-1885-1917-2124-2548,1610612748,"Rafer Alston, Lamar Odom, Wang Zhi-zhi, Malik Allen, Dwyane Wade","Alston, Odom, Zhi-zhi, Allen, Wade",1747-1885-1917-2124-2548,MIA,291.0,2,5.0,1.0,9.0,8.0,4.0,2.0,17.0,3.0,5.0,1.0,2.0,,4.0,,,,,,,3.0,9.0,,,2.0,8.0,7.0,,,2.0,1.0,5.0,,,,2.0,2.0,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,2.0,2.0,4.0,1.0,2.0,,,,,6.0,2.0,4.0,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,0.2,0.3333333333333333,,0.2,0.4,0.5,0.2,,0.1111111111111111,0.2,,0.3333333333333333,0.5,0.5,0.3333333333333333,,,0.5,84.12371134020619,19.22222222222222,14.75,18.666666666666668,13.75,0.5555555555555556,0.6,0.75,0.3333333333333333,,0.4444444444444444,,,,,,0.4,0.5,,,0.5555555555555556,,0.4720111111111111,0.5114,0.40679999999999994,0.25,0.25,8.433333333333334,,0.4444444444444444,,,,1.0,4.0,,2.0,2.0,,1.0,1.0,,,,0.5,,,,,,,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2004,2003-04,True
1747-1885-1917-224-2406,1610612748,"Rafer Alston, Lamar Odom, Wang Zhi-zhi, Eddie Jones, Caron Butler","Alston, Odom, Zhi-zhi, Jones, Butler",1747-1885-1917-224-2406,MIA,368.0,4,6.0,-2.0,12.0,12.0,7.0,1.0,24.0,1.0,3.0,,2.0,2.0,4.0,,,,,,,3.0,9.0,,1.0,2.0,8.0,10.0,,,,1.0,6.0,,,,2.0,4.0,,,,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,5.0,2.0,2.0,,,,,8.0,2.0,7.0,0.6666666666666666,0.6666666666666666,,,,,0.3333333333333333,0.16666666666666666,0.3,,0.16666666666666666,0.36363636363636365,,0.16666666666666666,0.1,0.1111111111111111,0.3333333333333333,1.0,0.2,1.0,1.0,0.3333333333333333,0.5,,1.0,93.91304347826086,14.833333333333334,15.833333333333334,14.75,15.833333333333334,0.3,0.3333333333333333,0.5,1.0,0.2,0.4,,,,,,0.3333333333333333,,,,0.4,,0.480085,0.252,0.46271666666666667,,0.25,8.61111111111111,23.2,0.5833333333333334,,2.0,,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,,,,,,,,,0.5,0.5,0.5,5.0,,,1.0,2.0,1.0,,1.0,0.5,1.0,0.4,,0.09090909090909091,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2004,2003-04,True
1747-1885-1917-224-2617,1610612748,"Rafer Alston, Lamar Odom, Wang Zhi-zhi, Eddie Jones, Udonis Haslem","Alston, Odom, Zhi-zhi, Jones, Haslem",1747-1885-1917-224-2617,MIA,22.0,1,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,130.9090909090909,10.0,12.0,10.0,12.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2004,2003-04,True
1747-1885-1917-2406-2548,1610612748,"Rafer Alston, Lamar Odom, Wang Zhi-zhi, Caron Butler, Dwyane Wade","Alston, Odom, Zhi-zhi, Butler, Wade",1747-1885-1917-2406-2548,MIA,48.0,1,1.0,-2.0,2.0,1.0,,,3.0,,,,,,1.0,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,18.5,11.0,18.5,11.0,,,,,,1.0,,,,,,,,,,,,0.3802,,,,,16.1,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2004,2003-04,True
1747-1885-1917-2406-2617,1610612748,"Rafer Alston, Lamar Odom, Wang Zhi-zhi, Caron Butler, Udonis Haslem","Alston, Odom, Zhi-zhi, Butler, Haslem",1747-1885-1917-2406-2617,MIA,356.0,3,6.0,3.0,12.0,10.0,5.0,4.0,22.0,1.0,1.0,,,3.0,5.0,,1.0,,,,1.0,3.0,9.0,,3.0,4.0,10.0,7.0,,,6.0,1.0,2.0,,2.0,2.0,4.0,4.0,,1.0,,,2.0,2.0,1.0,4.0,3.0,1.0,3.0,4.0,4.0,8.0,1.0,6.0,,1.0,,1.0,4.0,4.0,5.0,0.6666666666666666,0.6666666666666666,,,,,0.3333333333333333,0.5,0.25,0.75,0.25,0.3333333333333333,0.6,0.4,0.25,,,0.75,0.5,1.0,0.8,0.5,,1.0,1.0,88.98876404494382,13.416666666666666,19.5,10.583333333333334,19.3,0.08333333333333333,1.0,1.0,1.0,0.25,0.4166666666666667,0.08333333333333333,,,,,,,0.25,,0.3333333333333333,,0.42846249999999997,0.5094666666666666,0.352425,0.6,0.4,13.100000000000001,25.833333333333332,0.4166666666666667,1.0,1.0,3.0,4.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,0.75,0.25,,,0.3333333333333333,0.3333333333333333,0.2,0.2,,4.0,1.0,,,,,,3.0,,,,0.25,0.2,0.25,2.0,1.0,,,,,0.5,0.5,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2004,2003-04,True
1747-1885-1917-2446-2548,1610612748,"Rafer Alston, Lamar Odom, Wang Zhi-zhi, Rasual Butler, Dwyane Wade","Alston, Odom, Zhi-zhi, Butler, Wade",1747-1885-1917-2446-2548,MIA,150.0,1,2.0,-3.0,4.0,5.0,,,9.0,1.0,1.0,,,,2.0,,1.0,,,,,1.0,3.0,,1.0,,2.0,5.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,2.0,1.0,,,,,2.0,,,,,,,,,0.3333333333333333,,0.25,,,0.25,,,0.25,,,1.0,,,1.0,,,,,86.4,14.75,18.2,14.75,18.2,0.25,1.0,1.0,,,0.5,0.25,,,,,,,,,0.5,,0.4857625,,,,,12.066666666666668,25.8,,,,,,2.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,0.25,0.3333333333333333,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2004,2003-04,True
1747-1885-1917-2446-955,1610612748,"Rafer Alston, Lamar Odom, Wang Zhi-zhi, Rasual Butler, Samaki Walker","Alston, Odom, Zhi-zhi, Butler, Walker",1747-1885-1917-2446-955,MIA,219.0,1,4.0,-3.0,6.0,5.0,,1.0,11.0,1.0,1.0,,,,2.0,,1.0,,,,,2.0,3.0,,1.0,,4.0,7.0,,,2.0,,,,,,,2.0,,1.0,,,1.0,1.0,,2.0,,1.0,,1.0,1.0,2.0,,,,,,,2.0,,,0.5,1.0,,,,,0.6666666666666666,,0.5,1.0,,0.5,1.0,,0.25,,,,,0.3333333333333333,0.3333333333333333,0.5,,,0.3333333333333333,72.32876712328768,21.833333333333332,17.6,21.666666666666668,16.4,0.25,1.0,1.0,,,0.5,0.25,,,,,,,,,0.5,,0.446375,,,0.5,,12.533333333333333,24.0,,,1.0,1.0,1.0,2.0,1.0,1.0,,3.0,3.0,,,,1.0,,,,,,0.5,0.5,1.0,5.0,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,,,,1.0,1.0,,,,,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2004,2003-04,True
1747-1885-1917-2548-2617,1610612748,"Rafer Alston, Lamar Odom, Wang Zhi-zhi, Dwyane Wade, Udonis Haslem","Alston, Odom, Zhi-zhi, Wade, Haslem",1747-1885-1917-2548-2617,MIA,132.0,1,2.0,-9.0,3.0,4.0,,,7.0,,,,,2.0,,,1.0,,,,,,2.0,,1.0,,,9.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,76.36363636363636,23.0,15.75,23.0,12.5,,,,,0.6666666666666666,,0.3333333333333333,,,,,,,,,0.3333333333333333,,0.38953333333333334,,,,,6.5,25.8,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2004,2003-04,True
