EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefLongMidRangeReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,PtsUnassisted3s,PtsPutbacks,Fg2aBlocked,ShortMidRangeAssists,LongMidRangeAssists,BlockingFouls,Charge Fouls,Loose Ball Fouls,Technical Free Throw Trips,BlockedShortMidRange,RecoveredBlocks,OffensiveGoaltends,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChanceTurnovers,SelfOReb,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,SelfORebPct,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,ShortMidRangePctBlocked,DefensiveGoaltends,OffCorner3ReboundPct,Fg3aBlocked,Travels,FG3APctBlocked,Corner3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3SecondViolations,SecondChanceArc3FGA,LongMidRangePctBlocked,SecondChanceArc3Frequency,Blocked3s,BlockedArc3,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,BlockedCorner3,BlockedLongMidRange,OffFTReboundPct,Defensive 3 Seconds Violations,team_id,year,season,team_vs
101114-101154-101187-1718-1905,1610612751,"Deron Williams, Andray Blatche, Alan Anderson, Paul Pierce, Andrei Kirilenko","Williams, Blatche, Anderson, Pierce, Kirilenko",101114-101154-101187-1718-1905,BKN,817.0,4,14.0,-1.0,24,23.0,13.0,15.0,2.0,47,2.0,5.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,2.0,3.0,6.0,2.0,3.0,2.0,6.0,5.0,12.0,6.0,25.0,26.0,1.0,2.0,2.0,1.0,3.0,3.0,5.0,6.0,17.0,2.0,2.0,15.0,1.0,5.0,3.0,1.0,5.0,6.0,3.0,2.0,1.0,17.0,1.0,1.0,3.0,2.0,1.0,6.0,2.0,8.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,6.0,4.0,3.0,7.0,1.0,9.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,23.0,17.0,13.0,1.0,2.0,0.5,0.5,1.0,0.4166666666666667,0.6,0.45454545454545453,0.3333333333333333,0.3333333333333333,0.5277777777777778,0.6875,0.5952380952380952,0.5,0.7727272727272727,0.6666666666666666,0.5,1.0,0.5,0.25,0.75,0.16666666666666666,0.625,0.2,1.0,0.5,0.5,0.5,0.75,82.83965728274174,17.375,17.391304347826086,17.083333333333332,16.782608695652176,0.2777777777777778,0.4,0.4,0.5,0.05555555555555555,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.5,0.5,1.0,1.0,0.25,0.5,0.25,0.5,0.375,0.6666666666666666,0.9444444444444444,0.6,0.5312794117647059,0.4908571428571428,0.05263157894736842,0.14285714285714285,0.08,0.68,3.1333333333333333,25.691666666666666,0.5416666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2014,2013-14,True
101114-101154-101187-1718-201977,1610612751,"Deron Williams, Andray Blatche, Alan Anderson, Paul Pierce, Marcus Thornton","Williams, Blatche, Anderson, Pierce, Thornton",101114-101154-101187-1718-201977,BKN,54.0,2,1.0,2.0,1,2.0,1.0,2.0,,3,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,3.0,1.0,,,,,,1.0,1.0,,3.0,,,3.0,,1.0,1.0,,1.0,1.0,1.0,,,3.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,3.0,3.0,1.0,,,,,1.0,1.0,1.0,1.0,,,1.5,1.5,1.5,,1.5,1.0,,,1.0,,,,1.0,,,,,,,80.0,22.0,16.0,22.0,16.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,0.38655,0.38655,,,,1.0,,24.1,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2014,2013-14,True
101114-101154-101187-1718-2207,1610612751,"Deron Williams, Andray Blatche, Alan Anderson, Paul Pierce, Joe Johnson","Williams, Blatche, Anderson, Pierce, Johnson",101114-101154-101187-1718-2207,BKN,1840.0,7,31.0,-8.0,59,58.0,23.0,28.0,2.0,117,7.0,14.0,2.0,5.0,12.0,2.0,2.0,,,,1.0,7.0,,2.0,17.0,33.0,3.0,9.0,7.0,50.0,58.0,,,2.0,7.0,13.0,,2.0,3.0,17.0,14.0,20.0,6.0,,7.0,1.0,7.0,2.0,9.0,1.0,1.0,2.0,20.0,,2.0,9.0,14.0,1.0,24.0,2.0,26.0,5.0,4.0,1.0,6.0,1.0,1.0,8.0,5.0,,14.0,5.0,8.0,20.0,2.0,7.0,,,7.0,3.0,,4.0,3.0,4.0,48.0,17.0,23.0,1.0,,0.4117647058823529,0.4375,0.6666666666666666,0.3333333333333333,,0.3333333333333333,0.5151515151515151,0.5384615384615384,0.5119047619047619,0.4666666666666667,0.5444444444444444,0.5,0.5,0.21428571428571427,0.42857142857142855,0.5,0.6363636363636364,0.125,0.6428571428571429,,0.6388888888888888,0.09090909090909091,,,0.5714285714285714,0.8571428571428571,0.6363636363636364,91.56521739130434,14.423728813559322,17.051724137931036,14.338983050847459,15.741379310344827,0.3333333333333333,0.5,0.5833333333333334,0.2857142857142857,0.2857142857142857,0.047619047619047616,1.0,1.0,0.5,0.16666666666666666,0.14285714285714285,0.14285714285714285,1.0,,0.3333333333333333,0.4,,,0.13333333333333333,,0.5476190476190477,0.14285714285714285,0.49775238095238095,0.48544,0.06666666666666667,0.08333333333333333,0.04,0.34,7.218181818181818,24.477777777777778,0.3898305084745763,0.5,1.0,1.0,6.0,4.0,7.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,0.5,0.5,0.06060606060606061,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.6666666666666666,0.5,0.5,0.5,0.5,0.16666666666666666,0.5714285714285714,0.5714285714285714,0.5,0.5,1.0,0.5518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2014,2013-14,True
101114-101154-101187-1905-203141,1610612751,"Deron Williams, Andray Blatche, Alan Anderson, Andrei Kirilenko, Mirza Teletovic","Williams, Blatche, Anderson, Kirilenko, Teletovic",101114-101154-101187-1905-203141,BKN,494.0,3,8.0,-3.0,14,17.0,8.0,8.0,1.0,31,3.0,4.0,2.0,2.0,2.0,,2.0,,,1.0,,3.0,,3.0,3.0,7.0,,5.0,2.0,8.0,11.0,,,,2.0,3.0,,4.0,2.0,6.0,4.0,2.0,,,3.0,,2.0,,2.0,,,2.0,4.0,1.0,,2.0,4.0,,6.0,1.0,7.0,2.0,2.0,,,,,2.0,,,2.0,1.0,1.0,4.0,,4.0,,,4.0,,2.0,,,,8.0,6.0,8.0,,1.0,0.6666666666666666,0.6666666666666666,,,,,0.42857142857142855,0.6666666666666666,0.25,0.2857142857142857,0.2857142857142857,,0.3333333333333333,0.4166666666666667,,,0.8,,0.5,0.2,0.6666666666666666,0.1111111111111111,,0.3333333333333333,,0.6666666666666666,0.3333333333333333,90.36437246963564,15.785714285714286,16.058823529411764,15.714285714285714,15.352941176470589,0.3333333333333333,0.75,1.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,,,,0.25,,,,,0.2857142857142857,1.0,0.14285714285714285,,0.42857142857142855,,0.75,,0.4886875,0.4939071428571428,,,,0.75,6.214285714285714,24.66,0.5714285714285714,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,0.14285714285714285,0.25,,,1.0,,,,,0.08333333333333333,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2014,2013-14,True
101114-101154-101187-1905-2733,1610612751,"Deron Williams, Andray Blatche, Alan Anderson, Andrei Kirilenko, Shaun Livingston","Williams, Blatche, Anderson, Kirilenko, Livingston",101114-101154-101187-1905-2733,BKN,7.0,1,,2.0,1,1.0,1.0,1.0,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,1.0,,,,2.0,2.0,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,411.42857142857144,4.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2014,2013-14,True
101114-101154-101187-203141-2207,1610612751,"Deron Williams, Andray Blatche, Alan Anderson, Mirza Teletovic, Joe Johnson","Williams, Blatche, Anderson, Teletovic, Johnson",101114-101154-101187-203141-2207,BKN,1552.0,8,26.0,-21.0,49,46.0,24.0,27.0,3.0,95,4.0,7.0,3.0,4.0,11.0,,2.0,,,,5.0,11.0,3.0,6.0,8.0,23.0,5.0,13.0,14.0,45.0,66.0,,,,6.0,13.0,3.0,6.0,8.0,29.0,6.0,10.0,9.0,,11.0,5.0,3.0,3.0,6.0,3.0,,2.0,15.0,,3.0,7.0,9.0,1.0,17.0,3.0,20.0,2.0,2.0,,4.0,2.0,2.0,3.0,2.0,,7.0,2.0,9.0,15.0,1.0,14.0,1.0,,19.0,6.0,4.0,,,,45.0,29.0,24.0,2.0,4.0,0.375,0.375,0.6,0.38461538461538464,0.5,0.38461538461538464,0.34782608695652173,0.46153846153846156,0.4305555555555556,0.5526315789473685,0.5,,0.6041666666666666,0.3611111111111111,0.5714285714285714,1.0,0.8181818181818182,0.21428571428571427,0.7,,0.7619047619047619,0.13636363636363635,0.2857142857142857,,0.5,1.0,0.75,88.14432989690721,17.285714285714285,15.326086956521738,16.877551020408163,14.565217391304348,0.19444444444444445,0.5714285714285714,0.5714285714285714,0.5,0.3055555555555556,0.05555555555555555,,,,0.3055555555555556,0.45454545454545453,0.45454545454545453,0.6,,0.21052631578947367,0.75,,,0.3157894736842105,0.5,0.5555555555555556,0.45454545454545453,0.46668055555555554,0.4516026315789474,0.14634146341463414,0.21428571428571427,,0.6444444444444445,8.178260869565218,24.63076923076923,0.4897959183673469,1.0,,1.0,4.0,,5.0,,2.0,6.0,,,1.0,,,,,,,,,,,,,0.5,,0.5,,0.36363636363636365,0.36363636363636365,0.25,0.1388888888888889,,,,0.5,,0.4989,1.0,1.0,1.0,1.0,0.045454545454545456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2014,2013-14,True
101114-101154-1718-1905-201977,1610612751,"Deron Williams, Andray Blatche, Paul Pierce, Andrei Kirilenko, Marcus Thornton","Williams, Blatche, Pierce, Kirilenko, Thornton",101114-101154-1718-1905-201977,BKN,110.0,2,2.0,-2.0,4,4.0,3.0,4.0,,8,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,1.0,3.0,,,2.0,4.0,6.0,,,,1.0,2.0,,,2.0,4.0,,2.0,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,2.0,,,2.0,,1.0,,,,4.0,4.0,3.0,,1.0,,,,,,,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5,,0.6666666666666666,,,,,,0.5,,0.5,,,,,,0.5,104.72727272727273,16.25,11.25,16.25,9.75,0.3333333333333333,1.0,1.0,,0.6666666666666666,,,,,,,,,,0.5,1.0,,,,,0.3333333333333333,,0.39083333333333337,0.36555,,,,1.0,5.133333333333334,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2014,2013-14,True
101114-101154-1718-1905-2207,1610612751,"Deron Williams, Andray Blatche, Paul Pierce, Andrei Kirilenko, Joe Johnson","Williams, Blatche, Pierce, Kirilenko, Johnson",101114-101154-1718-1905-2207,BKN,587.0,3,10.0,-8.0,17,19.0,2.0,2.0,1.0,36,2.0,3.0,,,3.0,,,,,,,4.0,,1.0,4.0,6.0,,4.0,5.0,13.0,21.0,,,,,,,1.0,3.0,3.0,4.0,4.0,,,4.0,,2.0,,2.0,,,2.0,4.0,1.0,,3.0,4.0,,7.0,1.0,8.0,1.0,,1.0,5.0,,2.0,1.0,3.0,,6.0,,2.0,5.0,,4.0,,1.0,6.0,1.0,2.0,1.0,1.0,1.0,13.0,3.0,2.0,,2.0,0.5,0.5,,,,,0.6666666666666666,,0.4,,0.5,,0.5,0.4,0.8333333333333334,,0.6666666666666666,,1.0,0.3333333333333333,0.7777777777777778,0.2,,0.3333333333333333,0.6666666666666666,1.0,1.0,88.31345826235093,15.411764705882353,17.105263157894736,15.235294117647058,16.263157894736842,0.3,0.6666666666666666,1.0,1.0,0.3,,,,,0.4,,,,,,,,,1.0,,0.7,,0.448765,0.42285,0.09090909090909091,0.14285714285714285,,0.23076923076923078,6.3999999999999995,27.1,0.11764705882352941,0.5,,1.0,2.0,,,,1.0,,,1.0,,,,,,,,1.0,,,,0.16666666666666666,0.3333333333333333,,,,1.0,0.6666666666666666,0.6666666666666666,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2014,2013-14,True
101114-101154-1718-201977-2207,1610612751,"Deron Williams, Andray Blatche, Paul Pierce, Marcus Thornton, Joe Johnson","Williams, Blatche, Pierce, Thornton, Johnson",101114-101154-1718-201977-2207,BKN,106.0,1,2.0,4.0,4,3.0,4.0,,,7,2.0,2.0,2.0,2.0,,,,,,,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,,9.0,5.0,,,,3.0,3.0,1.0,1.0,,9.0,,6.0,3.0,,1.0,1.0,,1.0,1.0,1.0,,,3.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,9.0,9.0,4.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.125,1.125,1.125,,1.125,0.25,,,1.0,,,,1.0,,,,1.0,,,95.09433962264151,14.25,16.333333333333332,14.25,16.333333333333332,0.5,1.0,1.0,,,,,,,0.25,1.0,1.0,1.0,,0.5,1.0,,,0.25,1.0,0.75,1.0,0.4901125,0.4901125,,,,1.0,7.366666666666667,25.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2014,2013-14,True
101114-101154-1718-2207-2733,1610612751,"Deron Williams, Andray Blatche, Paul Pierce, Joe Johnson, Shaun Livingston","Williams, Blatche, Pierce, Johnson, Livingston",101114-101154-1718-2207-2733,BKN,589.0,3,10.0,10.0,19,18.0,8.0,11.0,2.0,37,5.0,7.0,2.0,3.0,2.0,,1.0,,,1.0,4.0,4.0,1.0,1.0,7.0,13.0,4.0,5.0,3.0,29.0,19.0,,,4.0,2.0,5.0,1.0,2.0,1.0,8.0,6.0,8.0,12.0,,4.0,4.0,3.0,4.0,7.0,4.0,,2.0,18.0,,3.0,3.0,5.0,2.0,10.0,3.0,13.0,1.0,,1.0,,,,1.0,,,1.0,,3.0,6.0,,6.0,,,6.0,2.0,2.0,,,,25.0,8.0,8.0,3.0,2.0,0.42857142857142855,0.6,1.0,0.8,0.5,0.8,0.5384615384615384,0.4,0.7222222222222222,0.5,0.725,1.0,0.4444444444444444,0.2777777777777778,,1.0,1.0,0.5,0.75,,0.8888888888888888,0.5,1.0,,,1.0,1.0,90.45840407470288,13.31578947368421,18.666666666666668,13.210526315789474,18.055555555555557,0.3888888888888889,0.7142857142857143,0.7142857142857143,0.4,0.1111111111111111,0.05555555555555555,,,,0.2222222222222222,1.0,1.0,1.0,,0.42857142857142855,0.6666666666666666,0.14285714285714285,,0.14285714285714285,1.0,0.6666666666666666,1.0,0.47163055555555555,0.4652857142857143,0.1111111111111111,0.15384615384615385,0.13793103448275862,0.27586206896551724,7.515384615384615,24.82,0.42105263157894735,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,,4.0,1.0,,1.0,,,,,,,,1.0,1.0,0.07692307692307693,,0.5,0.3333333333333333,0.5,,0.5,1.0,,0.2222222222222222,0.25,0.25,1.0,1.0,1.0,0.5776,,1.0,,2.0,0.2,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2014,2013-14,True
