EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,PtsUnassisted2s,NonHeaveArc3FGA,DefThreePtRebounds,DefRebounds,Rebounds,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,PenaltyArc3FGA,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsPutbacks,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGM,Corner3FGA,FG3M,PtsUnassisted3s,Fg2aBlocked,LostBallSteals,BadPassOutOfBoundsTurnovers,Offensive Fouls,3SecondViolations,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,StepOutOfBoundsTurnovers,PenaltyTurnovers,Technical Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,Arc3FGM,PenaltyArc3FGM,PenaltyFG3M,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Assisted3sPct,PenaltyFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Corner3Assists,BlockedAtRim,RecoveredBlocks,BlocksRecoveredPct,Corner3PctAssisted,OffThreePtRebounds,LostBallOutOfBoundsTurnovers,OffThreePtReboundPct,OffCorner3ReboundPct,PenaltyCorner3FGA,PenaltyCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,OffArc3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,ShortMidRangePctBlocked,FTOffRebounds,OffFTReboundPct,SecondChanceArc3FGA,SecondChanceArc3Frequency,DefensiveGoaltends,Blocked3s,BlockedArc3,LongMidRangePctBlocked,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffensiveGoaltends,BlockedCorner3,BlockedLongMidRange,Fg3aBlocked,FoulsDrawn,Offensive Fouls Drawn,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,Corner3PctBlocked,team_id,year,season,team_vs
133-1503-1508-1909-2857,1610612745,"David Wesley, Tracy McGrady, Maurice Taylor, Scott Padgett, Andre Barrett","Wesley, McGrady, Taylor, Padgett, Barrett",133-1503-1508-1909-2857,HOU,60.0,1,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.5,0.75,0.5,1.0,1.0,1.0,72.0,22.5,15.0,22.5,15.0,0.5,1.0,1.0,0.5,0.5,0.422775,0.5,1.0,7.1,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2005,2004-05,True
133-1503-1508-1909-468,1610612745,"David Wesley, Tracy McGrady, Maurice Taylor, Scott Padgett, Jon Barry","Wesley, McGrady, Taylor, Padgett, Barry",133-1503-1508-1909-468,HOU,794.0,2,13.0,1.0,25.0,25.0,50.0,2.0,2.0,2.0,11.0,22.0,2.0,8.0,30.0,10.0,2.0,4.0,9.0,16.0,10.0,,3.0,23.0,0.5,0.4583333333333333,0.5172413793103449,0.08333333333333333,0.8,0.7777777777777778,0.75,90.68010075566751,16.04,15.72,14.4,14.68,0.08333333333333333,1.0,1.0,0.08333333333333333,0.5,0.47746875000000005,0.1111111111111111,0.12,8.827272727272726,25.55,8.0,8.0,7.0,6.0,10.0,2.0,3.0,1.0,3.0,3.0,10.0,1.0,29.0,2.0,4.0,3.0,7.0,2.0,6.0,1.0,5.0,9.0,12.0,2.0,6.0,6.0,3.0,1.0,2.0,12.0,7.0,3.0,2.0,7.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,6.0,1.0,2.0,9.0,8.0,2.0,0.5454545454545454,0.6,0.5,0.3333333333333333,0.5,0.2857142857142857,0.5833333333333334,0.45,0.6666666666666666,1.0,0.75,0.6363636363636364,0.5384615384615384,0.75,0.5714285714285714,1.0,0.6666666666666666,1.0,0.07692307692307693,0.4166666666666667,0.6,0.6,0.5,0.5,0.4166666666666667,0.3,0.3,0.6666666666666666,0.75,0.6666666666666666,0.42857142857142855,0.3333333333333333,0.14285714285714285,0.52945,0.48484999999999995,0.23333333333333334,0.3,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2005,2004-05,True
133-1503-1508-1909-682,1610612745,"David Wesley, Tracy McGrady, Maurice Taylor, Scott Padgett, Bob Sura","Wesley, McGrady, Taylor, Padgett, Sura",133-1503-1508-1909-682,HOU,36.0,1,1.0,2.0,1.0,1.0,2.0,,,,,,,2.0,2.0,,,1.0,1.0,1.0,2.0,,,2.0,,,1.0,,1.0,1.0,1.0,80.0,12.0,24.0,12.0,24.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2005,2004-05,True
133-1503-1508-221-468,1610612745,"David Wesley, Tracy McGrady, Maurice Taylor, Clar. Weatherspoon, Jon Barry","Wesley, McGrady, Taylor, Weatherspoon, Barry",133-1503-1508-221-468,HOU,171.0,1,3.0,-1.0,6.0,5.0,11.0,,2.0,,,3.0,1.0,1.0,4.0,,,,2.0,4.0,2.0,,1.0,3.0,,0.375,0.4,0.25,,1.0,,92.63157894736842,13.666666666666666,17.8,11.833333333333334,17.8,0.5,,,,0.5,0.5528375,0.2,0.25,6.233333333333333,23.4,,,2.0,,1.0,,,,,,,,5.0,,,1.0,1.0,,,,,,,,,,,,,,2.0,2.0,,2.0,1.0,1.0,,,,3.0,,,3.0,1.0,,2.0,,,,,,,,,,,,0.5,,,,1.0,0.6666666666666666,0.6666666666666666,1.0,,,,,0.5,0.25,,,,,,,,,,,,,,,,0.25,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2005,2004-05,True
133-1503-1508-2397-468,1610612745,"David Wesley, Tracy McGrady, Maurice Taylor, Yao Ming, Jon Barry","Wesley, McGrady, Taylor, Ming, Barry",133-1503-1508-2397-468,HOU,300.0,4,5.0,3.0,8.0,11.0,19.0,,2.0,,3.0,7.0,,3.0,9.0,2.0,,,5.0,6.0,5.0,,2.0,7.0,0.42857142857142855,0.42857142857142855,0.45,,,0.8333333333333334,,91.2,18.25,14.0,18.125,12.909090909090908,0.2857142857142857,,,,0.2857142857142857,0.44267142857142855,0.2222222222222222,0.2222222222222222,10.328571428571427,,6.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,,6.0,1.0,1.0,,2.0,3.0,5.0,,3.0,9.0,4.0,2.0,2.0,2.0,1.0,,1.0,4.0,1.0,5.0,,1.0,,1.0,1.0,,,,,,,,,,,1.0,9.0,6.0,,0.6666666666666666,1.0,1.0,0.6,1.0,0.6,1.0,0.5625,,,1.0,0.25,0.25,,,1.0,1.0,,,0.2857142857142857,1.0,1.0,0.5,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.4,1.0,,0.5512,0.45644,0.2222222222222222,1.0,0.75,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2005,2004-05,True
133-1503-1508-2397-682,1610612745,"David Wesley, Tracy McGrady, Maurice Taylor, Yao Ming, Bob Sura","Wesley, McGrady, Taylor, Ming, Sura",133-1503-1508-2397-682,HOU,700.0,3,12.0,-4.0,24.0,24.0,48.0,1.0,2.0,1.0,7.0,10.0,3.0,9.0,23.0,4.0,1.0,1.0,12.0,12.0,10.0,1.0,5.0,23.0,0.7,0.5384615384615384,0.6470588235294118,0.23076923076923078,0.5,0.7692307692307693,0.5,98.74285714285715,12.75,16.416666666666668,12.75,16.0,0.15384615384615385,0.5,0.5,0.07692307692307693,0.5384615384615384,0.48953846153846153,0.29411764705882354,0.35714285714285715,8.28,23.066666666666666,12.0,16.0,,3.0,4.0,,,3.0,4.0,3.0,4.0,,27.0,,,,,5.0,6.0,,7.0,17.0,10.0,,5.0,5.0,1.0,1.0,3.0,10.0,,9.0,2.0,,,,,1.0,1.0,6.0,,2.0,7.0,,5.0,10.0,,,17.0,12.0,2.0,0.7142857142857143,0.7142857142857143,,0.8333333333333334,,0.8333333333333334,,0.8888888888888888,0.14285714285714285,0.6666666666666666,0.8181818181818182,,,,,1.0,0.875,,,0.3076923076923077,0.75,1.0,0.3333333333333333,1.0,0.3076923076923077,0.75,0.75,1.0,,,0.6666666666666666,0.75,,,0.5674,,0.7391304347826086,0.5,,2.0,,,1.0,,,2.0,,,,0.1,0.25,,,0.15384615384615385,,,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2005,2004-05,True
133-1503-1508-436-682,1610612745,"David Wesley, Tracy McGrady, Maurice Taylor, Juwan Howard, Bob Sura","Wesley, McGrady, Taylor, Howard, Sura",133-1503-1508-436-682,HOU,172.0,1,3.0,1.0,7.0,7.0,14.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,9.0,2.0,1.0,2.0,3.0,3.0,4.0,,,9.0,0.5,0.5833333333333334,0.5625,0.3333333333333333,1.0,1.0,1.0,117.20930232558139,13.571428571428571,11.0,13.571428571428571,11.0,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.41883,,,10.375,53.0,5.0,6.0,,,1.0,,,,1.0,1.0,1.0,2.0,8.0,,,,,,2.0,2.0,2.0,5.0,2.0,,1.0,2.0,,,1.0,5.0,,1.0,,,,,,,,,,,,,1.0,1.0,,2.0,5.0,5.0,,0.5,0.5,,,,0.375,,0.4166666666666667,,,1.0,,,,,,1.0,1.0,,0.16666666666666666,,,,,0.16666666666666666,1.0,1.0,1.0,,,0.25,,0.5,,0.43835,,0.5555555555555556,0.7142857142857143,,,1.0,,,,,,,0.5,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2005,2004-05,True
133-1503-1508-468-682,1610612745,"David Wesley, Tracy McGrady, Maurice Taylor, Jon Barry, Bob Sura","Wesley, McGrady, Taylor, Barry, Sura",133-1503-1508-468-682,HOU,4.0,1,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,360.0,,4.0,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2005,2004-05,True
133-1503-1508-468-87,1610612745,"David Wesley, Tracy McGrady, Maurice Taylor, Jon Barry, Dikembe Mutombo","Wesley, McGrady, Taylor, Barry, Mutombo",133-1503-1508-468-87,HOU,668.0,4,11.0,2.0,21.0,18.0,39.0,,4.0,2.0,2.0,10.0,3.0,5.0,12.0,2.0,2.0,2.0,10.0,10.0,7.0,,3.0,12.0,0.2,0.2692307692307692,0.34375,0.23076923076923078,1.0,0.8181818181818182,1.0,84.07185628742515,16.761904761904763,17.555555555555557,16.761904761904763,17.166666666666668,0.3076923076923077,,,0.15384615384615385,0.38461538461538464,0.43974230769230765,0.1875,0.23076923076923078,11.17,24.666666666666668,2.0,,,2.0,2.0,,,,,,4.0,,10.0,,,,,,,,2.0,2.0,2.0,,1.0,2.0,1.0,,,5.0,,7.0,1.0,,,2.0,2.0,1.0,,3.0,1.0,1.0,4.0,,1.0,3.0,1.0,,2.0,2.0,,0.5,0.5,,,,,,1.0,0.25,1.0,0.7777777777777778,,,,,0.6666666666666666,0.6666666666666666,,,0.15384615384615385,1.0,1.0,0.5,,0.3076923076923077,,,,,,,,,,,,0.16666666666666666,0.09523809523809523,1.0,1.0,1.0,,,,,1.0,,0.3333333333333333,0.3333333333333333,,,,1.0,0.07692307692307693,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,3.0,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2005,2004-05,True
133-1503-1508-682-87,1610612745,"David Wesley, Tracy McGrady, Maurice Taylor, Bob Sura, Dikembe Mutombo","Wesley, McGrady, Taylor, Sura, Mutombo",133-1503-1508-682-87,HOU,894.0,4,15.0,-1.0,27.0,27.0,54.0,2.0,5.0,3.0,6.0,19.0,5.0,6.0,27.0,2.0,3.0,1.0,14.0,18.0,9.0,,4.0,27.0,0.3157894736842105,0.4375,0.4642857142857143,0.20833333333333334,1.0,0.8125,1.0,86.97986577181207,18.11111111111111,15.0,16.88888888888889,14.703703703703704,0.20833333333333334,0.4,0.4,0.125,0.3333333333333333,0.45316874999999995,0.14285714285714285,0.17391304347826086,13.0,24.5,12.0,6.0,3.0,,3.0,,3.0,,1.0,4.0,11.0,2.0,28.0,,4.0,,,3.0,7.0,2.0,3.0,12.0,10.0,,5.0,8.0,,2.0,3.0,19.0,3.0,12.0,1.0,4.0,1.0,1.0,1.0,1.0,,4.0,1.0,1.0,5.0,,2.0,6.0,1.0,,12.0,12.0,1.0,0.8333333333333334,0.8333333333333334,,0.42857142857142855,,0.5,,0.5,0.2,1.0,0.8,0.25,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.5,0.875,,0.07142857142857142,0.125,,,,1.0,0.4583333333333333,0.36363636363636365,0.36363636363636365,0.75,0.75,,0.1111111111111111,,0.2222222222222222,0.6057,0.45993333333333336,,0.4444444444444444,0.4444444444444444,1.0,2.0,3.0,,,,,1.0,,0.6,0.6,,,,1.0,0.08333333333333333,0.5,0.5,,2.0,1.0,2.0,,2.0,2.0,1.0,1.0,9.0,,2.0,3.0,2.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,2.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2005,2004-05,True
