EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyFtPoints,FTDefRebounds,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,PenaltyTurnovers,Loose Ball Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,SecondChanceAtRimFGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG3A,PtsUnassisted2s,PtsPutbacks,OffThreePtRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,OffThreePtReboundPct,OffArc3ReboundPct,Corner3Frequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,LongMidRangeFGM,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LongMidRangeAssists,DefThreePtRebounds,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,DefArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Blocked2s,BlockedAtRim,Blocks,OffCorner3ReboundPct,FTOffRebounds,LostBallOutOfBoundsTurnovers,OffFTReboundPct,SecondChanceAtRimPctAssisted,Corner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Corner3Assists,StepOutOfBoundsTurnovers,Travels,Offensive Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,BlockedShortMidRange,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceFg3Pct,ShortMidRangePctBlocked,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveAttempts,3pt And 1 Free Throw Trips,OffensiveGoaltends,Blocked3s,BlockedArc3,Corner3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
133-136-1884-1924-2048,1610612740,"David Wesley, P.J. Brown, Baron Davis, Lee Nailon, Jamaal Magloire","Wesley, Brown, Davis, Nailon, Magloire",133-136-1884-1924-2048,NOH,329.0,2,5.0,-5.0,9.0,8.0,3.0,3.0,3.0,17.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,2.0,11.0,1.0,2.0,6.0,11.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,5.0,2.0,2.0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,3.0,1.0,1.0,0.18181818181818182,0.5,0.16666666666666666,0.3333333333333333,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.09090909090909091,0.2,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.5,0.5,0.5,0.6,1.0,0.5,0.1111111111111111,74.40729483282675,23.11111111111111,15.125,19.555555555555557,15.125,0.25,0.3333333333333333,0.3333333333333333,1.0,0.25,0.3333333333333333,0.3333333333333333,1.0,0.4166666666666667,0.08333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.46051250000000005,0.47795,0.5246833333333333,0.07692307692307693,0.08333333333333333,0.3333333333333333,0.3333333333333333,10.318181818181818,25.6,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2005,2004-05,False
133-136-1884-1924-2365,1610612740,"David Wesley, P.J. Brown, Baron Davis, Lee Nailon, Chris Andersen","Wesley, Brown, Davis, Nailon, Andersen",133-136-1884-1924-2365,NOH,354.0,3,6.0,-10.0,12.0,12.0,8.0,10.0,3.0,24.0,,2.0,,,1.0,1.0,1.0,5.0,2.0,1.0,1.0,8.0,2.0,6.0,8.0,18.0,1.0,2.0,2.0,,3.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,4.0,,2.0,,,,2.0,1.0,,2.0,6.0,2.0,6.0,4.0,8.0,1.0,1.0,0.125,,0.1,,0.3076923076923077,0.5,0.3333333333333333,0.2,0.125,,1.0,0.3333333333333333,0.5,0.25,,,0.4,,1.0,,97.62711864406779,16.416666666666668,13.083333333333334,14.75,12.833333333333334,0.2,,,,0.1,1.0,1.0,1.0,0.5,0.2,,0.25,,0.25,0.4,0.45337500000000003,0.428,0.4689625,0.16666666666666666,0.2,0.25,0.5,13.1875,24.85,0.6666666666666666,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2005,2004-05,False
133-136-1884-1924-2424,1610612740,"David Wesley, P.J. Brown, Baron Davis, Lee Nailon, Dan Dickau","Wesley, Brown, Davis, Nailon, Dickau",133-136-1884-1924-2424,NOH,269.0,2,4.0,-13.0,8.0,10.0,8.0,10.0,4.0,18.0,1.0,3.0,1.0,1.0,3.0,,1.0,2.0,2.0,2.0,1.0,6.0,4.0,2.0,4.0,17.0,1.0,,2.0,1.0,6.0,4.0,4.0,,2.0,1.0,,,,,,3.0,,1.0,4.0,5.0,,,,,,1.0,1.0,1.0,5.0,2.0,1.0,2.0,4.0,8.0,,,0.16666666666666666,0.16666666666666666,0.1,0.1,0.18181818181818182,0.3333333333333333,0.18181818181818182,0.4,0.16666666666666666,,,0.6,,0.4444444444444444,1.0,,0.5,,,,96.35687732342008,13.375,16.2,12.125,14.8,0.3,0.3333333333333333,0.5,,0.1,,,,0.2,0.2,0.3333333333333333,0.3,0.3333333333333333,0.2,0.7,0.495785,0.568625,0.495785,0.09090909090909091,0.14285714285714285,0.5,1.0,9.049999999999999,24.9,1.0,2.0,1.0,,1.0,1.0,,1.0,,,4.0,0.3333333333333333,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.3333333333333333,0.25,0.5,0.2,1.0,0.3333333333333333,0.3333333333333333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2005,2004-05,False
133-136-1884-1924-2437,1610612740,"David Wesley, P.J. Brown, Baron Davis, Lee Nailon, Lonny Baxter","Wesley, Brown, Davis, Nailon, Baxter",133-136-1884-1924-2437,NOH,80.0,1,1.0,8.0,3.0,3.0,3.0,3.0,,6.0,,,,,,,,1.0,2.0,2.0,1.0,1.0,2.0,,8.0,,,,,1.0,1.0,2.0,8.0,2.0,2.0,,1.0,2.0,,,5.0,,1.0,2.0,,2.0,,,,,,,,,,,,8.0,8.0,3.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,,1.3333333333333333,0.6666666666666666,,,0.5,,0.6666666666666666,,,,,,0.5,,108.0,9.333333333333334,17.333333333333332,9.333333333333334,17.0,,,,,,,,,0.3333333333333333,0.6666666666666666,,,,0.6666666666666666,0.6666666666666666,0.4848666666666666,,0.4848666666666666,,,,1.0,21.2,26.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2005,2004-05,False
133-136-1884-1924-2451,1610612740,"David Wesley, P.J. Brown, Baron Davis, Lee Nailon, Corsley Edwards","Wesley, Brown, Davis, Nailon, Edwards",133-136-1884-1924-2451,NOH,138.0,1,2.0,1.0,4.0,3.0,1.0,2.0,,7.0,,,,,,,,2.0,2.0,,,2.0,3.0,,6.0,5.0,,,,,1.0,1.0,,,2.0,,,1.0,,,3.0,,,,1.0,1.0,,1.0,1.0,,,,,2.0,3.0,2.0,,6.0,,1.0,,,,,0.6,,0.5,,,0.6,,,,,,0.3333333333333333,,,,,,,73.04347826086958,18.5,21.333333333333332,18.5,20.666666666666668,,,,,,,,,0.4,0.4,,,,,0.6,0.47464000000000006,,0.4678,,,,,17.15,25.0,0.25,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,1.0,,0.2,,,,0.5,,2.0,,2.0,,3.0,3.0,2.0,1.0,1.0,,,0.5,0.6666666666666666,,0.6666666666666666,,,,,,1.0,1.0,0.5,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2005,2004-05,False
133-136-1884-1924-2782,1610612740,"David Wesley, P.J. Brown, Baron Davis, Lee Nailon, Matt Freije","Wesley, Brown, Davis, Nailon, Freije",133-136-1884-1924-2782,NOH,331.0,2,6.0,-9.0,12.0,12.0,9.0,4.0,3.0,24.0,1.0,4.0,2.0,1.0,4.0,1.0,2.0,4.0,2.0,1.0,2.0,10.0,3.0,,4.0,13.0,3.0,,4.0,2.0,8.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,3.0,5.0,,2.0,,,1.0,1.0,,3.0,3.0,,,,4.0,9.0,0.5,0.5,0.2,0.25,0.15384615384615385,0.2,0.15384615384615385,0.6666666666666666,0.2,0.23076923076923078,0.1,,0.5,0.125,0.6666666666666666,0.18181818181818182,,,0.25,0.5,,,104.41087613293051,19.5,8.083333333333334,15.333333333333334,7.416666666666667,0.3076923076923077,0.25,0.3333333333333333,1.0,0.15384615384615385,0.5,0.5,,0.3076923076923077,0.15384615384615385,0.6666666666666666,0.4,0.25,0.1,0.5384615384615384,0.48114615384615383,0.4954,0.490905,,,1.0,1.0,9.790000000000001,24.833333333333332,0.75,,,2.0,,,,1.0,,,,0.25,,,1.0,1.0,,1.0,,2.0,,2.0,,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.07692307692307693,0.5,,,0.1,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2005,2004-05,False
133-136-1884-2048-248,1610612740,"David Wesley, P.J. Brown, Baron Davis, Jamaal Magloire, George Lynch","Wesley, Brown, Davis, Magloire, Lynch",133-136-1884-2048-248,NOH,5425.0,5,90.0,4.0,161.0,163.0,20.0,30.0,20.0,324.0,24.0,47.0,5.0,3.0,7.0,7.0,18.0,51.0,21.0,4.0,55.0,116.0,29.0,30.0,179.0,175.0,14.0,3.0,16.0,3.0,8.0,6.0,27.0,82.0,21.0,12.0,41.0,53.0,17.0,4.0,118.0,20.0,41.0,54.0,24.0,78.0,,12.0,6.0,3.0,17.0,23.0,4.0,13.0,33.0,39.0,16.0,163.0,27.0,20.0,0.7454545454545455,0.7454545454545455,0.47413793103448276,0.375,0.5137931034482759,0.5357142857142857,0.5493827160493827,0.42105263157894735,0.6428571428571429,0.2,0.10344827586206896,,0.6949152542372882,0.32786885245901637,0.7066666666666667,0.3116883116883117,0.30434782608695654,0.36363636363636365,0.3333333333333333,0.5333333333333333,0.7333333333333333,,86.00184331797234,17.236024844720497,16.257668711656443,15.714285714285714,15.576687116564417,0.32413793103448274,0.5106382978723404,0.6486486486486487,0.7083333333333334,0.12413793103448276,0.3888888888888889,0.4375,0.5714285714285714,0.35172413793103446,0.14482758620689656,0.3125,0.5,0.42857142857142855,0.2857142857142857,0.5241379310344828,0.48989931034482753,0.46874230769230774,0.5423071428571429,0.1069182389937107,0.12403100775193798,0.0893854748603352,0.15083798882681565,9.669827586206896,24.455172413793104,0.12422360248447205,12.0,1.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,2.0,0.2127659574468085,0.2608695652173913,0.5,2.0,8.0,,2.0,2.0,5.0,2.0,28.0,,4.0,0.35714285714285715,0.40625,0.25,0.2727272727272727,0.05517241379310345,0.4,,0.125,0.14285714285714285,24.0,10.0,2.0,13.0,3.0,36.0,3.0,10.0,12.0,9.0,20.0,12.0,0.9230769230769231,0.4482758620689655,0.5,0.4482758620689655,0.75,0.8888888888888888,0.47058823529411764,0.47058823529411764,0.8333333333333334,0.47619047619047616,0.47619047619047616,0.9,0.5,0.47619047619047616,7.0,4.0,7.0,0.2,,2.0,,0.5,3.0,1.0,1.0,1.0,3.0,1.0,1.0,7.0,3.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,0.5,0.1111111111111111,0.7857142857142857,0.5714285714285714,0.5714285714285714,0.375,0.375,1.0,0.5,1.0,0.5,0.03333333333333333,,,,,,,,,,,,,,,1610612740,2005,2004-05,False
133-136-1884-2048-2561,1610612740,"David Wesley, P.J. Brown, Baron Davis, Jamaal Magloire, David West","Wesley, Brown, Davis, Magloire, West",133-136-1884-2048-2561,NOH,42.0,1,1.0,-4.0,2.0,2.0,,,,4.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.14285714285714,14.5,6.5,14.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2005,2004-05,False
133-136-1884-2048-353,1610612740,"David Wesley, P.J. Brown, Baron Davis, Jamaal Magloire, Darrell Armstrong","Wesley, Brown, Davis, Magloire, Armstrong",133-136-1884-2048-353,NOH,202.0,1,3.0,2.0,5.0,5.0,5.0,,,10.0,1.0,1.0,,1.0,1.0,,,1.0,2.0,2.0,2.0,2.0,3.0,1.0,8.0,6.0,,,,2.0,2.0,3.0,8.0,2.0,2.0,,1.0,2.0,,,5.0,,1.0,1.0,,1.0,,,,,,,,1.0,2.0,1.0,1.0,8.0,8.0,5.0,0.5,0.5,1.0,1.0,0.7,0.7,0.8,,0.8,0.6,,,1.0,,0.5,,,,,,1.0,,71.2871287128713,19.0,21.4,19.0,21.2,0.2,1.0,1.0,,,,,,0.2,0.4,,0.2,1.0,0.4,0.8,0.5092399999999999,,0.5092399999999999,0.2,0.5,,1.0,9.85,23.96666666666667,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,2.0,,,,,,,0.2,,,,0.2,1.0,,,1.0,1.0,3.0,,,1.0,,1.0,,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,1610612740,2005,2004-05,False
133-136-1884-2048-915,1610612740,"David Wesley, P.J. Brown, Baron Davis, Jamaal Magloire, Rodney Rogers","Wesley, Brown, Davis, Magloire, Rogers",133-136-1884-2048-915,NOH,745.0,4,12.0,2.0,26.0,25.0,15.0,6.0,1.0,51.0,5.0,6.0,,4.0,4.0,1.0,1.0,7.0,3.0,1.0,9.0,14.0,4.0,8.0,32.0,30.0,1.0,,2.0,7.0,9.0,2.0,21.0,14.0,3.0,,7.0,8.0,3.0,1.0,17.0,,6.0,7.0,,7.0,,1.0,,,2.0,4.0,,4.0,7.0,8.0,2.0,30.0,21.0,15.0,0.7777777777777778,0.7777777777777778,0.6428571428571429,0.7777777777777778,0.6666666666666666,0.7727272727272727,0.7272727272727273,1.0,0.8076923076923077,0.2222222222222222,,,0.8571428571428571,,0.8571428571428571,,,,,1.0,1.0,,98.5771812080537,14.961538461538462,14.24,14.846153846153847,13.44,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.6,0.05555555555555555,1.0,1.0,1.0,0.3888888888888889,0.16666666666666666,,0.36363636363636365,1.0,0.09090909090909091,0.5555555555555556,0.4703805555555556,0.4149,0.4867545454545455,0.1,0.125,0.0625,0.65625,9.62857142857143,25.05,0.5769230769230769,4.0,1.0,1.0,2.0,1.0,1.0,2.0,,2.0,1.0,,0.5,0.5,,1.0,,1.0,,1.0,,4.0,,,1.0,1.0,,,0.05555555555555555,,,,0.09090909090909091,3.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,,0.5,0.5,0.5,0.5,,,0.42857142857142855,0.42857142857142855,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2005,2004-05,False
