EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Blocked2s,BlockedLongMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeAssists,BadPassTurnovers,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,DefShortMidRangeReboundPct,ShortMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,Corner3FGM,Corner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FtPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFtPoints,PtsUnassisted3s,Fg2aBlocked,Corner3Assists,OffTwoPtRebounds,OffRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,NonShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,DefThreePtRebounds,BlockedShortMidRange,RecoveredBlocks,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,BadPassSteals,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,OffThreePtRebounds,SelfOReb,SecondChanceFg2Pct,LongMidRangePctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceFtPoints,Fg3aBlocked,FTOffRebounds,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,Technical Free Throw Trips,BlockedAtRim,3SecondViolations,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,OffShortMidRangeReboundPct,SecondChanceArc3PctAssisted,HeaveAttempts,DefensiveGoaltends,Blocked3s,BlockedArc3,Travels,Defensive 3 Seconds Violations,Corner3PctBlocked,ThreePtShootingFoulsDrawn,BlockedCorner3,OffensiveGoaltends,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Clear Path Fouls,team_id,year,season,team_vs
123-133-136-1714-2042,1610612740,"Robert Pack, David Wesley, P.J. Brown, Robert Traylor, Courtney Alexander","Pack, Wesley, Brown, Traylor, Alexander",123-133-136-1714-2042,NOH,256.0,2,4.0,4.0,7.0,7.0,7.0,4.0,14.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,9.0,5.0,3.0,5.0,1.0,1.0,9.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,9.0,9.0,7.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.6,0.6,0.75,0.75,0.75,0.75,0.16666666666666666,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,78.75,16.0,20.571428571428573,16.0,19.285714285714285,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.5,1.0,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.3333333333333333,1.0,0.42839166666666667,0.42839166666666667,1.0,12.0,24.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2003,2002-03,True
123-133-136-1714-2213,1610612740,"Robert Pack, David Wesley, P.J. Brown, Robert Traylor, Kirk Haston","Pack, Wesley, Brown, Traylor, Haston",123-133-136-1714-2213,NOH,184.0,1,3.0,7.0,6.0,5.0,,,11.0,2.0,2.0,,,1.0,1.0,2.0,2.0,,,,,5.0,5.0,,,10.0,3.0,,,,,,8.0,2.0,,,,4.0,,4.0,,2.0,1.0,8.0,4.0,,4.0,4.0,,,1.0,,1.0,,,1.0,1.0,,,,10.0,,,,0.8,0.8,,,,,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,86.08695652173913,12.5,21.8,12.5,21.8,0.4,1.0,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.5,,,,,,,,,0.4,,0.48869999999999997,,,7.9,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2003,2002-03,True
123-133-136-1714-248,1610612740,"Robert Pack, David Wesley, P.J. Brown, Robert Traylor, George Lynch","Pack, Wesley, Brown, Traylor, Lynch",123-133-136-1714-248,NOH,341.0,2,6.0,4.0,11.0,11.0,7.0,8.0,22.0,,3.0,,3.0,,,1.0,2.0,1.0,1.0,,,1.0,5.0,2.0,2.0,12.0,8.0,,3.0,,,4.0,2.0,,3.0,1.0,1.0,1.0,1.0,2.0,,,1.0,5.0,4.0,,4.0,5.0,1.0,1.0,,,1.0,1.0,,2.0,,1.0,1.0,1.0,9.0,4.0,7.0,1.0,1.0,1.0,0.5,1.0,,1.0,0.2,,0.5714285714285714,,0.6,0.3333333333333333,0.2857142857142857,,,0.6666666666666666,0.5714285714285714,0.75,92.90322580645162,13.0,18.0,12.727272727272727,15.090909090909092,0.42857142857142855,,,,,,,0.2857142857142857,0.5,0.5,1.0,0.14285714285714285,1.0,1.0,,1.0,,,,0.7142857142857143,1.0,0.5514928571428571,0.6239666666666667,0.3333333333333333,7.659999999999999,24.05,0.6363636363636364,,,6.0,,1.0,0.5,,0.125,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.5,1.5,0.4,0.6666666666666666,0.25,0.25,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,0.59655,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2003,2002-03,True
123-133-136-1714-469,1610612740,"Robert Pack, David Wesley, P.J. Brown, Robert Traylor, Jamal Mashburn","Pack, Wesley, Brown, Traylor, Mashburn",123-133-136-1714-469,NOH,661.0,5,11.0,10.0,21.0,21.0,9.0,1.0,42.0,5.0,5.0,3.0,3.0,3.0,4.0,2.0,6.0,,2.0,,,10.0,15.0,,2.0,24.0,14.0,5.0,5.0,,,14.0,14.0,6.0,,2.0,,7.0,,7.0,,2.0,2.0,14.0,10.0,,11.0,11.0,1.0,1.0,2.0,,2.0,2.0,2.0,2.0,,1.0,,1.0,24.0,14.0,9.0,,0.7,0.7,,,,,0.6666666666666666,1.0,0.5882352941176471,1.0,0.631578947368421,1.0,0.11764705882352941,1.0,,0.7142857142857143,0.6470588235294118,0.6666666666666666,91.49773071104387,15.619047619047619,15.857142857142858,15.619047619047619,14.428571428571429,0.29411764705882354,1.0,1.0,0.4,0.23529411764705882,0.75,0.75,0.35294117647058826,0.3333333333333333,0.3333333333333333,1.0,0.11764705882352941,,,,0.6,1.0,,,0.4117647058823529,,0.48176470588235293,0.47481999999999996,0.5833333333333334,9.326666666666666,24.95,0.42857142857142855,3.0,2.0,4.0,,,0.75,1.0,,,,,,,,4.0,,,,4.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.3333333333333333,0.75,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2003,2002-03,True
123-133-136-2042-278,1610612740,"Robert Pack, David Wesley, P.J. Brown, Courtney Alexander, Stacey Augmon","Pack, Wesley, Brown, Alexander, Augmon",123-133-136-2042-278,NOH,2.0,1,,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,720.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,2.0,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2003,2002-03,True
123-133-136-2042-469,1610612740,"Robert Pack, David Wesley, P.J. Brown, Courtney Alexander, Jamal Mashburn","Pack, Wesley, Brown, Alexander, Mashburn",123-133-136-2042-469,NOH,42.0,2,1.0,,4.0,3.0,4.0,3.0,7.0,,,,,,,,,,,,,,,,,4.0,4.0,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,1.0,1.0,,,,,,,240.00000000000003,6.25,5.666666666666667,6.25,5.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,4.0,,,,,,,,,,,,4.0,,,,4.0,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2003,2002-03,True
123-133-136-2048-248,1610612740,"Robert Pack, David Wesley, P.J. Brown, Jamaal Magloire, George Lynch","Pack, Wesley, Brown, Magloire, Lynch",123-133-136-2048-248,NOH,435.0,1,7.0,2.0,12.0,14.0,6.0,7.0,26.0,4.0,7.0,,2.0,2.0,2.0,,1.0,1.0,6.0,1.0,5.0,6.0,10.0,1.0,7.0,15.0,13.0,1.0,3.0,1.0,5.0,5.0,4.0,8.0,3.0,6.0,1.0,2.0,1.0,3.0,1.0,1.0,,7.0,4.0,,5.0,10.0,,,,,,,2.0,5.0,,,,,11.0,5.0,6.0,3.0,0.3333333333333333,0.4,1.0,0.14285714285714285,0.2,0.14285714285714285,0.6,0.3333333333333333,0.4411764705882353,0.3125,0.4411764705882353,0.3125,0.4117647058823529,,,1.0,1.0,1.0,86.06896551724138,17.0,16.5,15.416666666666666,16.5,0.4117647058823529,0.5714285714285714,0.6666666666666666,0.25,0.11764705882352941,1.0,1.0,0.058823529411764705,,,,0.35294117647058826,0.16666666666666666,0.16666666666666666,1.0,0.25,,0.625,0.2,0.8235294117647058,0.16666666666666666,0.5156882352941177,0.54289375,0.3333333333333333,3.46,24.785714285714285,0.5,1.0,,,,,1.0,0.5,,,3.0,,1.0,,,,,,4.0,,,2.0,,3.0,5.0,,,,,0.4,0.4,0.2,0.14285714285714285,0.75,0.5,1.0,0.058823529411764705,,,,,,0.538,0.26666666666666666,1.0,,,1.0,,,,,2.0,5.0,2.0,5.0,2.0,2.0,1.0,0.4,1.0,0.3333333333333333,0.6666666666666666,0.2,1.0,1.0,0.125,1.0,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2003,2002-03,True
123-133-136-2048-278,1610612740,"Robert Pack, David Wesley, P.J. Brown, Jamaal Magloire, Stacey Augmon","Pack, Wesley, Brown, Magloire, Augmon",123-133-136-2048-278,NOH,123.0,1,2.0,3.0,4.0,3.0,4.0,3.0,7.0,,2.0,,2.0,,1.0,,,1.0,1.0,1.0,1.0,,3.0,2.0,2.0,7.0,4.0,,3.0,2.0,2.0,7.0,,,6.0,1.0,1.0,,2.0,2.0,1.0,,,6.0,1.0,,1.0,3.0,,,,,,,2.0,2.0,,,,,4.0,7.0,4.0,,,,1.0,1.0,1.0,1.0,,,0.6,0.6,0.5833333333333334,0.5833333333333334,0.4,,,1.0,1.0,1.0,81.95121951219512,17.25,18.0,15.0,18.0,0.4,,,,0.2,,,,,,,0.2,1.0,1.0,1.0,0.4,,0.2,1.0,0.8,1.0,0.51809,0.51809,1.0,1.8666666666666665,23.7,1.0,,,2.0,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,3.0,1.0,,,1.0,2.0,2.0,,,1.0,1.0,0.75,0.75,,,0.6666666666666666,0.6666666666666666,,0.2,1.0,1.0,1.0,,,0.5886,0.42857142857142855,,,,,,,,,,1.0,,1.0,,,1.0,,,,1.0,,,,0.3333333333333333,0.5,,,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2003,2002-03,True
123-133-136-2048-469,1610612740,"Robert Pack, David Wesley, P.J. Brown, Jamaal Magloire, Jamal Mashburn","Pack, Wesley, Brown, Magloire, Mashburn",123-133-136-2048-469,NOH,5199.0,12,87.0,39.0,164.0,164.0,28.0,32.0,328.0,33.0,51.0,5.0,10.0,13.0,26.0,24.0,53.0,6.0,14.0,1.0,5.0,70.0,130.0,9.0,23.0,193.0,154.0,11.0,21.0,1.0,7.0,33.0,74.0,66.0,21.0,14.0,6.0,37.0,7.0,44.0,5.0,15.0,13.0,95.0,45.0,4.0,61.0,88.0,12.0,6.0,10.0,2.0,20.0,,10.0,33.0,,10.0,,10.0,162.0,33.0,28.0,9.0,0.5285714285714286,0.6065573770491803,0.7777777777777778,0.391304347826087,0.14285714285714285,0.391304347826087,0.5384615384615384,0.5238095238095238,0.545751633986928,0.44642857142857145,0.5614035087719298,0.4852941176470588,0.1503267973856209,0.5,0.8,0.6521739130434783,0.6785714285714286,0.7419354838709677,90.84824004616272,15.237804878048781,16.463414634146343,14.713414634146341,15.597560975609756,0.3333333333333333,0.6470588235294118,0.673469387755102,0.45454545454545453,0.16993464052287582,0.5,0.5416666666666666,0.3464052287581699,0.4528301886792453,0.4528301886792453,0.5416666666666666,0.0915032679738562,0.42857142857142855,0.46153846153846156,0.8333333333333334,0.35714285714285715,0.5,0.17857142857142858,0.2,0.48366013071895425,0.42857142857142855,0.48812058823529414,0.4897892857142857,0.17098445595854922,9.007692307692308,24.108695652173914,0.17073170731707318,9.0,8.0,40.0,3.0,17.0,0.5555555555555556,0.6923076923076923,0.10179640718562874,0.11805555555555555,26.0,3.0,9.0,1.0,4.0,26.0,1.0,5.0,31.0,8.0,6.0,4.0,2.0,23.0,27.0,3.0,10.0,4.0,0.2,0.6136363636363636,0.62,0.03076923076923077,0.0392156862745098,0.38333333333333336,0.35135135135135137,0.2413793103448276,0.058823529411764705,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.18181818181818182,0.25,0.52624,0.16062176165803108,12.0,2.0,5.0,0.8,0.6,0.7777777777777778,0.5,6.0,9.0,11.0,12.0,17.0,18.0,3.0,4.0,0.7058823529411765,,0.21428571428571427,0.7222222222222222,0.25,0.16666666666666666,0.8333333333333334,0.057971014492753624,0.5,0.8181818181818182,0.2222222222222222,,1.0,,2.0,0.045454545454545456,,,0.07142857142857142,,4.0,1.0,1.0,2.0,1.0,3.0,1.0,8.0,1.0,0.043478260869565216,0.07692307692307693,0.07142857142857142,0.14285714285714285,0.23076923076923078,1.0,,,,,,,,,,,,,,1610612740,2003,2002-03,True
123-133-136-2048-922,1610612740,"Robert Pack, David Wesley, P.J. Brown, Jamaal Magloire, Elden Campbell","Pack, Wesley, Brown, Magloire, Campbell",123-133-136-2048-922,NOH,81.0,1,1.0,-2.0,3.0,2.0,2.0,2.0,5.0,,,,,,,,,,2.0,,2.0,,,,2.0,2.0,4.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,,2.0,1.0,,,,,,,,,,,0.3333333333333333,,1.0,,,,,,88.88888888888889,18.666666666666668,12.5,18.666666666666668,12.5,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,0.4536,0.4536,,,24.65,0.6666666666666666,,,2.0,,1.0,,,0.3333333333333333,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2003,2002-03,True
