EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGA,FG3A,NonHeaveArc3FGA,LiveBallTurnovers,BadPassTurnovers,Travels,Blocked2s,BlockedAtRim,Blocks,FG3APct,LiveBallTurnoverPct,Arc3Frequency,Avg3ptShotDistance,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,Arc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG2M,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,LongMidRangeAssists,OffThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,TwoPtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyAtRimFGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,HeaveAttempts,AtRimAssists,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,BlocksRecoveredPct,AtRimPctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,2pt And 1 Free Throw Trips,BlockedShortMidRange,Corner3FGA,Corner3Frequency,LostBallSteals,SecondChanceTurnovers,Loose Ball Fouls,Technical Free Throw Trips,BlockedLongMidRange,DefensiveGoaltends,ShortMidRangePctBlocked,Defensive 3 Seconds Violations,OffCorner3ReboundPct,LostBallOutOfBoundsTurnovers,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,SelfOReb,SelfORebPct,SecondChanceArc3Frequency,PenaltyCorner3Frequency,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Fg3aBlocked,FTOffRebounds,FG3APctBlocked,Corner3PctBlocked,OffFTReboundPct,3SecondViolations,LongMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,Arc3PctBlocked,Blocked3s,BlockedArc3,BlockedCorner3,Clear Path Fouls,team_id,year,season,team_vs
1501-1563-193-2038-2072,1610612749,"Tim Thomas, Kevin Ollie, Anthony Mason, Joel Przybilla, Michael Redd","Thomas, Ollie, Mason, Przybilla, Redd",1501-1563-193-2038-2072,MIL,326.0,3,5.0,-2.0,9.0,10.0,5.0,4.0,1.0,19.0,1.0,1.0,2.0,2.0,3.0,2.0,6.0,4.0,8.0,10.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,6.0,4.0,5.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5,1.0,0.25,1.0,1.0,0.25,1.0,1.0,1.0,83.92638036809815,16.0,18.2,15.777777777777779,18.2,0.16666666666666666,0.3333333333333333,1.0,1.0,0.5,0.5,0.5,0.16666666666666666,0.41311666666666663,0.46955,0.25,0.5,12.049999999999999,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2003,2002-03,True
1501-1563-193-2038-208,1610612749,"Tim Thomas, Kevin Ollie, Anthony Mason, Joel Przybilla, Sam Cassell","Thomas, Ollie, Mason, Przybilla, Cassell",1501-1563-193-2038-208,MIL,194.0,1,3.0,-8.0,5.0,5.0,,,,10.0,,,,,1.0,,1.0,,,8.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,74.22680412371133,20.2,18.6,20.2,18.0,,,,,,0.3333333333333333,,0.6666666666666666,0.5307333333333334,,,,15.2,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2003,2002-03,True
1501-1563-193-2038-951,1610612749,"Tim Thomas, Kevin Ollie, Anthony Mason, Joel Przybilla, Ray Allen","Thomas, Ollie, Mason, Przybilla, Allen",1501-1563-193-2038-951,MIL,1236.0,5,21.0,1.0,35.0,35.0,6.0,,4.0,70.0,6.0,,8.0,13.0,6.0,13.0,25.0,9.0,44.0,43.0,2.0,4.0,5.0,2.0,8.0,12.0,14.0,6.0,9.0,4.0,21.0,4.0,2.0,8.0,11.0,5.0,16.0,1.0,4.0,,3.0,4.0,,10.0,1.0,40.0,8.0,6.0,0.46153846153846156,0.5,0.52,0.5645161290322581,0.6111111111111112,0.4,0.6666666666666666,0.7272727272727273,0.3333333333333333,1.0,0.7692307692307693,0.3333333333333333,0.25,0.5,1.0,81.55339805825243,17.742857142857144,17.571428571428573,16.65714285714286,17.17142857142857,0.1935483870967742,0.41935483870967744,0.6153846153846154,0.6153846153846154,0.5,0.1935483870967742,,0.3870967741935484,0.43681451612903227,0.34782,0.09090909090909091,0.18181818181818182,9.1,0.17142857142857143,6.0,6.0,6.0,3.0,2.0,,,,,0.1935483870967742,0.75,0.1935483870967742,25.866666666666664,2.0,1.0,2.0,3.0,3.0,3.0,1.0,4.0,3.0,9.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.5,0.5,0.25,0.6,0.25,0.6,0.08,0.3333333333333333,1.0,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.0,0.3333333333333333,0.5,0.5,0.5,0.6666666666666666,0.5,0.5,1.0,0.5,0.5,0.5,0.4687,0.11428571428571428,0.13793103448275862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2003,2002-03,True
1501-1563-193-2072-208,1610612749,"Tim Thomas, Kevin Ollie, Anthony Mason, Michael Redd, Sam Cassell","Thomas, Ollie, Mason, Redd, Cassell",1501-1563-193-2072-208,MIL,192.0,4,3.0,11.0,16.0,11.0,16.0,8.0,,27.0,1.0,1.0,,,2.0,2.0,3.0,8.0,18.0,7.0,,,3.0,8.0,18.0,2.0,2.0,1.0,1.0,,2.0,,2.0,2.0,5.0,,5.0,1.0,4.0,4.0,,5.0,1.0,10.0,4.0,18.0,18.0,16.0,0.5,0.5,0.6666666666666666,0.625,0.6923076923076923,,0.6923076923076923,0.6666666666666666,,1.0,0.8,,,,1.0,202.5,5.1875,9.909090909090908,5.1875,8.818181818181818,0.125,,,,,0.25,0.125,0.75,0.39880714285714286,0.39880714285714286,,1.0,10.366666666666667,1.0,5.0,5.0,4.0,3.0,3.0,,2.0,2.0,2.0,0.625,0.75,0.625,30.3,1.0,,,1.0,2.0,2.0,,,2.0,,,2.0,,,,,,1.0,1.0,1.0,,,1.0,,0.4,0.5,,0.6666666666666666,,0.625,,,0.5,,,,,0.6666666666666666,,1.0,1.0,1.0,0.5,0.5,,0.4,0.4,,,,0.5,,0.1111111111111111,0.25,1.0,2.0,5.0,2.0,5.0,6.0,1.0,1.0,1.0,4.0,0.4,0.5,1.0,1.0,0.625,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2003,2002-03,True
1501-1563-193-2072-2409,1610612749,"Tim Thomas, Kevin Ollie, Anthony Mason, Michael Redd, Marcus Haislip","Thomas, Ollie, Mason, Redd, Haislip",1501-1563-193-2072-2409,MIL,478.0,2,8.0,-4.0,13.0,13.0,7.0,4.0,,26.0,1.0,,1.0,4.0,5.0,3.0,10.0,2.0,8.0,12.0,1.0,1.0,6.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,6.0,1.0,7.0,,3.0,1.0,,1.0,,5.0,,7.0,4.0,7.0,0.3333333333333333,0.3333333333333333,0.3,0.3,0.3333333333333333,0.5,0.25,0.7142857142857143,0.14285714285714285,0.5,0.6666666666666666,0.14285714285714285,,0.3333333333333333,1.0,78.32635983263599,20.153846153846153,16.615384615384617,20.153846153846153,15.461538461538462,0.1,0.4,0.25,0.25,1.0,0.5,,0.1,0.39957,0.3632166666666667,0.125,0.5,12.58,0.5384615384615384,,,,3.0,,,1.0,,1.0,,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,3.0,3.0,,,,,0.16666666666666666,,0.16666666666666666,,,,,,0.25,,,1.0,,1.0,1.0,0.2,0.2,,,,,,,,,0.25,0.25,,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2003,2002-03,True
1501-1563-193-2072-2429,1610612749,"Tim Thomas, Kevin Ollie, Anthony Mason, Michael Redd, Dan Gadzuric","Thomas, Ollie, Mason, Redd, Gadzuric",1501-1563-193-2072-2429,MIL,299.0,4,5.0,7.0,12.0,9.0,,,2.0,21.0,4.0,,,,6.0,6.0,10.0,4.0,16.0,9.0,2.0,4.0,,,,2.0,10.0,1.0,1.0,,2.0,1.0,3.0,2.0,5.0,1.0,6.0,,1.0,,,1.0,,4.0,,12.0,,,0.16666666666666666,0.2,0.6,0.5454545454545454,0.6666666666666666,0.6666666666666666,,1.0,0.25,1.0,1.0,0.2,,,1.0,101.1371237458194,12.833333333333334,16.11111111111111,10.583333333333334,16.11111111111111,0.36363636363636365,,,,,0.5454545454545454,,0.45454545454545453,0.4915272727272727,,0.25,,11.120000000000001,,,1.0,,1.0,,,1.0,1.0,1.0,0.09090909090909091,1.0,,22.7,4.0,1.0,1.0,2.0,,,1.0,2.0,,,2.0,,,,,1.0,,,,,,1.0,3.0,,,,0.5,,0.5,,,,,,,0.25,,1.0,,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,,,,0.5,1.0,,0.4801,0.25,0.2727272727272727,,,,,,,,,1.0,,,1.0,,,,,2.0,,1.0,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2003,2002-03,True
1501-1563-193-2072-389,1610612749,"Tim Thomas, Kevin Ollie, Anthony Mason, Michael Redd, Toni Kukoc","Thomas, Ollie, Mason, Redd, Kukoc",1501-1563-193-2072-389,MIL,1516.0,8,25.0,-19.0,44.0,45.0,15.0,14.0,4.0,89.0,9.0,5.0,4.0,8.0,6.0,11.0,23.0,10.0,35.0,54.0,,2.0,8.0,6.0,12.0,14.0,8.0,7.0,7.0,4.0,14.0,3.0,5.0,8.0,15.0,5.0,20.0,5.0,9.0,4.0,5.0,10.0,2.0,13.0,2.0,33.0,12.0,15.0,0.6363636363636364,0.7,0.4782608695652174,0.390625,0.4473684210526316,0.25,0.4,0.5714285714285714,0.2727272727272727,1.0,0.6842105263157895,0.2631578947368421,0.25,0.3333333333333333,1.0,84.53825857519789,17.545454545454547,16.533333333333335,16.727272727272727,15.577777777777778,0.28125,0.25,0.5,0.5714285714285714,1.0,0.1875,0.45454545454545453,0.5625,0.4649625,0.4683090909090909,0.05714285714285714,0.34285714285714286,7.456521739130435,0.3409090909090909,5.0,9.0,5.0,4.0,1.0,,5.0,3.0,5.0,0.28125,0.4444444444444444,0.15625,24.555555555555557,5.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,3.0,,2.0,1.0,3.0,,,1.0,2.0,2.0,3.0,2.0,1.0,3.0,4.0,,0.1111111111111111,0.1111111111111111,0.25,0.375,0.25,0.2727272727272727,0.13043478260869565,0.2222222222222222,1.0,0.25,0.25,0.3333333333333333,0.5,0.5714285714285714,0.75,1.0,0.5555555555555556,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.5,0.2,0.2,,1.0,0.25,0.2,0.5315333333333333,0.1111111111111111,0.14814814814814814,2.0,,3.0,,3.0,3.0,,2.0,1.0,,,0.2,0.4,0.4,0.2727272727272727,,,,4.0,0.125,1.0,1.0,2.0,1.0,2.0,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2003,2002-03,True
1501-1563-193-2072-679,1610612749,"Tim Thomas, Kevin Ollie, Anthony Mason, Michael Redd, Jason Caffey","Thomas, Ollie, Mason, Redd, Caffey",1501-1563-193-2072-679,MIL,458.0,5,8.0,3.0,16.0,17.0,6.0,4.0,2.0,33.0,2.0,1.0,3.0,4.0,5.0,7.0,11.0,5.0,25.0,22.0,,2.0,4.0,1.0,12.0,10.0,4.0,5.0,7.0,2.0,16.0,1.0,,6.0,6.0,2.0,8.0,,,,1.0,6.0,,5.0,,23.0,12.0,6.0,0.7142857142857143,0.7142857142857143,0.6363636363636364,0.6666666666666666,0.7352941176470589,0.5,1.0,0.8571428571428571,0.25,,0.8571428571428571,0.3333333333333333,,1.0,,103.75545851528383,14.25,13.529411764705882,13.875,13.235294117647058,0.13333333333333333,0.26666666666666666,0.75,0.75,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.4,0.43767,0.44308333333333333,0.08,0.48,12.772727272727273,0.375,3.0,4.0,3.0,,,,1.0,,1.0,0.26666666666666666,,0.2,25.1,1.0,,,3.0,2.0,2.0,1.0,2.0,4.0,6.0,,2.0,,2.0,2.0,2.0,1.0,,1.0,1.0,,,3.0,1.0,0.5,0.5,0.5,1.0,0.5,0.9166666666666666,,,,0.5,,0.5,,1.0,0.6666666666666666,,0.5,0.5,0.6,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,,,0.6666666666666666,0.4148,0.17647058823529413,0.23076923076923078,1.0,1.0,2.0,1.0,2.0,,,1.0,1.0,4.0,0.5,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.06666666666666667,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2003,2002-03,True
1501-1563-193-2072-911,1610612749,"Tim Thomas, Kevin Ollie, Anthony Mason, Michael Redd, Ervin Johnson","Thomas, Ollie, Mason, Redd, Johnson",1501-1563-193-2072-911,MIL,634.0,5,11.0,2.0,17.0,19.0,3.0,5.0,1.0,36.0,9.0,1.0,1.0,3.0,4.0,9.0,16.0,3.0,21.0,19.0,,2.0,2.0,2.0,4.0,14.0,4.0,7.0,7.0,1.0,14.0,1.0,1.0,7.0,8.0,1.0,9.0,1.0,1.0,,1.0,2.0,,3.0,,19.0,4.0,3.0,0.7777777777777778,0.7777777777777778,0.5625,0.5625,0.6176470588235294,1.0,0.6666666666666666,0.6363636363636364,0.14285714285714285,1.0,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.6,1.0,81.76656151419559,15.647058823529411,19.36842105263158,15.411764705882353,18.31578947368421,0.5625,0.1875,0.3333333333333333,0.3333333333333333,1.0,0.25,0.5,0.5625,0.5139,0.4765,0.09523809523809523,0.19047619047619047,5.44375,0.17647058823529413,,,,,,,,,,,,,,6.0,,,2.0,,,1.0,1.0,1.0,,,,1.0,,,2.0,,,1.0,,,,2.0,,,,1.0,0.5,1.0,0.5,0.0625,0.1111111111111111,,,,,,0.5,0.75,,0.6666666666666666,0.75,0.5,0.5,1.0,,,,,,,0.2869,0.11764705882352941,0.11764705882352941,1.0,,,,,,,4.0,,,,,0.6666666666666666,1.0,,,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2003,2002-03,True
1501-1563-193-2072-951,1610612749,"Tim Thomas, Kevin Ollie, Anthony Mason, Michael Redd, Ray Allen","Thomas, Ollie, Mason, Redd, Allen",1501-1563-193-2072-951,MIL,465.0,7,8.0,8.0,15.0,16.0,9.0,15.0,2.0,31.0,4.0,3.0,,1.0,2.0,3.0,7.0,9.0,18.0,10.0,1.0,3.0,4.0,3.0,7.0,2.0,4.0,1.0,2.0,,5.0,2.0,5.0,3.0,8.0,5.0,13.0,1.0,2.0,1.0,,2.0,,10.0,1.0,15.0,7.0,9.0,0.3333333333333333,0.5,0.42857142857142855,0.375,0.5294117647058824,0.375,0.4375,1.0,0.5,0.8333333333333334,0.8888888888888888,0.625,,1.0,0.75,96.0,16.733333333333334,13.375,13.866666666666667,12.875,0.3333333333333333,0.08333333333333333,,,,0.16666666666666666,0.5,0.75,0.5065583333333333,0.56005,0.16666666666666666,0.3888888888888889,4.757142857142857,0.6,4.0,5.0,4.0,1.0,1.0,,,,,0.4166666666666667,0.5,0.3333333333333333,25.4,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,,1.0,1.0,,3.0,,,,1.0,,4.0,1.0,0.2,0.2,1.0,0.5,0.3333333333333333,0.3333333333333333,,,,0.75,1.0,0.5,1.0,1.0,,1.0,0.75,0.75,,,,0.25,0.25,1.0,0.3333333333333333,1.0,0.25,0.60515,0.25,0.36363636363636365,2.0,,1.0,,2.0,,,1.0,,2.0,,,0.3333333333333333,0.6666666666666666,0.16666666666666666,,,,1.0,0.08333333333333333,,,,,,,,,,,1.0,2.0,2.0,1.0,0.125,0.6666666666666666,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2003,2002-03,True
