EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,SecondChanceFG2A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeAssists,FTA,TwoPtShootingFoulsDrawn,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,PenaltyOffPoss,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,NonShootingFoulsDrawn,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefLongMidRangeReboundPct,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SelfOReb,Travels,SelfORebPct,Offensive Fouls,ShortMidRangeFGM,SecondChanceFG2M,SecondChancePoints,PtsUnassisted2s,OffThreePtRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChancePointsPct,LiveBallTurnovers,BadPassTurnovers,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,LiveBallTurnoverPct,BlocksRecoveredPct,Loose Ball Fouls,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG3A,Steals,BadPassSteals,LostBallSteals,PenaltyTurnovers,PenaltyAtRimFrequency,PenaltyArc3Frequency,SecondChanceAtRimFGM,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyFG3M,NonHeaveArc3FGM,Arc3Assists,ShortMidRangeAssists,Technical Free Throw Trips,PenaltyFg3Pct,OffCorner3ReboundPct,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LostBallTurnovers,OffLongMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFG3M,SecondChanceFG3A,FTOffRebounds,SecondChanceTurnovers,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,PtsPutbacks,PenaltyAtRimFGM,BadPassOutOfBoundsTurnovers,BlockedLongMidRange,PenaltyAtRimAccuracy,SecondChanceFtPoints,HeaveAttempts,BlockedShortMidRange,ShortMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceArc3FGA,Clear Path Fouls,Blocked3s,BlockedArc3,OffensiveGoaltends,3SecondViolations,LongMidRangePctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PtsUnassisted3s,Fg3aBlocked,BlockedCorner3,FG3APctBlocked,Corner3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,team_id,year,season,team_vs
120-1477-1495-2049-764,1610612759,"Steven Smith, Bruce Bowen, Tim Duncan, Speedy Claxton, David Robinson","Smith, Bowen, Duncan, Claxton, Robinson",120-1477-1495-2049-764,SAS,36.0,1,1.0,-2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,80.0,22.0,14.0,22.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2003,2002-03,False
120-1477-1495-2049-788,1610612759,"Steven Smith, Bruce Bowen, Tim Duncan, Speedy Claxton, Kevin Willis","Smith, Bowen, Duncan, Claxton, Willis",120-1477-1495-2049-788,SAS,138.0,1,2.0,3.0,4.0,3.0,3.0,7.0,2.0,,,,73.04347826086958,16.5,24.0,16.0,22.666666666666668,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.5,0.5,0.4,1.0,0.5,0.5,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.4,0.5,0.5,1.0,0.2,0.2,1.0,1.0,1.0,0.2,1.0,0.8,0.51707,0.5925,2.3000000000000003,23.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2003,2002-03,False
120-1477-1495-2225-764,1610612759,"Steven Smith, Bruce Bowen, Tim Duncan, Tony Parker, David Robinson","Smith, Bowen, Duncan, Parker, Robinson",120-1477-1495-2225-764,SAS,164.0,1,3.0,-8.0,5.0,5.0,,10.0,10.0,,,,87.80487804878048,22.8,10.0,22.8,10.0,,,,,1.0,,,,1.0,4.0,,,2.0,,2.0,,,1.0,,1.0,,,2.0,,,,,,,,3.0,4.0,2.0,1.0,1.0,,,,0.25,0.25,0.2,,,,,,,,,,,,,,,0.25,,,,,,,,0.34685,,15.175,,1.0,3.0,1.0,2.0,1.0,0.75,0.3333333333333333,0.3333333333333333,1.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2003,2002-03,False
120-1477-1495-2225-788,1610612759,"Steven Smith, Bruce Bowen, Tim Duncan, Tony Parker, Kevin Willis","Smith, Bowen, Duncan, Parker, Willis",120-1477-1495-2225-788,SAS,64.0,1,1.0,-4.0,2.0,2.0,2.0,4.0,4.0,1.0,,1.0,90.0,20.5,11.5,15.5,11.5,1.0,,2.0,1.0,,,,,,2.0,,,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,0.5,,,0.5,,,,1.0,,,,,,,,,,1.0,1.0,0.5728,0.5364,,,,,,,,,,,,,,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2003,2002-03,False
120-1477-1495-2225-990,1610612759,"Steven Smith, Bruce Bowen, Tim Duncan, Tony Parker, Malik Rose","Smith, Bowen, Duncan, Parker, Rose",120-1477-1495-2225-990,SAS,71.0,1,1.0,-4.0,2.0,2.0,,4.0,6.0,,,,81.12676056338029,17.0,18.5,17.0,18.5,,,,,,,,,1.0,2.0,,,2.0,,2.0,,,1.0,,1.0,,,2.0,,,,,,,,1.0,2.0,2.0,1.0,1.0,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,0.3937,,17.4,,1.0,2.0,1.0,,,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2003,2002-03,False
120-1477-2049-764-990,1610612759,"Steven Smith, Bruce Bowen, Speedy Claxton, David Robinson, Malik Rose","Smith, Bowen, Claxton, Robinson, Rose",120-1477-2049-764-990,SAS,54.0,1,1.0,3.0,2.0,2.0,2.0,4.0,1.0,,,,106.66666666666666,3.0,24.0,3.0,24.0,,,,,,,,,1.0,1.0,,,4.0,,2.0,,,1.0,,1.0,,,2.0,,,2.0,,2.0,,2.0,,,4.0,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,0.3263,,15.6,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,2.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,0.3263,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2003,2002-03,False
120-1477-2225-764-990,1610612759,"Steven Smith, Bruce Bowen, Tony Parker, David Robinson, Malik Rose","Smith, Bowen, Parker, Robinson, Rose",120-1477-2225-764-990,SAS,59.0,1,1.0,-2.0,2.0,2.0,,4.0,2.0,1.0,,1.0,97.6271186440678,21.0,8.5,15.0,8.5,1.0,,1.0,,,,,,,2.0,,,,1.0,,,,,,,,,,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,1.0,,0.5,,,0.5,,,,0.5,,,,,,,,,,,0.5,0.5868,0.4074,9.75,,,1.0,,,,0.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2003,2002-03,False
120-1477-2225-788-990,1610612759,"Steven Smith, Bruce Bowen, Tony Parker, Kevin Willis, Malik Rose","Smith, Bowen, Parker, Willis, Rose",120-1477-2225-788-990,SAS,57.0,1,1.0,-2.0,2.0,2.0,2.0,4.0,4.0,1.0,,1.0,101.05263157894737,12.0,16.5,12.0,16.5,,1.0,1.0,,,,,,1.0,1.0,,,2.0,,2.0,,,1.0,,1.0,,1.0,2.0,,,,,,,,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,0.6355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2003,2002-03,False
120-1495-1536-2049-764,1610612759,"Steven Smith, Tim Duncan, Stephen Jackson, Speedy Claxton, David Robinson","Smith, Duncan, Jackson, Claxton, Robinson",120-1495-1536-2049-764,SAS,131.0,2,2.0,,3.0,3.0,,6.0,4.0,,,,65.95419847328245,22.0,21.666666666666668,18.333333333333332,21.666666666666668,1.0,,,,1.0,,,1.0,2.0,3.0,,1.0,4.0,1.0,2.0,,1.0,1.0,,1.0,,,2.0,,,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,0.5,0.5,,,,0.6666666666666666,0.5,0.5,0.25,1.0,1.0,,,1.0,0.5,,,,,,,,0.25,,,,,0.25,,0.25,0.3810875,,13.799999999999999,24.1,1.0,2.0,1.0,,,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2003,2002-03,False
120-1495-1536-2049-990,1610612759,"Steven Smith, Tim Duncan, Stephen Jackson, Speedy Claxton, Malik Rose","Smith, Duncan, Jackson, Claxton, Rose",120-1495-1536-2049-990,SAS,78.0,1,1.0,4.0,3.0,3.0,,6.0,,,,1.0,110.76923076923076,9.666666666666666,16.333333333333332,9.666666666666666,14.0,,1.0,1.0,,,,,,1.0,1.0,,,4.0,,2.0,,,1.0,,1.0,,1.0,2.0,,,3.0,,3.0,,3.0,,1.0,4.0,1.0,1.0,,,,1.0,1.0,1.0,,,0.6,,,0.6,,,0.3333333333333333,,1.0,1.0,1.0,1.0,,,,,,,,1.0,0.8081,,,,,,,3.0,2.0,,,,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2003,2002-03,False
