EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGA,Arc3FGA,FG2A,FG3A,OpponentPoints,HeaveAttempts,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,Fouls,Loose Ball Fouls,Offensive Fouls,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyArc3FGA,FG2M,FtPoints,Points,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,ShortMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,AtRimFGA,Fg2aBlocked,LiveBallTurnovers,LostBallTurnovers,SecondChanceTurnovers,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffAtRimReboundPct,AtRimFrequency,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,Corner3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG2M,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Corner3Assists,ShortMidRangeAssists,DefThreePtRebounds,ShootingFouls,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,LongMidRangePctBlocked,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFGA,BadPassTurnovers,PenaltyTurnovers,Defensive 3 Seconds Violations,DefLongMidRangeReboundPct,PenaltyAtRimFrequency,AtRimAssists,FTDefRebounds,DefFTReboundPct,AtRimPctAssisted,2pt And 1 Free Throw Trips,BlockedLongMidRange,Arc3FGM,PenaltyArc3FGM,PenaltyFG3M,NonHeaveArc3FGM,Arc3Assists,LostBallOutOfBoundsTurnovers,PenaltyFg3Pct,ShortMidRangePctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyAtRimFGM,PtsUnassisted3s,SelfOReb,BadPassOutOfBoundsTurnovers,SelfORebPct,PenaltyAtRimAccuracy,Travels,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,PenaltyCorner3FGM,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,SecondChanceAtRimPctAssisted,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,Blocked3s,BlockedArc3,3SecondViolations,Arc3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,Clear Path Fouls,OffensiveGoaltends,team_id,year,season,team_vs
111-1735-1853-2067-2229,1610612748,"LaPhonso Ellis, Vladimir Stepania, Anthony Carter, Eddie House, Mike James","Ellis, Stepania, Carter, House, James",111-1735-1853-2067-2229,MIA,79.0,1,1.0,-2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,72.9113924050633,14.0,25.5,14.0,20.0,0.5,0.5,0.5,0.4284,22.3,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2003,2002-03,False
111-1735-1853-2067-2406,1610612748,"LaPhonso Ellis, Vladimir Stepania, Anthony Carter, Eddie House, Caron Butler","Ellis, Stepania, Carter, House, Butler",111-1735-1853-2067-2406,MIA,274.0,2,5.0,5.0,9.0,9.0,18.0,4.0,1.0,6.0,3.0,7.0,,,,4.0,,,2.0,,,0.3333333333333333,,,,94.59854014598541,18.444444444444443,12.0,14.444444444444445,11.88888888888889,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.41476111111111114,15.533333333333333,24.2,5.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,8.0,12.0,1.0,1.0,4.0,4.0,2.0,4.0,2.0,5.0,9.0,4.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,9.0,1.0,3.0,1.0,8.0,9.0,5.0,2.0,1.0,1.0,0.3333333333333333,0.5,0.2222222222222222,0.3333333333333333,0.4230769230769231,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,1.0,1.0,0.5,0.2222222222222222,0.5,0.5,1.0,0.2222222222222222,0.5,0.16666666666666666,0.16666666666666666,0.43425,0.3950833333333333,0.25,0.3333333333333333,0.3333333333333333,0.75,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2003,2002-03,False
111-1735-1853-2067-2446,1610612748,"LaPhonso Ellis, Vladimir Stepania, Anthony Carter, Eddie House, Rasual Butler","Ellis, Stepania, Carter, House, Butler",111-1735-1853-2067-2446,MIA,73.0,1,1.0,-2.0,2.0,2.0,4.0,1.0,,2.0,,2.0,,,,1.0,,1.0,1.0,,,,,,,78.9041095890411,21.5,15.0,20.5,15.0,0.5,,0.5,0.501,7.55,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2003,2002-03,False
111-1735-1853-2229-224,1610612748,"LaPhonso Ellis, Vladimir Stepania, Anthony Carter, Mike James, Eddie Jones","Ellis, Stepania, Carter, James, Jones",111-1735-1853-2229-224,MIA,432.0,2,7.0,6.0,13.0,12.0,25.0,3.0,2.0,9.0,4.0,7.0,,4.0,6.0,9.0,1.0,2.0,4.0,,1.0,0.3076923076923077,0.5714285714285714,0.6666666666666666,1.0,83.33333333333333,14.153846153846153,20.666666666666668,13.307692307692308,18.583333333333332,0.23076923076923078,0.15384615384615385,0.46153846153846156,0.500373076923077,10.855555555555556,24.425,,,3.0,4.0,2.0,2.0,,,,4.0,2.0,13.0,2.0,1.0,,2.0,,,,,,2.0,2.0,1.0,2.0,,5.0,,3.0,3.0,2.0,,2.0,2.0,,1.0,,11.0,,,,0.25,0.3333333333333333,0.4444444444444444,,0.4230769230769231,,0.4642857142857143,0.3333333333333333,,0.6,,0.375,,,,0.3076923076923077,0.6666666666666666,1.0,,0.15384615384615385,,,,0.5316333333333333,,0.07142857142857142,0.1,0.15384615384615385,,,2.0,1.0,1.0,1.0,,0.1111111111111111,,0.5,1.0,0.15384615384615385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.25,0.25,0.5,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.5,1.0,1.0,0.5,0.5,0.5,0.25,0.25,1.0,0.5,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2003,2002-03,False
111-1735-1853-2229-2253,1610612748,"LaPhonso Ellis, Vladimir Stepania, Anthony Carter, Mike James, Sean Lampley","Ellis, Stepania, Carter, James, Lampley",111-1735-1853-2229-2253,MIA,220.0,1,4.0,-9.0,6.0,5.0,11.0,2.0,1.0,3.0,1.0,9.0,,1.0,1.0,1.0,1.0,2.0,1.0,,,0.25,0.3333333333333333,0.3333333333333333,,72.0,15.333333333333334,25.6,15.333333333333334,21.8,0.5,0.25,0.5,0.4563125,12.200000000000001,25.8,3.0,,,,,,,,1.0,,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,0.4734833333333333,,,,,0.5,1.0,,1.0,,,,,0.5,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2003,2002-03,False
111-1735-1853-2229-2406,1610612748,"LaPhonso Ellis, Vladimir Stepania, Anthony Carter, Mike James, Caron Butler","Ellis, Stepania, Carter, James, Butler",111-1735-1853-2229-2406,MIA,844.0,4,14.0,,28.0,28.0,56.0,6.0,4.0,18.0,5.0,29.0,,6.0,7.0,11.0,1.0,3.0,5.0,,1.0,0.21739130434782608,0.6666666666666666,0.6,0.6666666666666666,95.54502369668246,13.035714285714286,17.107142857142858,12.75,14.785714285714286,0.2608695652173913,0.17391304347826086,0.6521739130434783,0.53365,6.783333333333333,24.32,,13.0,4.0,2.0,1.0,1.0,,,,10.0,9.0,29.0,4.0,,,6.0,,,,,,6.0,4.0,3.0,3.0,1.0,6.0,1.0,3.0,4.0,3.0,2.0,1.0,13.0,1.0,6.0,,23.0,,,1.0,0.3,0.42857142857142855,0.5555555555555556,,0.43478260869565216,,0.4827586206896552,0.75,,0.375,0.2,0.3076923076923077,0.2,0.25,,0.08695652173913043,0.16666666666666666,0.16666666666666666,1.0,0.043478260869565216,,,,0.5441,,0.20689655172413793,0.25,0.20689655172413793,,,10.0,1.0,2.0,,,0.05555555555555555,0.1,0.6666666666666666,,0.43478260869565216,9.0,3.0,4.0,,,,,3.0,14.0,,6.0,,,,,3.0,2.0,2.0,,2.0,1.0,,,,0.75,0.75,,,1.0,0.6666666666666666,,,0.5,0.9,1.0,,,,,,,1.0,0.75,,,2.0,,,0.6666666666666666,,2.0,1.0,0.5,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2003,2002-03,False
111-1735-1853-2229-2446,1610612748,"LaPhonso Ellis, Vladimir Stepania, Anthony Carter, Mike James, Rasual Butler","Ellis, Stepania, Carter, James, Butler",111-1735-1853-2229-2446,MIA,40.0,1,1.0,,1.0,2.0,3.0,,,,,,,2.0,2.0,2.0,1.0,1.0,2.0,,1.0,,1.0,1.0,1.0,108.0,5.0,17.5,5.0,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2003,2002-03,False
111-1735-1853-224-2406,1610612748,"LaPhonso Ellis, Vladimir Stepania, Anthony Carter, Eddie Jones, Caron Butler","Ellis, Stepania, Carter, Jones, Butler",111-1735-1853-224-2406,MIA,314.0,2,5.0,-6.0,9.0,10.0,19.0,3.0,,5.0,1.0,12.0,,1.0,2.0,3.0,,3.0,3.0,,,0.16666666666666666,1.0,1.0,,87.13375796178345,16.88888888888889,16.2,16.666666666666668,16.2,0.5,,0.16666666666666666,0.4629833333333333,15.540000000000001,23.3,4.0,7.0,1.0,2.0,1.0,1.0,,1.0,,3.0,,6.0,1.0,,,2.0,1.0,1.0,1.0,,2.0,2.0,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,,2.0,,1.0,,4.0,2.0,4.0,1.0,0.3333333333333333,0.5,0.6,1.0,0.5,0.5,0.42857142857142855,1.0,0.5,0.5,,0.3333333333333333,0.5,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,,0.5,,0.5084,0.53065,0.14285714285714285,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.4444444444444444,,,3.0,2.0,,,,1.0,,,,,,2.0,,,,1.0,4.0,,2.0,,,,1.0,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2003,2002-03,False
111-1735-1853-2253-2406,1610612748,"LaPhonso Ellis, Vladimir Stepania, Anthony Carter, Sean Lampley, Caron Butler","Ellis, Stepania, Carter, Lampley, Butler",111-1735-1853-2253-2406,MIA,76.0,1,1.0,-5.0,3.0,3.0,6.0,2.0,,3.0,,7.0,,,,,,,1.0,,,,,,,113.6842105263158,14.333333333333334,11.0,14.333333333333334,10.666666666666666,0.6666666666666666,,0.3333333333333333,0.36719999999999997,12.466666666666667,,3.0,3.0,,,1.0,,,,,1.0,,2.0,,,,,1.0,3.0,,,2.0,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,2.0,2.0,3.0,,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,,,,,,,0.5,0.5,1.0,,,,,,0.36719999999999997,,,,1.0,1.0,1.0,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2003,2002-03,False
111-1735-1853-2406-2446,1610612748,"LaPhonso Ellis, Vladimir Stepania, Anthony Carter, Caron Butler, Rasual Butler","Ellis, Stepania, Carter, Butler, Butler",111-1735-1853-2406-2446,MIA,348.0,4,6.0,8.0,11.0,10.0,21.0,1.0,,9.0,,4.0,,4.0,6.0,7.0,,3.0,2.0,,,,0.8,0.8571428571428571,,86.89655172413794,16.545454545454547,16.6,14.818181818181818,16.2,0.1111111111111111,,0.4444444444444444,0.48077777777777775,6.311111111111111,,,,1.0,4.0,1.0,,,,,5.0,2.0,12.0,,,,,,,,,,10.0,,5.0,5.0,1.0,10.0,,1.0,1.0,1.0,1.0,,3.0,,2.0,,12.0,,,,1.0,1.0,0.5555555555555556,,0.5555555555555556,,0.6,,,0.25,,0.25,,,,0.4444444444444444,1.0,1.0,1.0,,,,,,,0.2,0.2,,,,4.0,,3.0,,1.0,,,1.0,,0.4444444444444444,3.0,,,1.0,,,,,,,,,,1.0,2.0,,1.0,,,1.0,1.0,,,,,,,1.0,0.3333333333333333,1.0,1.0,,1.0,0.75,0.75,0.25,0.25,1.0,,,,,,,,3.0,,,0.75,,3.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2003,2002-03,False
