EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Fouls,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGA,FG3A,NonHeaveArc3FGA,Steals,BadPassSteals,NonShootingFoulsDrawn,FG3APct,Arc3Frequency,Avg3ptShotDistance,ShortMidRangeFGA,ShortMidRangeFrequency,PenaltyDefPoss,Corner3FGA,SecondChanceCorner3FGA,SecondChanceFG3A,LostBallSteals,ShootingFouls,DefLongMidRangeReboundPct,Corner3Frequency,SecondChanceCorner3Frequency,SecondChanceShotQualityAvg,ShortMidRangeFGM,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Technical Free Throw Trips,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyFtPoints,Travels,PenaltyTurnovers,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,FTDefRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,Blocked2s,Blocked3s,BlockedAtRim,BlockedCorner3,Blocks,RecoveredBlocks,DefensiveGoaltends,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,LiveBallTurnoverPct,DefFTReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShortMidRangePctBlocked,NonShootingPenaltyNonTakeFouls,Offensive Fouls,PtsUnassisted3s,OffShortMidRangeReboundPct,OffThreePtRebounds,LostBallTurnovers,OffThreePtReboundPct,OffArc3ReboundPct,Defensive 3 Seconds Violations,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyCorner3FGA,PenaltyCorner3Frequency,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,HeaveAttempts,PenaltyCorner3FGM,OffCorner3ReboundPct,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceTurnovers,BlockedShortMidRange,LostBallOutOfBoundsTurnovers,HeaveMakes,BlockedArc3,LongMidRangePctBlocked,BlockedLongMidRange,3SecondViolations,Clear Path Fouls,SecondChanceArc3PctAssisted,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
1114-121-146-1607-1727,1610612753,"Jaren Jackson, Patrick Ewing, Jud Buechler, Troy Hudson, Pat Garrity","Jackson, Ewing, Buechler, Hudson, Garrity",1114-121-146-1607-1727,ORL,157.0,1,3.0,5.0,5.0,4.0,1.0,1.0,9.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,5.0,1.0,9.0,4.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,3.0,3.0,1.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,8.0,2.0,1.0,0.75,0.75,0.8,1.0,0.8,1.0,0.75,0.5,1.0,0.2,0.3333333333333333,0.5,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,82.54777070063695,14.0,21.75,14.0,18.5,0.6,0.6666666666666666,1.0,0.5,0.4,1.0,1.0,1.0,1.0,1.0,0.6,0.49934,0.639,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.2222222222222222,7.540000000000001,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2002,2001-02,True
1114-121-146-1607-690,1610612753,"Jaren Jackson, Patrick Ewing, Jud Buechler, Troy Hudson, Don Reid","Jackson, Ewing, Buechler, Hudson, Reid",1114-121-146-1607-690,ORL,176.0,1,3.0,-2.0,4.0,5.0,,,9.0,1.0,1.0,,,1.0,2.0,2.0,3.0,2.0,6.0,8.0,,,,,,4.0,,,2.0,2.0,1.0,1.0,4.0,,,,,,,2.0,2.0,,6.0,,,1.0,1.0,0.6666666666666666,,0.5,,0.6,,,,,,,,,,,,,73.63636363636364,19.0,20.0,19.0,18.8,0.25,1.0,1.0,1.0,0.5,0.5,0.5,1.0,,,0.5,0.5438125,,,,,,12.133333333333333,,1.0,1.0,1.0,2.0,2.0,1.0,0.25,0.25,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2002,2001-02,True
1114-121-146-353-42,1610612753,"Jaren Jackson, Patrick Ewing, Jud Buechler, Darrell Armstrong, Monty Williams","Jackson, Ewing, Buechler, Armstrong, Williams",1114-121-146-353-42,ORL,3.0,1,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,480.0,3.0,,3.0,,,,,,,,,,,,,0.2225,0.2225,,,,,13.5,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2002,2001-02,True
1114-121-1503-1607-1727,1610612753,"Jaren Jackson, Patrick Ewing, Tracy McGrady, Troy Hudson, Pat Garrity","Jackson, Ewing, McGrady, Hudson, Garrity",1114-121-1503-1607-1727,ORL,174.0,2,3.0,2.0,7.0,6.0,3.0,1.0,13.0,1.0,3.0,,1.0,1.0,2.0,2.0,5.0,1.0,5.0,3.0,,,,2.0,,2.0,2.0,,1.0,1.0,,1.0,2.0,,,1.0,1.0,,1.0,1.0,2.0,,5.0,,3.0,0.5,0.5,0.4,,0.3333333333333333,,0.35714285714285715,,,,,1.0,,,1.0,,,,,107.58620689655173,13.428571428571429,13.333333333333334,11.857142857142858,13.333333333333334,0.5,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.5,0.5,1.0,0.5,,0.6666666666666666,0.5329333333333334,0.54035,,,,,7.040000000000001,0.42857142857142855,,1.0,,2.0,1.0,1.0,0.16666666666666666,,23.5,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,0.5388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2002,2001-02,True
1114-121-1503-1607-42,1610612753,"Jaren Jackson, Patrick Ewing, Tracy McGrady, Troy Hudson, Monty Williams","Jackson, Ewing, McGrady, Hudson, Williams",1114-121-1503-1607-42,ORL,170.0,1,3.0,,6.0,7.0,,,13.0,1.0,1.0,,,1.0,1.0,3.0,4.0,2.0,8.0,8.0,,,,,,6.0,,,3.0,3.0,1.0,1.0,6.0,,,,,,,,3.0,1.0,8.0,,,1.0,1.0,0.75,,0.75,,0.8,,,,,,,,,,,,,110.11764705882352,17.333333333333332,9.428571428571429,17.333333333333332,9.428571428571429,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,,,0.25,0.4323,,0.2,0.2,,,8.1,,,,,3.0,3.0,,,,,2.0,0.5,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2002,2001-02,True
1114-121-1503-1607-690,1610612753,"Jaren Jackson, Patrick Ewing, Tracy McGrady, Troy Hudson, Don Reid","Jackson, Ewing, McGrady, Hudson, Reid",1114-121-1503-1607-690,ORL,81.0,1,1.0,3.0,3.0,3.0,2.0,,6.0,,,,,1.0,1.0,1.0,1.0,1.0,3.0,,,,1.0,1.0,3.0,2.0,,,1.0,1.0,,1.0,2.0,,,1.0,1.0,,1.0,,2.0,,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,,0.75,,,1.0,,,1.0,,,,,106.66666666666666,12.666666666666666,14.333333333333334,12.666666666666666,14.333333333333334,,,,,1.0,1.0,1.0,1.0,,,,0.3925,0.3925,,,,1.0,18.8,0.6666666666666666,,,,,,1.0,,,,,,3.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2002,2001-02,True
1114-121-1503-1727-353,1610612753,"Jaren Jackson, Patrick Ewing, Tracy McGrady, Pat Garrity, Darrell Armstrong","Jackson, Ewing, McGrady, Garrity, Armstrong",1114-121-1503-1727-353,ORL,611.0,3,10.0,-4.0,23.0,24.0,6.0,2.0,47.0,4.0,6.0,1.0,2.0,1.0,6.0,7.0,18.0,2.0,22.0,26.0,,4.0,1.0,4.0,6.0,2.0,12.0,,1.0,3.0,,1.0,8.0,3.0,4.0,4.0,9.0,3.0,12.0,3.0,3.0,2.0,18.0,6.0,6.0,0.14285714285714285,0.2,0.3888888888888889,0.25,0.45454545454545453,0.4166666666666667,0.4782608695652174,1.0,0.5,,,0.6666666666666666,0.2727272727272727,0.5714285714285714,0.6153846153846154,0.23076923076923078,0.5,0.5,,110.76923076923077,14.391304347826088,11.666666666666666,14.391304347826088,10.791666666666666,0.2727272727272727,0.6666666666666666,0.6666666666666666,,0.2727272727272727,0.16666666666666666,0.16666666666666666,1.0,0.3333333333333333,0.5,0.45454545454545453,0.4919568181818182,0.58475,0.08695652173913043,0.10526315789473684,0.18181818181818182,0.2727272727272727,9.055555555555555,0.2608695652173913,3.0,4.0,3.0,2.0,2.0,,0.18181818181818182,0.13636363636363635,24.3,6.0,0.2727272727272727,,1.0,,,,2.0,0.5,0.045454545454545456,,0.56635,2.0,,,,2.0,,0.3333333333333333,0.3333333333333333,,1.0,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.4,1.0,0.6666666666666666,0.07692307692307693,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2002,2001-02,True
1114-121-1607-1727-2034,1610612753,"Jaren Jackson, Patrick Ewing, Troy Hudson, Pat Garrity, Mike Miller","Jackson, Ewing, Hudson, Garrity, Miller",1114-121-1607-1727-2034,ORL,123.0,1,2.0,,5.0,4.0,4.0,2.0,9.0,1.0,2.0,1.0,2.0,,1.0,2.0,4.0,2.0,6.0,6.0,,2.0,2.0,4.0,6.0,2.0,2.0,1.0,1.0,1.0,,,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,2.0,,4.0,6.0,4.0,0.5,1.0,0.5,0.5,0.5,0.5,0.6,1.0,0.6,0.25,0.5,1.0,0.5,,1.0,0.5,1.0,,,105.3658536585366,12.2,15.5,11.6,15.5,0.5,0.5,1.0,,0.25,,,,0.5,0.5,0.5,0.4897,0.4897,,,0.3333333333333333,1.0,5.55,0.8,,,,,,1.0,,,,1.0,0.25,,,,,,1.0,1.0,,,0.5438,1.0,1.0,,,,,1.0,1.0,1.0,2.0,,,1.0,1.0,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2002,2001-02,True
1114-121-1607-1727-42,1610612753,"Jaren Jackson, Patrick Ewing, Troy Hudson, Pat Garrity, Monty Williams","Jackson, Ewing, Hudson, Garrity, Williams",1114-121-1607-1727-42,ORL,23.0,1,,2.0,1.0,1.0,,,2.0,1.0,1.0,,,,,1.0,1.0,,2.0,,,,,,,,2.0,,,,,,,,,,1.0,,1.0,,,,2.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,125.21739130434781,15.0,8.0,15.0,8.0,1.0,1.0,1.0,,,,,,,,1.0,0.5324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2002,2001-02,True
1114-121-1607-2034-690,1610612753,"Jaren Jackson, Patrick Ewing, Troy Hudson, Mike Miller, Don Reid","Jackson, Ewing, Hudson, Miller, Reid",1114-121-1607-2034-690,ORL,143.0,1,2.0,-2.0,4.0,5.0,,,9.0,,,,,1.0,3.0,1.0,4.0,,2.0,4.0,,,,,,2.0,,1.0,1.0,1.0,,1.0,2.0,1.0,,3.0,3.0,1.0,4.0,,2.0,1.0,2.0,,,1.0,1.0,0.25,,0.2,,0.16666666666666666,,,0.25,,1.0,0.3333333333333333,,1.0,0.25,,,,90.62937062937063,21.25,11.6,21.0,11.6,,,,,0.6,0.3333333333333333,0.3333333333333333,1.0,,,0.2,0.44328,,0.16666666666666666,0.2,,,15.575,,1.0,1.0,1.0,,,,0.2,0.2,24.0,1.0,0.2,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2002,2001-02,True
