EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGA,ShortMidRangeFGA,PenaltyCorner3FGA,PenaltyArc3FGA,SecondChanceFG2A,PenaltyFG3A,OffTwoPtRebounds,FTDefRebounds,OffRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,LongMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,ShortMidRangeFrequency,SecondChanceAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,ShortMidRangeFGM,SecondChanceCorner3FGA,Arc3FGM,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,ShortMidRangeAssists,OffThreePtRebounds,LiveBallTurnovers,LostBallTurnovers,Loose Ball Fouls,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,PtsPutbacks,SelfOReb,SelfORebPct,LongMidRangeAssists,LongMidRangePctAssisted,Blocked3s,BlockedArc3,2pt And 1 Free Throw Trips,OffLongMidRangeReboundPct,BadPassTurnovers,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,Arc3Assists,LostBallOutOfBoundsTurnovers,BlockedShortMidRange,SecondChanceFg3Pct,DefCorner3ReboundPct,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Technical Free Throw Trips,SecondChanceCorner3FGM,Defensive 3 Seconds Violations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Offensive Fouls,SecondChanceTurnovers,PenaltyCorner3FGM,FTOffRebounds,DefensiveGoaltends,OffFTReboundPct,PenaltyCorner3Accuracy,Fg3aBlocked,ThreePtShootingFoulsDrawn,BlockedLongMidRange,OffensiveGoaltends,3SecondViolations,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,BlockedCorner3,Clear Path Fouls,Corner3PctBlocked,team_id,year,season,team_vs
133-136-1714-1884-1924,1610612766,"David Wesley, P.J. Brown, Robert Traylor, Baron Davis, Lee Nailon","Wesley, Brown, Traylor, Davis, Nailon",133-136-1714-1884-1924,CHH,376.0,4,6.0,7.0,14.0,12.0,11.0,3.0,26.0,3.0,4.0,3.0,4.0,1.0,5.0,1.0,1.0,1.0,4.0,9.0,1.0,2.0,5.0,16.0,9.0,4.0,8.0,4.0,12.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,6.0,2.0,1.0,1.0,1.0,1.0,16.0,12.0,11.0,0.5,0.5,1.0,0.5,0.5,0.4444444444444444,0.5,0.5,0.5,0.5714285714285714,0.6,0.18181818181818182,0.1111111111111111,0.25,0.5,1.0,0.6,0.6666666666666666,1.0,99.57446808510639,14.785714285714286,14.083333333333334,14.785714285714286,11.5,0.36363636363636365,0.75,1.0,0.6666666666666666,0.45454545454545453,0.2,0.2,0.09090909090909091,1.0,1.0,1.0,0.09090909090909091,0.5,0.75,0.5454545454545454,0.5042045454545454,0.504725,0.15384615384615385,0.18181818181818182,0.75,11.155555555555557,23.9,0.7857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2002,2001-02,True
133-136-1714-1884-278,1610612766,"David Wesley, P.J. Brown, Robert Traylor, Baron Davis, Stacey Augmon","Wesley, Brown, Traylor, Davis, Augmon",133-136-1714-1884-278,CHH,316.0,2,5.0,-7.0,10.0,10.0,10.0,9.0,20.0,,1.0,,1.0,,3.0,,1.0,1.0,,5.0,,2.0,3.0,3.0,10.0,,5.0,3.0,3.0,,,,1.0,1.0,,,,,,,1.0,1.0,3.0,5.0,1.0,,1.0,1.0,6.0,3.0,,1.0,1.0,1.0,3.0,3.0,10.0,,,,,,,,,,0.15,0.15,0.2857142857142857,0.2,,0.3333333333333333,1.0,0.5,0.5,1.0,91.13924050632912,13.7,17.9,13.3,14.9,0.14285714285714285,,,,0.42857142857142855,,,0.14285714285714285,,,,0.14285714285714285,0.14285714285714285,,0.42857142857142855,0.4306357142857143,0.4306357142857143,0.3,0.375,1.0,13.16,24.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,0.3333333333333333,1.0,0.4,0.2857142857142857,1.0,1.0,0.14285714285714285,1.0,0.14285714285714285,0.14285714285714285,0.4955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2002,2001-02,True
133-136-1714-1884-469,1610612766,"David Wesley, P.J. Brown, Robert Traylor, Baron Davis, Jamal Mashburn","Wesley, Brown, Traylor, Davis, Mashburn",133-136-1714-1884-469,CHH,1490.0,9,25.0,3.0,48.0,51.0,33.0,14.0,99.0,9.0,13.0,6.0,10.0,2.0,10.0,,2.0,8.0,13.0,29.0,2.0,10.0,16.0,48.0,45.0,8.0,19.0,11.0,30.0,12.0,14.0,,7.0,3.0,6.0,,6.0,,5.0,12.0,3.0,14.0,19.0,25.0,7.0,3.0,4.0,13.0,20.0,6.0,4.0,2.0,2.0,2.0,41.0,30.0,33.0,0.46153846153846156,0.46153846153846156,,0.2,0.2222222222222222,0.4482758620689655,0.42105263157894735,0.41025641025641024,0.36538461538461536,0.4897959183673469,0.45454545454545453,0.2564102564102564,0.10344827586206896,0.15384615384615385,0.875,0.75,0.85,0.7142857142857143,0.75,95.6778523489933,15.229166666666666,14.882352941176471,14.25,14.392156862745098,0.3333333333333333,0.6923076923076923,0.8181818181818182,0.5555555555555556,0.2564102564102564,0.2,0.2,0.05128205128205128,,,,0.20512820512820512,0.38461538461538464,0.6,0.5897435897435898,0.5052973684210527,0.5056346153846154,0.13333333333333333,0.17142857142857143,0.625,8.003448275862068,27.669999999999998,0.6875,5.0,2.0,6.0,2.0,5.0,3.0,7.0,2.0,2.0,6.0,4.0,,1.0,,7.0,6.0,,0.6666666666666666,0.125,0.2608695652173913,0.5,,0.15384615384615385,0.5,0.07692307692307693,0.19230769230769232,0.3934,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,7.0,1.0,6.0,1.0,2.0,1.0,4.0,6.0,6.0,2.0,2.0,2.0,0.14285714285714285,0.6666666666666666,0.5,0.5,0.16666666666666666,0.8571428571428571,0.5714285714285714,0.6,0.5,1.0,1.0,1.0,0.3333333333333333,0.4,0.5,0.25,0.25,0.5,1.0,0.25,0.2,0.2857142857142857,0.14583333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2002,2001-02,True
133-136-1714-248-469,1610612766,"David Wesley, P.J. Brown, Robert Traylor, George Lynch, Jamal Mashburn","Wesley, Brown, Traylor, Lynch, Mashburn",133-136-1714-248-469,CHH,45.0,1,1.0,-1.0,1.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,,1.0,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,2.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,0.5,0.5,,,,1.0,,1.0,1.0,,96.0,7.0,19.0,7.0,19.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2002,2001-02,True
133-136-1714-278-469,1610612766,"David Wesley, P.J. Brown, Robert Traylor, Stacey Augmon, Jamal Mashburn","Wesley, Brown, Traylor, Augmon, Mashburn",133-136-1714-278-469,CHH,225.0,3,4.0,-2.0,8.0,6.0,6.0,5.0,14.0,1.0,3.0,1.0,3.0,,,,,,1.0,5.0,,,4.0,6.0,8.0,1.0,5.0,2.0,4.0,,2.0,,,1.0,,,,,,,,1.0,1.0,2.0,,,,3.0,4.0,2.0,,,,,4.0,4.0,6.0,,,,,,0.2,0.2,0.2,0.2,0.42857142857142855,0.3333333333333333,,0.2,,1.0,,0.5,,,89.6,12.5,20.833333333333332,12.5,18.5,0.6,0.3333333333333333,0.3333333333333333,,,,,,,,,,0.6,0.3333333333333333,0.6,0.39182,0.39182,0.2857142857142857,0.2857142857142857,0.6666666666666666,5.54,,0.75,2.0,1.0,2.0,,,1.0,,1.0,,1.0,,,,,,,,,0.3333333333333333,0.3333333333333333,,0.5,0.4,1.0,,,0.5728,1.0,,,,,1.0,,,2.0,,,,,,,,,,,2.0,,1.0,1.0,1.0,0.5,,,,,1.0,,,,,,,,1.0,,,,,0.3333333333333333,2.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2002,2001-02,True
133-136-1724-1884-1924,1610612766,"David Wesley, P.J. Brown, Bryce Drew, Baron Davis, Lee Nailon","Wesley, Brown, Drew, Davis, Nailon",133-136-1724-1884-1924,CHH,51.0,2,1.0,2.0,2.0,2.0,2.0,1.0,4.0,,,,,,,,,,1.0,1.0,,,,2.0,,1.0,1.0,,2.0,2.0,,,,,1.0,,1.0,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,2.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,112.94117647058823,12.0,13.5,12.0,13.5,,,,,,,,,,,,,,,,0.419,0.419,,,1.0,6.6,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2002,2001-02,True
133-136-1724-1884-2048,1610612766,"David Wesley, P.J. Brown, Bryce Drew, Baron Davis, Jamaal Magloire","Wesley, Brown, Drew, Davis, Magloire",133-136-1724-1884-2048,CHH,53.0,1,1.0,-2.0,2.0,2.0,2.0,,4.0,,,,,,1.0,,,,,2.0,,,,,2.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.5,,,,,,,108.67924528301887,24.0,2.5,24.0,2.5,,,,,0.5,,,,,,,,,,,0.3628,0.3628,,,,11.65,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2002,2001-02,True
133-136-1724-1884-248,1610612766,"David Wesley, P.J. Brown, Bryce Drew, Baron Davis, George Lynch","Wesley, Brown, Drew, Davis, Lynch",133-136-1724-1884-248,CHH,45.0,1,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,2.0,2.0,,,,4.0,3.0,2.0,2.0,,4.0,2.0,2.0,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,4.0,4.0,2.0,0.5,0.5,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,128.0,12.5,10.0,12.5,10.0,0.5,1.0,1.0,,0.5,1.0,1.0,,,,,,0.5,1.0,0.5,0.4744,0.4744,,,1.0,9.6,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2002,2001-02,True
133-136-1724-1884-278,1610612766,"David Wesley, P.J. Brown, Bryce Drew, Baron Davis, Stacey Augmon","Wesley, Brown, Drew, Davis, Augmon",133-136-1724-1884-278,CHH,47.0,2,1.0,-3.0,3.0,2.0,3.0,2.0,5.0,,,,,,1.0,,,,1.0,2.0,,,1.0,3.0,6.0,1.0,2.0,1.0,3.0,,2.0,,,,,,,,,,,,,,1.0,1.0,,,2.0,,1.0,,,1.0,3.0,3.0,3.0,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,153.19148936170214,7.333333333333333,12.5,7.333333333333333,11.5,,,,,0.5,,,,,,,,,,,0.2639,0.2639,,,1.0,14.5,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,0.5,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2002,2001-02,True
133-136-1724-1884-672,1610612766,"David Wesley, P.J. Brown, Bryce Drew, Baron Davis, Matt Bullard","Wesley, Brown, Drew, Davis, Bullard",133-136-1724-1884-672,CHH,138.0,1,2.0,5.0,4.0,4.0,,,8.0,2.0,2.0,,,1.0,2.0,,,,3.0,4.0,,,2.0,8.0,3.0,,,,,4.0,2.0,,,,2.0,,2.0,,2.0,4.0,1.0,2.0,3.0,4.0,,,,,3.0,2.0,,1.0,1.0,1.0,6.0,,,0.6666666666666666,0.6666666666666666,,,,0.75,,0.75,,0.8,,,,,1.0,1.0,1.0,1.0,1.0,83.47826086956522,21.5,13.0,15.25,13.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,,,,,,,,0.5,0.471625,,0.4,0.4,,8.575,,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,0.2845,,,,,,1.0,,,2.0,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,0.25,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2002,2001-02,True
