EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,DefensiveGoaltends,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Steals,LostBallSteals,ShortMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,ShortMidRangeAssists,OffThreePtRebounds,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,FG3APct,LiveBallTurnoverPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,FTDefRebounds,LostBallTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,DefFTReboundPct,Blocked2s,BlockedShortMidRange,Blocks,PtsPutbacks,BadPassOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,Travels,BlockedAtRim,AtRimPctBlocked,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LostBallOutOfBoundsTurnovers,RecoveredBlocks,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,PenaltyArc3FGM,PenaltyFG3M,BlockedLongMidRange,PenaltyFg3Pct,PenaltyArc3Accuracy,HeaveAttempts,LongMidRangePctBlocked,PtsUnassisted3s,Blocked3s,BlockedArc3,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,OffCorner3ReboundPct,SecondChanceCorner3FGM,Fg3aBlocked,Clear Path Fouls,ThreePtShootingFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,HeaveMakes,3SecondViolations,Arc3PctBlocked,OffensiveGoaltends,team_id,year,season,team_vs
147-1944-2033-2037-2053,1610612741,"Jalen Rose, Eddie Robinson, Marcus Fizer, Jamal Crawford, Dalibor Bagaric","Rose, Robinson, Fizer, Crawford, Bagaric",147-1944-2033-2037-2053,CHI,506.0,5,8.0,1.0,17.0,14.0,11.0,9.0,3.0,31.0,4.0,5.0,1.0,1.0,3.0,4.0,3.0,2.0,5.0,6.0,13.0,5.0,17.0,16.0,1.0,1.0,1.0,3.0,4.0,8.0,3.0,11.0,4.0,8.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,5.0,3.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,7.0,1.0,2.0,1.0,1.0,14.0,11.0,11.0,1.0,0.3333333333333333,0.3333333333333333,0.46153846153846156,1.0,0.5,0.46153846153846156,1.0,0.5,0.5,0.75,0.55,0.15384615384615385,0.6666666666666666,0.5,0.42857142857142855,0.2857142857142857,1.0,0.5555555555555556,0.2857142857142857,1.0,0.3333333333333333,0.5,0.5,1.0,1.0,0.2,88.22134387351778,15.058823529411764,17.857142857142858,14.470588235294118,16.428571428571427,0.38461538461538464,0.8,0.8,0.25,0.23076923076923078,0.38461538461538464,0.4,0.4,0.5,1.0,1.0,0.5,0.75,0.38461538461538464,0.45163846153846154,0.5514,0.47335,0.13333333333333333,0.13333333333333333,0.17647058823529413,0.6470588235294118,8.715384615384615,0.6470588235294118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2002,2001-02,False
147-1944-2033-2037-2199,1610612741,"Jalen Rose, Eddie Robinson, Marcus Fizer, Jamal Crawford, Tyson Chandler","Rose, Robinson, Fizer, Crawford, Chandler",147-1944-2033-2037-2199,CHI,228.0,2,4.0,-1.0,7.0,7.0,,,,14.0,3.0,4.0,,,,,,1.0,1.0,4.0,5.0,2.0,10.0,11.0,,,,,,,,,4.0,4.0,,2.0,2.0,2.0,,4.0,,,,,,,,,1.0,1.0,,,,2.0,,2.0,,1.0,,,10.0,,,1.0,0.5,0.5,0.8,,,0.8,,,0.8333333333333334,,,,,,,,,,,,,,,,,,88.42105263157895,12.714285714285714,19.857142857142858,12.714285714285714,19.857142857142858,0.8,0.75,0.75,0.6666666666666666,,0.2,1.0,1.0,,,,,,0.8,0.57272,,,0.16666666666666666,0.16666666666666666,,,3.7600000000000002,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2002,2001-02,False
147-1944-2033-2037-891,1610612741,"Jalen Rose, Eddie Robinson, Marcus Fizer, Jamal Crawford, Charles Oakley","Rose, Robinson, Fizer, Crawford, Oakley",147-1944-2033-2037-891,CHI,543.0,3,9.0,1.0,15.0,17.0,5.0,6.0,3.0,32.0,1.0,1.0,,,,,4.0,4.0,7.0,8.0,12.0,3.0,19.0,18.0,2.0,3.0,,4.0,,2.0,3.0,3.0,14.0,2.0,,7.0,7.0,1.0,4.0,14.0,2.0,,1.0,6.0,7.0,3.0,10.0,,,1.0,,,2.0,3.0,,4.0,,1.0,1.0,,15.0,3.0,5.0,1.0,0.875,0.875,0.6666666666666666,0.6666666666666666,,0.5333333333333333,0.6666666666666666,,0.5588235294117647,0.6666666666666666,0.25,,,,1.0,0.5,1.0,1.0,0.42857142857142855,,,1.0,1.0,,1.0,,84.86187845303867,17.8,16.235294117647058,16.6,15.764705882352942,0.06666666666666667,1.0,1.0,1.0,0.26666666666666666,0.4666666666666667,0.5714285714285714,0.5714285714285714,1.0,,,,,0.26666666666666666,0.4557866666666667,0.40815,0.4947125,0.0625,0.07692307692307693,0.21052631578947367,0.15789473684210525,15.325000000000001,0.3333333333333333,1.0,,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.2,1.0,0.3333333333333333,0.6666666666666666,0.5,1.0,0.75,0.75,0.6666666666666666,0.06666666666666667,0.13333333333333333,0.25,0.25,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2002,2001-02,False
147-1944-2033-2053-2062,1610612741,"Jalen Rose, Eddie Robinson, Marcus Fizer, Dalibor Bagaric, A.J. Guyton","Rose, Robinson, Fizer, Bagaric, Guyton",147-1944-2033-2053-2062,CHI,103.0,1,2.0,2.0,3.0,2.0,3.0,1.0,,5.0,,,,,,,,1.0,2.0,1.0,2.0,,2.0,,,,,,1.0,2.0,,2.0,,2.0,,,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,2.0,1.0,,,,,,2.0,2.0,3.0,,,,0.5,,0.5,0.5,,0.5,0.5,,0.5,,,,,,1.0,0.5,,,,,,,1.0,,69.90291262135922,17.0,26.0,17.0,17.0,,,,,,1.0,0.5,0.5,,,,,,,0.32715,,0.32715,,,,1.0,19.7,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2002,2001-02,False
147-1944-2033-2053-696,1610612741,"Jalen Rose, Eddie Robinson, Marcus Fizer, Dalibor Bagaric, Travis Best","Rose, Robinson, Fizer, Bagaric, Best",147-1944-2033-2053-696,CHI,180.0,3,3.0,,5.0,6.0,2.0,,,11.0,,,,,,,1.0,2.0,3.0,3.0,4.0,2.0,8.0,8.0,,,,,1.0,1.0,2.0,4.0,2.0,4.0,,1.0,1.0,,1.0,2.0,,,,1.0,2.0,,2.0,,,1.0,,,1.0,3.0,,3.0,,1.0,1.0,,8.0,4.0,2.0,,0.3333333333333333,0.3333333333333333,0.75,,1.0,0.75,,1.0,0.8,,1.0,,,,0.25,,,0.25,,,,,,,,,88.0,16.0,16.666666666666668,16.0,16.0,,,,,0.25,0.75,0.6666666666666666,0.6666666666666666,0.5,,,,,,0.392875,,0.3912,0.25,0.25,,0.5,15.675,0.4,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,0.3333333333333333,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2002,2001-02,False
147-1944-2033-2199-696,1610612741,"Jalen Rose, Eddie Robinson, Marcus Fizer, Tyson Chandler, Travis Best","Rose, Robinson, Fizer, Chandler, Best",147-1944-2033-2199-696,CHI,113.0,1,2.0,-4.0,2.0,3.0,2.0,,,5.0,,,,,,,1.0,,,,1.0,,,4.0,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,,2.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,0.5,,,0.3333333333333333,,,,,1.0,,,,63.716814159292035,25.0,21.0,25.0,18.333333333333332,,,,,1.0,,,,,,,,,,0.3671,,0.3671,0.5,0.5,,,8.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2002,2001-02,False
147-1944-2033-2201-696,1610612741,"Jalen Rose, Eddie Robinson, Marcus Fizer, Eddy Curry, Travis Best","Rose, Robinson, Fizer, Curry, Best",147-1944-2033-2201-696,CHI,97.0,2,2.0,-2.0,3.0,4.0,,3.0,,7.0,,,,,,,1.0,,,1.0,1.0,,2.0,4.0,,,,,,,,,2.0,,,1.0,1.0,,,2.0,,,,,1.0,,1.0,,1.0,2.0,,,,1.0,1.0,,,,,,2.0,,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,103.91752577319588,20.333333333333332,9.0,20.333333333333332,9.0,,,,,1.0,,,,,,,,,,0.3797,,,,,,,9.4,,,,1.0,,,,,,,,1.0,,,1.0,,,0.5,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2002,2001-02,False
147-1944-2033-2239-696,1610612741,"Jalen Rose, Eddie Robinson, Marcus Fizer, Trenton Hassell, Travis Best","Rose, Robinson, Fizer, Hassell, Best",147-1944-2033-2239-696,CHI,16.0,1,,-2.0,2.0,2.0,2.0,2.0,,4.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,2.0,4.0,,,,,1.0,1.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,2.0,2.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,360.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,0.7726,,0.7726,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2002,2001-02,False
147-1944-2033-696-891,1610612741,"Jalen Rose, Eddie Robinson, Marcus Fizer, Travis Best, Charles Oakley","Rose, Robinson, Fizer, Best, Oakley",147-1944-2033-696-891,CHI,1146.0,4,19.0,-6.0,36.0,35.0,6.0,17.0,5.0,71.0,5.0,8.0,2.0,2.0,,1.0,10.0,8.0,13.0,18.0,31.0,8.0,44.0,50.0,2.0,4.0,,4.0,1.0,4.0,3.0,5.0,22.0,14.0,,11.0,11.0,3.0,4.0,22.0,4.0,,2.0,6.0,9.0,5.0,14.0,1.0,1.0,5.0,,1.0,4.0,10.0,,9.0,,3.0,2.0,,40.0,5.0,6.0,4.0,0.6111111111111112,0.6470588235294118,0.5806451612903226,0.5,0.25,0.5625,0.5,0.2,0.6111111111111112,0.5,0.35714285714285715,,,,0.5,0.3076923076923077,1.0,0.5714285714285714,0.35714285714285715,0.6666666666666666,0.2,1.0,0.5,1.0,1.0,0.07142857142857142,89.21465968586386,15.36111111111111,16.942857142857143,14.5,15.542857142857143,0.25,0.625,0.625,0.6,0.3125,0.40625,0.6153846153846154,0.6153846153846154,0.5,0.5,1.0,0.2,,0.28125,0.439621875,0.49216666666666664,0.4192,0.08823529411764706,0.09090909090909091,0.09090909090909091,0.11363636363636363,10.932258064516128,0.16666666666666666,2.0,,5.0,,,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,3.0,0.03125,0.8,1.0,0.2,1.0,,0.5,0.5,0.8,,0.03125,,0.2,26.8,1.0,1.0,1.0,1.0,0.5,,,,2.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2002,2001-02,False
147-1944-2037-2053-2199,1610612741,"Jalen Rose, Eddie Robinson, Jamal Crawford, Dalibor Bagaric, Tyson Chandler","Rose, Robinson, Crawford, Bagaric, Chandler",147-1944-2037-2053-2199,CHI,937.0,4,16.0,-5.0,32.0,31.0,3.0,16.0,4.0,63.0,4.0,6.0,2.0,2.0,1.0,1.0,6.0,4.0,13.0,11.0,25.0,9.0,31.0,36.0,2.0,2.0,,4.0,1.0,3.0,,2.0,6.0,16.0,1.0,3.0,3.0,2.0,,6.0,4.0,,,9.0,9.0,4.0,13.0,,5.0,5.0,2.0,1.0,3.0,5.0,2.0,9.0,,5.0,,1.0,27.0,2.0,3.0,,0.2727272727272727,0.3,0.44,1.0,0.3333333333333333,0.4074074074074074,1.0,0.25,0.5,1.0,0.25,0.04,,,0.75,0.2857142857142857,,0.75,0.26666666666666666,,0.3333333333333333,1.0,0.75,,,,96.8196371398079,14.9375,14.806451612903226,14.25,14.129032258064516,0.2222222222222222,0.6666666666666666,0.8,0.5,0.2222222222222222,0.48148148148148145,0.3076923076923077,0.3076923076923077,,1.0,1.0,0.25,1.0,0.2962962962962963,0.421312962962963,0.5381,0.397775,0.16129032258064516,0.1724137931034483,0.12903225806451613,0.06451612903225806,11.628,0.09375,2.0,,3.0,,,2.0,1.0,2.0,1.0,2.0,1.0,,2.0,,,0.07407407407407407,,,0.3333333333333333,,0.5,0.5,0.5,0.3333333333333333,,0.07407407407407407,,0.25,26.7,,,,1.0,,1.0,,1.0,2.0,1.0,0.5,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2002,2001-02,False
