EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,FtPoints,FTA,TwoPtShootingFoulsDrawn,DefensiveGoaltends,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,AtRimAssists,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,Fouls,Loose Ball Fouls,Offensive Fouls,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChancePointsPct,Avg3ptShotDistance,ShootingFouls,ShortMidRangeFGM,PtsUnassisted2s,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Travels,LiveBallTurnoverPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,HeaveAttempts,ShortMidRangeAssists,FTDefRebounds,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,DefFTReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,2pt And 1 Free Throw Trips,AtRimPctBlocked,DefLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PtsAssisted3s,ThreePtAssists,Arc3Assists,Assisted3sPct,Arc3PctAssisted,SelfOReb,SelfORebPct,Technical Free Throw Trips,3SecondViolations,SecondChanceAtRimPctAssisted,LongMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,FTOffRebounds,SecondChanceTurnovers,SecondChanceFg3Pct,OffFTReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedShortMidRange,LostBallTurnovers,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,Corner3FGA,PenaltyCorner3FGA,DefCorner3ReboundPct,Corner3Frequency,PenaltyCorner3Frequency,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,Corner3FGM,SecondChanceCorner3FGA,Corner3Assists,Defensive 3 Seconds Violations,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,team_id,year,season,team_vs
1114-121-146-1607-690,1610612753,"Jaren Jackson, Patrick Ewing, Jud Buechler, Troy Hudson, Don Reid","Jackson, Ewing, Buechler, Hudson, Reid",1114-121-146-1607-690,ORL,2.0,1,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2002,2001-02,True
1114-121-1503-1607-1727,1610612753,"Jaren Jackson, Patrick Ewing, Tracy McGrady, Troy Hudson, Pat Garrity","Jackson, Ewing, McGrady, Hudson, Garrity",1114-121-1503-1607-1727,ORL,88.0,1,,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,8.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,130.9090909090909,1.0,9.5,12.5,9.5,12.5,1.0,1.0,1.0,1.0,0.39535,0.39535,1.0,17.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2002,2001-02,True
1114-121-1607-42-690,1610612753,"Jaren Jackson, Patrick Ewing, Troy Hudson, Monty Williams, Don Reid","Jackson, Ewing, Hudson, Williams, Reid",1114-121-1607-42-690,ORL,138.0,2,,1.0,1.0,1.0,2.0,-3.0,5.0,4.0,2.0,1.0,9.0,,1.0,,1.0,3.0,6.0,,,,,,,,,,,,1.0,1.0,,,,,3.0,,2.0,,,,,,,0.5,,,,,,93.91304347826087,,16.6,13.75,16.6,13.75,1.0,,,,0.4047,,,16.6,0.4,3.0,4.0,2.0,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2002,2001-02,True
1114-1607-1727-42-692,1610612753,"Jaren Jackson, Troy Hudson, Pat Garrity, Monty Williams, Andrew DeClercq","Jackson, Hudson, Garrity, Williams, DeClercq",1114-1607-1727-42-692,ORL,29.0,1,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,99.3103448275862,,23.0,6.0,23.0,6.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2002,2001-02,True
121-146-1607-2034-690,1610612753,"Patrick Ewing, Jud Buechler, Troy Hudson, Mike Miller, Don Reid","Ewing, Buechler, Hudson, Miller, Reid",121-146-1607-2034-690,ORL,253.0,1,,1.0,1.0,,4.0,5.0,7.0,6.0,2.0,2.0,13.0,,,2.0,4.0,10.0,5.0,,,5.0,4.0,2.0,2.0,,4.0,3.0,4.0,5.0,,,2.0,2.0,2.0,2.0,9.0,5.0,2.0,1.0,1.0,0.5,,0.7,1.5,0.7142857142857143,1.25,0.75,0.8,0.6666666666666666,1.0,73.99209486166008,1.0,17.857142857142858,21.333333333333332,17.857142857142858,21.333333333333332,,,,,0.477,,0.5,5.5,0.2857142857142857,3.0,4.0,2.0,,0.2857142857142857,0.3333333333333333,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2,0.25,0.5,0.5,1.0,0.5,0.5,1.0,0.4,1.0,1.0,1.0,0.4,0.2,1.0,1.0,1.0,1.0,0.6,1.0,0.1,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2002,2001-02,True
121-146-1607-2034-692,1610612753,"Patrick Ewing, Jud Buechler, Troy Hudson, Mike Miller, Andrew DeClercq","Ewing, Buechler, Hudson, Miller, DeClercq",121-146-1607-2034-692,ORL,77.0,1,,,,,1.0,,2.0,1.0,1.0,1.0,3.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,0.5,1.0,,56.1038961038961,,23.0,31.0,23.0,29.0,0.5,,,,0.296925,0.27555,,18.7,0.5,,,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,0.5,,,,,,,,,,,,,0.5,,,1.0,,0.5,,,27.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2002,2001-02,True
121-146-1607-42-690,1610612753,"Patrick Ewing, Jud Buechler, Troy Hudson, Monty Williams, Don Reid","Ewing, Buechler, Hudson, Williams, Reid",121-146-1607-42-690,ORL,229.0,1,,1.0,2.0,2.0,4.0,-7.0,7.0,8.0,7.0,,15.0,,2.0,1.0,3.0,5.0,12.0,1.0,3.0,5.0,,,,,,1.0,1.0,1.0,1.0,,,,,,5.0,5.0,7.0,,,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,1.0,1.0,1.0,,94.32314410480349,,17.428571428571427,13.375,17.428571428571427,13.375,0.4,,,,0.42824,0.42824,1.0,13.833333333333334,1.0,,,,,,,,,,1.0,1.0,2.0,1.0,2.0,1.0,2.0,,,1.0,2.0,,3.0,2.0,1.0,,,,,,1.0,,,0.5,0.5,0.5,,0.4,,,,,,,,,,,,0.2,0.4,0.5,0.5,0.4,0.5,0.4,0.5,,27.45,,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2002,2001-02,True
121-1503-1607-1727-2034,1610612753,"Patrick Ewing, Tracy McGrady, Troy Hudson, Pat Garrity, Mike Miller","Ewing, McGrady, Hudson, Garrity, Miller",121-1503-1607-1727-2034,ORL,369.0,3,,1.0,3.0,1.0,6.0,2.0,11.0,11.0,6.0,8.0,22.0,2.0,4.0,4.0,7.0,14.0,12.0,2.0,3.0,8.0,6.0,3.0,3.0,1.0,6.0,2.0,4.0,6.0,2.0,1.0,,,,,10.0,8.0,6.0,0.75,0.75,0.5714285714285714,0.6666666666666666,0.5,0.5,0.5833333333333334,0.5714285714285714,1.0,0.75,,1.0,85.85365853658536,,17.818181818181817,15.727272727272727,15.545454545454545,14.454545454545455,0.5,0.5,0.5,0.5,0.46328571428571425,0.5413,0.5714285714285714,10.5,0.5454545454545454,6.0,8.0,3.0,,0.2727272727272727,0.3,2.0,1.0,2.0,1.0,,1.0,,1.0,,1.0,2.0,4.0,,1.0,4.0,,,,,1.0,2.0,1.0,2.0,3.0,1.0,1.0,,,,1.0,0.125,,,0.6666666666666666,0.5,0.6666666666666666,,0.5,0.25,0.5,0.5,1.0,0.125,0.125,,,0.25,,0.375,,0.2857142857142857,67.9,,1.0,2.0,1.0,2.0,2.0,,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.25,1.0,0.3185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2002,2001-02,True
121-1503-1607-1727-353,1610612753,"Patrick Ewing, Tracy McGrady, Troy Hudson, Pat Garrity, Darrell Armstrong","Ewing, McGrady, Hudson, Garrity, Armstrong",121-1503-1607-1727-353,ORL,197.0,2,,,,,3.0,8.0,6.0,6.0,4.0,2.0,12.0,1.0,2.0,4.0,6.0,13.0,5.0,2.0,3.0,8.0,,,,,,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,8.0,8.0,4.0,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8125,0.8,0.5,0.6666666666666666,,,87.71573604060914,,14.166666666666666,18.666666666666668,13.833333333333334,18.666666666666668,0.3333333333333333,0.5,0.5,,0.5222833333333333,0.5177333333333333,0.6153846153846154,7.1499999999999995,0.6666666666666666,5.0,5.0,1.0,,0.16666666666666666,0.16666666666666666,2.0,2.0,3.0,1.0,,,,,,,3.0,5.0,,,4.0,,,,1.0,,2.0,1.0,2.0,1.0,,,,,,1.25,,0.16666666666666666,,1.0,1.0,1.0,,1.0,0.5,0.6666666666666666,1.0,,0.16666666666666666,,,,,,0.5,,0.38461538461538464,,1.0,1.0,8.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,2.0,,1.0,1.0,,1.0,1.0,,0.3333333333333333,1.0,0.618,1.0,1.0,2.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2002,2001-02,True
121-1503-1607-1727-42,1610612753,"Patrick Ewing, Tracy McGrady, Troy Hudson, Pat Garrity, Monty Williams","Ewing, McGrady, Hudson, Garrity, Williams",121-1503-1607-1727-42,ORL,268.0,1,,,,,4.0,-1.0,7.0,7.0,,3.0,14.0,,,2.0,5.0,7.0,8.0,,,,2.0,1.0,2.0,,5.0,2.0,2.0,2.0,,,1.0,1.0,1.0,,7.0,,,0.5,0.5,0.4,,0.5,,0.5,,0.5,0.4,,,75.22388059701493,,19.0,19.285714285714285,19.0,15.285714285714286,,,,,0.4485928571428572,,,3.9,,,,,,,,,1.0,2.0,3.0,1.0,2.0,,,1.0,2.0,,,,,,,2.0,1.0,,,,,,4.0,1.0,,0.5,,0.5,,0.2857142857142857,,,,,,,,0.2857142857142857,0.5,0.5,,0.42857142857142855,0.2857142857142857,0.5,0.5,,,0.5714285714285714,0.5,,25.8,3.0,1.0,2.0,,,,,,0.3333333333333333,0.3333333333333333,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2002,2001-02,True
