EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGA,Arc3FGM,FG3M,PenaltyFG2M,PenaltyPoints,PtsUnassisted3s,NonHeaveArc3FGM,BlockedShortMidRange,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefAtRimReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,NonHeaveArc3Accuracy,PenaltyPointsPct,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3A,PenaltyFtPoints,OffThreePtRebounds,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,SelfORebPct,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyAtRimFGM,LostBallSteals,NonShootingFoulsDrawn,LongMidRangePctBlocked,OffShortMidRangeReboundPct,PenaltyAtRimAccuracy,BadPassOutOfBoundsTurnovers,BadPassTurnovers,Travels,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyFG3M,PtsAssisted3s,ThreePtAssists,Arc3Assists,Clear Path Fouls,Offensive Fouls,Technical Free Throw Trips,Assisted3sPct,PenaltyFg3Pct,DefCorner3ReboundPct,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyArc3Accuracy,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,LostBallOutOfBoundsTurnovers,DefensiveGoaltends,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,BlockedLongMidRange,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3SecondViolations,team_id,year,season,team_vs
133-136-1714-1884-248,1610612766,"David Wesley, P.J. Brown, Robert Traylor, Baron Davis, George Lynch","Wesley, Brown, Traylor, Davis, Lynch",133-136-1714-1884-248,CHH,448.0,1,7.0,6.0,12.0,10.0,2.0,3.0,1.0,22,4.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,6.0,8.0,2.0,5.0,17.0,11.0,1.0,1.0,2.0,1.0,10.0,2.0,2.0,2.0,1.0,5.0,5.0,3.0,1.0,1.0,10.0,1.0,4.0,4.0,1.0,5.0,1.0,3.0,1.0,5.0,1.0,3.0,3.0,3.0,3.0,15.0,2.0,0.8333333333333334,1.0,0.75,1.0,0.6,1.0,0.7083333333333334,1.0,0.2,0.125,0.2,0.4,0.5,0.3333333333333333,0.25,1.0,1.0,0.6,70.71428571428571,13.75,28.3,13.666666666666666,19.8,0.5,0.8,1.0,0.75,0.2,0.5,0.5,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,0.7,0.493445,0.5533,0.2549,0.25,0.3,0.11764705882352941,4.7125,24.85,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2002,2001-02,True
133-136-1714-248-278,1610612766,"David Wesley, P.J. Brown, Robert Traylor, George Lynch, Stacey Augmon","Wesley, Brown, Traylor, Lynch, Augmon",133-136-1714-248-278,CHH,214.0,1,4.0,,7.0,8.0,4.0,8.0,,15,,2.0,,,,,2.0,4.0,1.0,2.0,6.0,1.0,,7.0,7.0,,,,4.0,4.0,,,1.0,1.0,2.0,2.0,,,2.0,4.0,,2.0,2.0,,2.0,,1.0,1.0,,,,1.0,,1.0,7.0,4.0,1.0,1.0,0.3333333333333333,,0.5,,0.5,,0.14285714285714285,0.16666666666666666,0.5,0.6666666666666666,,0.6666666666666666,,,1.0,,100.93457943925233,13.857142857142858,14.625,13.857142857142858,14.625,0.2857142857142857,,,,,,,,0.5714285714285714,0.5,0.5,1.0,0.14285714285714285,,,0.42857142857142855,0.5065428571428571,,0.4341,,,,11.983333333333334,24.3,0.5714285714285714,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.25,0.25,0.25,1.0,1.0,1.0,1.0,0.25,1.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2002,2001-02,True
133-136-1884-1924-2048,1610612766,"David Wesley, P.J. Brown, Baron Davis, Lee Nailon, Jamaal Magloire","Wesley, Brown, Davis, Nailon, Magloire",133-136-1884-1924-2048,CHH,619.0,5,10.0,15.0,20.0,20.0,6.0,12.0,6.0,40,4.0,8.0,1.0,2.0,1.0,2.0,4.0,9.0,2.0,9.0,19.0,3.0,6.0,24.0,9.0,2.0,3.0,6.0,4.0,10.0,8.0,2.0,2.0,3.0,5.0,5.0,2.0,,3.0,10.0,4.0,6.0,9.0,6.0,15.0,1.0,4.0,,7.0,1.0,4.0,1.0,,1.0,18.0,6.0,0.5555555555555556,0.625,0.47368421052631576,0.6666666666666666,0.4090909090909091,0.5,0.48,0.6,0.13636363636363635,0.15789473684210525,0.375,0.8571428571428571,0.4444444444444444,0.8888888888888888,0.45454545454545453,1.0,0.6666666666666666,1.0,93.05331179321486,14.55,16.4,13.55,16.1,0.36363636363636365,0.5,0.8,0.5,0.09090909090909091,0.5,0.5,,0.4090909090909091,0.4444444444444444,0.4444444444444444,0.75,0.09090909090909091,0.5,0.5,0.5,0.5063428571428572,0.6001500000000001,0.52321,0.16,0.18181818181818182,0.25,9.910526315789474,28.0,0.3,2.0,,,1.0,4.0,,,1.0,,4.0,2.0,,,0.25,0.16666666666666666,0.2857142857142857,1.0,,,,0.3333333333333333,,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,0.5,0.2,1.0,1.0,0.2222222222222222,0.045454545454545456,0.25,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2002,2001-02,True
133-136-1884-1924-248,1610612766,"David Wesley, P.J. Brown, Baron Davis, Lee Nailon, George Lynch","Wesley, Brown, Davis, Nailon, Lynch",133-136-1884-1924-248,CHH,348.0,2,6.0,,14.0,13.0,14.0,13.0,2.0,27,2.0,3.0,1.0,1.0,,2.0,,2.0,4.0,2.0,7.0,4.0,8.0,12.0,12.0,1.0,1.0,4.0,7.0,,4.0,2.0,4.0,1.0,,,,,,,2.0,3.0,3.0,2.0,5.0,,2.0,,8.0,,2.0,2.0,1.0,2.0,8.0,14.0,,,0.2857142857142857,1.0,0.18181818181818182,1.0,0.4,1.0,0.36363636363636365,0.14285714285714285,,0.75,0.4,0.75,0.2222222222222222,,0.5,1.0,111.72413793103449,11.071428571428571,14.846153846153847,10.571428571428571,14.538461538461538,0.2727272727272727,0.6666666666666666,0.6666666666666666,,0.18181818181818182,,,,0.18181818181818182,,,,0.36363636363636365,1.0,1.0,0.6363636363636364,0.5107772727272727,0.4841,0.5107772727272727,0.15384615384615385,0.2222222222222222,0.3333333333333333,6.014285714285714,25.075,1.0,3.0,,,2.0,12.0,,,1.0,2.0,12.0,2.0,,,0.2857142857142857,0.18181818181818182,0.4,1.0,1.0,,,0.2727272727272727,,1.0,,,,4.0,,2.0,4.0,8.0,,,,,1.0,3.0,2.0,,1.0,,1.0,,1.0,,,,,,,,,0.125,,,,0.36363636363636365,2.0,1.0,2.0,0.5,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2002,2001-02,True
133-136-1884-1924-922,1610612766,"David Wesley, P.J. Brown, Baron Davis, Lee Nailon, Elden Campbell","Wesley, Brown, Davis, Nailon, Campbell",133-136-1884-1924-922,CHH,1628.0,5,27.0,-2.0,45.0,46.0,4.0,8.0,6.0,91,8.0,11.0,2.0,3.0,3.0,7.0,8.0,21.0,2.0,19.0,39.0,3.0,7.0,45.0,47.0,2.0,7.0,6.0,2.0,22.0,16.0,2.0,2.0,5.0,11.0,11.0,5.0,1.0,5.0,22.0,6.0,14.0,18.0,8.0,26.0,4.0,8.0,,8.0,2.0,4.0,2.0,2.0,2.0,39.0,4.0,0.5789473684210527,0.6111111111111112,0.48717948717948717,0.2857142857142857,0.4523809523809524,0.2857142857142857,0.5,0.375,0.07142857142857142,0.1282051282051282,0.18181818181818182,0.6363636363636364,0.3,0.6521739130434783,0.30434782608695654,0.6666666666666666,0.5,0.6363636363636364,80.4914004914005,17.022222222222222,18.73913043478261,16.31111111111111,17.369565217391305,0.2619047619047619,0.7272727272727273,0.8888888888888888,0.625,0.16666666666666666,0.42857142857142855,0.6,0.3333333333333333,0.5,0.38095238095238093,0.4,0.625,0.047619047619047616,0.42857142857142855,0.6666666666666666,0.3333333333333333,0.4581559523809524,0.4673833333333333,0.6668,0.09090909090909091,0.0975609756097561,0.13333333333333333,10.984615384615385,24.666666666666668,0.08888888888888889,2.0,,,1.0,4.0,,,,2.0,4.0,,,,0.5,0.5,0.6666666666666666,0.7142857142857143,1.0,,,1.0,,0.08888888888888889,1.0,,,,,2.0,,2.0,1.0,1.0,1.0,3.0,,2.0,2.0,4.0,3.0,2.0,7.0,,1.0,0.5714285714285714,1.0,0.5,1.0,0.3333333333333333,0.23076923076923078,0.5,1.0,,0.023809523809523808,,,,1.0,,1.0,0.047619047619047616,0.25,0.5,1.0,2.0,1.0,1.0,0.2857142857142857,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2002,2001-02,True
133-136-1884-2048-248,1610612766,"David Wesley, P.J. Brown, Baron Davis, Jamaal Magloire, George Lynch","Wesley, Brown, Davis, Magloire, Lynch",133-136-1884-2048-248,CHH,2870.0,8,48.0,-11.0,96.0,97.0,43.0,72.0,11.0,193,14.0,23.0,3.0,5.0,5.0,10.0,11.0,27.0,12.0,30.0,60.0,14.0,29.0,95.0,106.0,3.0,5.0,10.0,24.0,40.0,20.0,2.0,12.0,4.0,20.0,22.0,8.0,4.0,8.0,46.0,10.0,18.0,28.0,11.0,39.0,14.0,34.0,5.0,37.0,2.0,11.0,4.0,3.0,4.0,85.0,43.0,0.6666666666666666,0.6896551724137931,0.5,0.6,0.44594594594594594,0.5,0.5164835164835165,0.625,0.1891891891891892,0.06666666666666667,0.13043478260869565,0.5806451612903226,0.3333333333333333,0.5384615384615384,0.2682926829268293,0.1111111111111111,0.5,0.6153846153846154,96.8362369337979,14.552083333333334,15.185567010309278,14.208333333333334,14.371134020618557,0.3108108108108108,0.6086956521739131,0.7,0.5714285714285714,0.13513513513513514,0.5,0.5555555555555556,0.8,0.36486486486486486,0.4074074074074074,0.4074074074074074,0.7272727272727273,0.16216216216216217,0.8333333333333334,0.6,0.5,0.4874209459459459,0.5691416666666667,0.47864193548387096,0.13253012048192772,0.15942028985507245,0.10526315789473684,9.453333333333335,24.87142857142857,0.4479166666666667,9.0,2.0,2.0,12.0,45.0,,2.0,1.0,,45.0,12.0,0.14285714285714285,0.14285714285714285,0.5,0.43548387096774194,0.5487804878048781,0.5833333333333334,,0.16666666666666666,0.16666666666666666,0.2903225806451613,0.16666666666666666,0.47368421052631576,2.0,,1.0,6.0,1.0,4.0,7.0,18.0,1.0,,3.0,7.0,3.0,6.0,5.0,12.0,5.0,6.0,17.0,3.0,9.0,0.7058823529411765,1.0,,0.375,0.09090909090909091,0.375,0.1111111111111111,0.5,0.08108108108108109,0.02702702702702703,,0.03225806451612903,0.1935483870967742,6.0,1.0,8.0,,0.6,0.6666666666666666,1.0,6.0,1.0,,0.1,0.6666666666666666,1.0,1.0,1.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.25,1.0,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,1610612766,2002,2001-02,True
133-136-1884-2048-278,1610612766,"David Wesley, P.J. Brown, Baron Davis, Jamaal Magloire, Stacey Augmon","Wesley, Brown, Davis, Magloire, Augmon",133-136-1884-2048-278,CHH,1276.0,2,21.0,-23.0,38.0,39.0,13.0,24.0,7.0,77,2.0,9.0,1.0,2.0,3.0,5.0,2.0,8.0,7.0,7.0,22.0,9.0,13.0,36.0,59.0,1.0,3.0,6.0,5.0,8.0,6.0,,7.0,4.0,4.0,7.0,1.0,1.0,2.0,17.0,4.0,7.0,8.0,6.0,14.0,9.0,14.0,,18.0,,4.0,1.0,,1.0,30.0,13.0,0.5714285714285714,0.5714285714285714,0.3181818181818182,0.3333333333333333,0.3709677419354839,0.25,0.45,0.42857142857142855,0.2903225806451613,0.18181818181818182,0.3333333333333333,0.7,0.26666666666666666,0.7272727272727273,0.2857142857142857,0.42857142857142855,0.8,0.5,86.89655172413794,16.36842105263158,16.76923076923077,15.368421052631579,16.256410256410255,0.2903225806451613,0.2222222222222222,0.3333333333333333,0.5,0.16129032258064516,0.6,0.75,0.3333333333333333,0.25806451612903225,0.25,0.25,1.0,0.22580645161290322,0.5,0.5,0.5806451612903226,0.48009193548387097,0.4567666666666667,0.5143428571428571,0.11428571428571428,0.15384615384615385,0.16666666666666666,8.781818181818181,24.733333333333334,0.34210526315789475,4.0,2.0,3.0,1.0,13.0,,2.0,1.0,1.0,13.0,4.0,0.3333333333333333,0.3333333333333333,0.2,0.35714285714285715,0.5416666666666666,1.0,1.0,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.3611111111111111,2.0,1.0,,2.0,1.0,4.0,2.0,8.0,2.0,,1.0,,,1.0,,5.0,,3.0,5.0,,2.0,1.0,,,1.0,0.3333333333333333,0.16666666666666666,0.4,1.0,,0.06451612903225806,0.25,,0.2857142857142857,1.0,1.0,5.0,,,0.25,,2.0,,1.0,0.2,1.0,,1.0,1.0,9.0,3.0,2.0,,,,1.0,0.5,,1.0,,0.5,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,1610612766,2002,2001-02,True
133-136-1884-248-278,1610612766,"David Wesley, P.J. Brown, Baron Davis, George Lynch, Stacey Augmon","Wesley, Brown, Davis, Lynch, Augmon",133-136-1884-248-278,CHH,103.0,3,2.0,-2.0,7.0,4.0,7.0,4.0,1.0,11,1.0,1.0,,,,1.0,,2.0,,1.0,4.0,,3.0,5.0,7.0,,,,4.0,,2.0,,,,,,,,,,1.0,,,1.0,1.0,1.0,2.0,,4.0,,1.0,,,,5.0,7.0,,,0.25,,0.25,,0.4166666666666667,,,,,,0.5,,0.5,,,,153.7864077669903,9.571428571428571,9.0,8.714285714285714,9.0,0.25,1.0,1.0,,0.25,,,,0.5,,,,,,,0.25,0.346875,,0.346875,0.2,0.2,,10.975,,1.0,1.0,,,1.0,5.0,,,,,5.0,1.0,,,0.25,0.25,0.4166666666666667,,,,,0.25,,1.0,,,,,,,,3.0,,,,,,,,2.0,,1.0,2.0,1.0,2.0,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2002,2001-02,True
133-136-1884-248-922,1610612766,"David Wesley, P.J. Brown, Baron Davis, George Lynch, Elden Campbell","Wesley, Brown, Davis, Lynch, Campbell",133-136-1884-248-922,CHH,8332.0,8,139.0,7.0,257.0,257.0,44.0,45.0,33.0,514,42.0,80.0,10.0,17.0,20.0,39.0,31.0,73.0,38.0,93.0,192.0,45.0,31.0,262.0,255.0,17.0,31.0,43.0,24.0,130.0,56.0,20.0,38.0,22.0,65.0,80.0,27.0,13.0,25.0,175.0,30.0,79.0,103.0,39.0,142.0,29.0,63.0,5.0,44.0,4.0,16.0,15.0,12.0,15.0,219.0,44.0,0.6989247311827957,0.7831325301204819,0.484375,0.5483870967741935,0.4873417721518987,0.5714285714285714,0.5058823529411764,0.581081081081081,0.189873417721519,0.11458333333333333,0.2125,0.6810344827586207,0.30303030303030304,0.6993006993006993,0.3046875,0.39473684210526316,0.7419354838709677,0.7619047619047619,88.83341334613537,15.190661478599221,17.229571984435797,14.431906614785992,16.36964980544747,0.33755274261603374,0.525,0.6666666666666666,0.6428571428571429,0.16455696202531644,0.5128205128205128,0.5714285714285714,0.65,0.3080168776371308,0.4246575342465753,0.4305555555555556,0.8064516129032258,0.16033755274261605,0.4857142857142857,0.5882352941176471,0.5274261603375527,0.4936238396624473,0.48840576923076917,0.47713648648648654,0.0642570281124498,0.0784313725490196,0.16412213740458015,8.598958333333334,24.92888888888889,0.17120622568093385,8.0,11.0,15.0,8.0,42.0,,11.0,3.0,8.0,42.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33783783783783783,0.43617021276595747,0.5581395348837209,0.5333333333333333,0.2894736842105263,0.2894736842105263,0.21621621621621623,0.2894736842105263,0.16030534351145037,7.0,1.0,3.0,10.0,4.0,3.0,13.0,17.0,9.0,,21.0,3.0,1.0,10.0,6.0,27.0,15.0,13.0,42.0,2.0,4.0,0.6428571428571429,0.75,,0.7777777777777778,0.3103448275862069,0.21428571428571427,0.3076923076923077,0.7619047619047619,0.009433962264150943,0.029535864978902954,0.02857142857142857,0.08108108108108109,0.2702702702702703,4.0,4.0,6.0,0.0136986301369863,0.3157894736842105,0.5,6.0,14.0,,,0.10256410256410256,0.1,3.0,2.0,3.0,45.0,15.0,11.0,,5.0,4.0,1.0,0.23076923076923078,0.8333333333333334,1.0,0.08571428571428572,0.2,4.0,4.0,0.5714285714285714,0.5714285714285714,1.0,1.0,2.0,2.0,3.0,2.0,0.5,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,,,,,,1610612766,2002,2001-02,True
133-136-1884-278-922,1610612766,"David Wesley, P.J. Brown, Baron Davis, Stacey Augmon, Elden Campbell","Wesley, Brown, Davis, Augmon, Campbell",133-136-1884-278-922,CHH,1134.0,6,19.0,6.0,36.0,33.0,22.0,15.0,5.0,69,3.0,6.0,3.0,5.0,2.0,9.0,5.0,13.0,3.0,10.0,28.0,4.0,13.0,39.0,33.0,4.0,8.0,10.0,20.0,8.0,12.0,4.0,3.0,2.0,4.0,5.0,,1.0,3.0,11.0,9.0,13.0,14.0,9.0,23.0,4.0,12.0,,14.0,,3.0,1.0,1.0,1.0,29.0,22.0,0.4,0.5,0.35714285714285715,0.5,0.40625,0.5,0.5,0.5555555555555556,0.125,0.07142857142857142,0.16666666666666666,0.8666666666666667,0.5294117647058824,0.875,0.47368421052631576,1.0,0.75,0.8888888888888888,87.61904761904762,14.833333333333334,18.181818181818183,13.61111111111111,17.515151515151516,0.1875,0.5,0.6,,0.28125,0.2222222222222222,0.2222222222222222,0.5,0.40625,0.38461538461538464,0.4166666666666667,0.6,0.09375,0.625,0.6,0.3125,0.4398484375,0.49205,0.4475318181818182,0.08571428571428572,0.0967741935483871,0.2564102564102564,10.657142857142857,24.35,0.6111111111111112,6.0,2.0,2.0,7.0,29.0,3.0,2.0,,1.0,29.0,1.0,0.5,0.5,0.35,0.45454545454545453,0.5370370370370371,1.0,1.0,0.6666666666666666,0.6666666666666666,0.2727272727272727,0.6666666666666666,0.7435897435897436,1.0,,,2.0,,2.0,2.0,9.0,,,1.0,,,1.0,,3.0,2.0,2.0,5.0,,3.0,0.6,,,1.0,,0.2857142857142857,,1.0,,0.03125,,,0.09090909090909091,3.0,1.0,4.0,0.07692307692307693,0.5714285714285714,0.5,,1.0,1.0,,,,,2.0,2.0,3.0,1.0,1.0,,1.0,,0.5,1.0,,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,1610612766,2002,2001-02,True
