EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,PenaltyFG3A,NonHeaveArc3FGA,DefThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,LiveBallTurnoverPct,DefThreePtReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,SecondChanceFG2M,SecondChancePoints,Fg2aBlocked,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,FTOffRebounds,LostBallTurnovers,SecondChanceTurnovers,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimPctAssisted,LongMidRangePctAssisted,SecondChancePointsPct,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,NonHeaveArc3FGM,Arc3Assists,FTDefRebounds,Loose Ball Fouls,BlockedShortMidRange,SecondChanceFg3Pct,PenaltyFg3Pct,DefFTReboundPct,OffCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Steals,BadPassSteals,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LongMidRangePctBlocked,SecondChanceAtRimFGM,PtsPutbacks,SecondChanceAtRimAccuracy,DefensiveGoaltends,PenaltyCorner3FGM,PenaltyCorner3Accuracy,LostBallSteals,Travels,DefCorner3ReboundPct,SecondChanceFtPoints,SecondChanceAtRimPctAssisted,Offensive Fouls,SecondChanceCorner3FGA,HeaveAttempts,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,Fg3aBlocked,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,3SecondViolations,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,OffensiveGoaltends,team_id,year,season,team_vs
1043-120-1477-1495-1498,1610612759,"Amal McCaskill, Steven Smith, Bruce Bowen, Tim Duncan, Antonio Daniels","McCaskill, Smith, Bowen, Duncan, Daniels",1043-120-1477-1495-1498,SAS,245.0,1,4.0,4.0,7.0,6.0,4.0,4.0,1.0,13.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,6.0,1.0,1.0,5.0,14.0,10.0,2.0,2.0,2.0,5.0,9.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,14.0,9.0,4.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,0.6428571428571429,1.0,0.7777777777777778,1.125,0.14285714285714285,0.5,0.6666666666666666,0.5,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,76.40816326530613,17.0,21.0,15.571428571428571,18.333333333333332,0.14285714285714285,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,0.2857142857142857,0.5,0.5,0.14285714285714285,1.0,1.0,1.0,0.5,0.2857142857142857,0.44058571428571425,0.48675,0.36505,0.14285714285714285,0.16666666666666666,0.6428571428571429,9.5,23.8,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2002,2001-02,False
1043-120-1477-1495-2225,1610612759,"Amal McCaskill, Steven Smith, Bruce Bowen, Tim Duncan, Tony Parker","McCaskill, Smith, Bowen, Duncan, Parker",1043-120-1477-1495-2225,SAS,212.0,2,4.0,-5.0,7.0,7.0,5.0,5.0,,14.0,2.0,,,2.0,,,,,1.0,4.0,,1.0,2.0,4.0,9.0,,1.0,2.0,2.0,4.0,,2.0,,,,,,,,,2.0,3.0,,3.0,,2.0,2.0,2.0,,,1.0,,4.0,4.0,5.0,,,,,,,0.25,0.5,0.2,0.3333333333333333,0.3333333333333333,0.5,0.2,0.2857142857142857,,0.375,,,,,,95.09433962264151,15.0,15.285714285714286,15.0,11.285714285714286,0.4,0.4,,,,,,,,,,,,0.6,0.51112,,0.5457666666666666,,,1.0,5.15,24.9,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.5,0.2,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2002,2001-02,False
1043-120-1477-1495-345,1610612759,"Amal McCaskill, Steven Smith, Bruce Bowen, Tim Duncan, Terry Porter","McCaskill, Smith, Bowen, Duncan, Porter",1043-120-1477-1495-345,SAS,488.0,2,8.0,9.0,14.0,15.0,4.0,4.0,3.0,29.0,6.0,1.0,,2.0,3.0,3.0,1.0,1.0,6.0,11.0,1.0,2.0,1.0,16.0,7.0,2.0,,3.0,,,6.0,6.0,3.0,3.0,1.0,4.0,1.0,,9.0,1.0,9.0,10.0,3.0,13.0,,,3.0,2.0,,1.0,,,14.0,,4.0,,0.5,0.5,1.0,0.5,0.5,0.5454545454545454,,0.5769230769230769,,0.5714285714285714,,0.15384615384615385,0.8181818181818182,0.2,0.7692307692307693,0.3333333333333333,,,0.5,,85.57377049180329,15.642857142857142,17.933333333333334,14.214285714285714,17.066666666666666,0.46153846153846156,0.15384615384615385,,,,0.23076923076923078,1.0,1.0,0.07692307692307693,1.0,1.0,1.0,0.5,0.6153846153846154,0.5257153846153846,0.5021,0.5525,0.07142857142857142,0.08333333333333333,,6.672727272727273,24.15,0.2857142857142857,3.0,,2.0,1.0,,,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,,1.0,1.0,0.5,0.8,0.5,0.5,0.6,0.07692307692307693,0.6666666666666666,,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.18181818181818182,0.16666666666666666,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2002,2001-02,False
1043-120-1477-1498-764,1610612759,"Amal McCaskill, Steven Smith, Bruce Bowen, Antonio Daniels, David Robinson","McCaskill, Smith, Bowen, Daniels, Robinson",1043-120-1477-1498-764,SAS,156.0,2,3.0,-6.0,6.0,8.0,6.0,8.0,1.0,14.0,1.0,,,1.0,1.0,3.0,,1.0,1.0,5.0,1.0,2.0,,5.0,11.0,,1.0,5.0,,5.0,2.0,,3.0,1.0,1.0,2.0,,,5.0,,3.0,4.0,1.0,5.0,,1.0,2.0,,,,,,2.0,5.0,6.0,1.0,1.0,1.0,1.0,0.5,0.5,0.2,0.2,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.2857142857142857,1.0,,1.0,0.2,,,1.0,,129.23076923076923,11.666666666666666,10.75,11.166666666666666,10.75,0.14285714285714285,0.14285714285714285,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.14285714285714285,,,,,0.42857142857142855,0.5107,,0.5107,,,1.0,14.459999999999999,23.7,1.0,,,1.0,1.0,1.0,2.0,1.0,,,,,,2.0,1.0,,2.0,,,1.0,,,,0.14285714285714285,0.14285714285714285,,0.14285714285714285,,3.0,,,1.0,1.0,,,,2.0,,1.5,1.5,,,,,1.0,,,1.0,1.0,,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2002,2001-02,False
1043-120-1477-2225-990,1610612759,"Amal McCaskill, Steven Smith, Bruce Bowen, Tony Parker, Malik Rose","McCaskill, Smith, Bowen, Parker, Rose",1043-120-1477-2225-990,SAS,26.0,1,,-2.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,110.76923076923076,11.0,15.0,11.0,15.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2002,2001-02,False
1043-120-1495-1498-1520,1610612759,"Amal McCaskill, Steven Smith, Tim Duncan, Antonio Daniels, Charles Smith","McCaskill, Smith, Duncan, Daniels, Smith",1043-120-1495-1498-1520,SAS,113.0,1,2.0,-1.0,2.0,3.0,,,1.0,5.0,,,1.0,3.0,,,,,1.0,3.0,,,1.0,3.0,4.0,2.0,,,,,2.0,,,1.0,,1.0,,1.0,2.0,2.0,,,2.0,2.0,,1.0,2.0,2.0,,1.0,,,1.0,,,,1.0,1.0,,,,0.3333333333333333,,0.3333333333333333,,0.375,,,,1.0,,1.0,1.0,,,,63.716814159292035,23.5,22.0,18.0,18.333333333333332,,1.0,0.3333333333333333,0.5,1.0,,,,,,,,,,0.3900666666666666,0.3908,,0.25,0.25,,8.133333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,0.5,0.5,0.5,0.3333333333333333,,0.3333333333333333,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2002,2001-02,False
1043-120-1495-1498-1536,1610612759,"Amal McCaskill, Steven Smith, Tim Duncan, Antonio Daniels, Stephen Jackson","McCaskill, Smith, Duncan, Daniels, Jackson",1043-120-1495-1498-1536,SAS,266.0,1,4.0,-3.0,8.0,8.0,,1.0,3.0,16.0,3.0,1.0,,2.0,,4.0,1.0,1.0,1.0,9.0,1.0,2.0,,5.0,8.0,2.0,,,,,,2.0,3.0,,1.0,1.0,1.0,,3.0,3.0,3.0,3.0,3.0,6.0,1.0,,1.0,,,,,,5.0,,,,,,1.0,0.5,0.5,0.1111111111111111,,0.22727272727272727,,0.22727272727272727,,0.18181818181818182,1.0,0.375,1.0,0.375,,0.5,,0.125,86.61654135338345,16.25,17.0,14.75,17.0,0.2727272727272727,0.18181818181818182,,,,0.36363636363636365,,,0.09090909090909091,1.0,1.0,1.0,0.3333333333333333,0.45454545454545453,0.4773545454545454,0.45421666666666666,,,,,10.355555555555556,24.05,,1.0,,,1.0,,,1.0,,,,,,,,,,,,1.0,,0.3333333333333333,0.3333333333333333,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,0.3333333333333333,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2002,2001-02,False
1043-120-1495-1498-2225,1610612759,"Amal McCaskill, Steven Smith, Tim Duncan, Antonio Daniels, Tony Parker","McCaskill, Smith, Duncan, Daniels, Parker",1043-120-1495-1498-2225,SAS,121.0,1,2.0,-2.0,5.0,6.0,5.0,6.0,,11.0,,,,,,,,,,,1.0,1.0,1.0,4.0,6.0,,,,1.0,4.0,,,,,,,,,,,1.0,2.0,,2.0,,,,2.0,,1.0,,,4.0,4.0,5.0,,,,,1.0,1.0,,,1.5,1.5,1.0,1.0,1.0,0.3333333333333333,,0.5,,,,1.0,,130.9090909090909,12.6,9.666666666666666,12.6,8.166666666666666,,,,,,,,,,,,,,1.0,,,,0.5,1.0,1.0,,39.9,1.0,,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,,,,,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,1.0,,,1.0,1.0,,,,,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2002,2001-02,False
1043-120-1495-1498-345,1610612759,"Amal McCaskill, Steven Smith, Tim Duncan, Antonio Daniels, Terry Porter","McCaskill, Smith, Duncan, Daniels, Porter",1043-120-1495-1498-345,SAS,110.0,1,2.0,4.0,4.0,3.0,4.0,,,7.0,1.0,,,1.0,,,,,1.0,2.0,1.0,1.0,1.0,6.0,2.0,,1.0,2.0,1.0,6.0,,2.0,3.0,,1.0,1.0,,,3.0,,,,,,,,,2.0,,1.0,,,6.0,6.0,4.0,,,,1.0,1.0,1.0,0.5,0.5,0.8333333333333334,0.8333333333333334,0.75,0.75,0.3333333333333333,,,,,,,,,91.63636363636364,12.75,19.666666666666668,12.75,19.666666666666668,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,0.6666666666666666,0.4264666666666667,,0.4264666666666667,0.25,0.3333333333333333,1.0,8.15,25.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2002,2001-02,False
1043-120-1495-1520-2225,1610612759,"Amal McCaskill, Steven Smith, Tim Duncan, Charles Smith, Tony Parker","McCaskill, Smith, Duncan, Smith, Parker",1043-120-1495-1520-2225,SAS,72.0,1,1.0,,2.0,2.0,2.0,2.0,1.0,4.0,1.0,,,1.0,,,,,,2.0,,1.0,,,,,,2.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,0.3333333333333333,0.5,0.5,0.5,0.3333333333333333,,,,,80.0,24.5,11.5,14.0,11.5,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,0.6666666666666666,0.4149,0.4971,0.4149,,,,4.8,25.5,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2002,2001-02,False
