EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,ShootingFouls,Fouls,FTA,NonShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyOffPossPct,Minutes,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,Offensive Fouls,TwoPtShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGA,Fg2aBlocked,Fg3aBlocked,ThreePtAssists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,SecondChanceTurnovers,Blocked2s,BlockedAtRim,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,NonHeaveArc3FGM,LostBallTurnovers,PenaltyTurnovers,Loose Ball Fouls,Technical Free Throw Trips,BlockedLongMidRange,PenaltyPointsExcludingTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,OffAtRimReboundPct,SecondChanceAtRimPctAssisted,HeaveAttempts,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,PtsPutbacks,Arc3Assists,OffThreePtRebounds,SelfOReb,BadPassSteals,2pt And 1 Free Throw Trips,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,OffThreePtReboundPct,OffArc3ReboundPct,SelfORebPct,Arc3PctAssisted,SecondChanceArc3Frequency,LostBallOutOfBoundsTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3M,FTOffRebounds,FTDefRebounds,SecondChanceFg3Pct,DefFTReboundPct,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,DefCorner3ReboundPct,LongMidRangePctBlocked,Clear Path Fouls,Travels,SecondChanceArc3FGM,OffCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,BlockedCorner3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3SecondViolations,Defensive 3 Seconds Violations,OffensiveGoaltends,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
145-1541-1565-164-1721,1610612761,"Tracy Murray, Alvin Williams, Michael Stewart, Chris Childs, Keon Clark","Murray, Williams, Stewart, Childs, Clark",145-1541-1565-164-1721,TOR,21.0,1,-2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,137.14285714285714,9.0,12.0,9.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2002,2001-02,True
145-1541-1565-1721-1983,1610612761,"Tracy Murray, Alvin Williams, Michael Stewart, Keon Clark, Jermaine Jackson","Murray, Williams, Stewart, Clark, Jackson",145-1541-1565-1721-1983,TOR,310.0,1,4.0,10.0,9.0,,,19.0,5.0,1.0,2.0,2.0,,,88.25806451612902,12.6,20.444444444444443,12.6,20.0,,5.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,6.0,1.0,9.0,4.0,4.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,9.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6428571428571429,0.3333333333333333,0.8333333333333334,0.7142857142857143,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.47815,0.14285714285714285,0.14285714285714285,11.033333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2002,2001-02,True
145-1541-164-165-1713,1610612761,"Tracy Murray, Alvin Williams, Chris Childs, Hakeem Olajuwon, Vince Carter","Murray, Williams, Childs, Olajuwon, Carter",145-1541-164-165-1713,TOR,4.0,1,-3.0,,1.0,,1.0,1.0,3.0,,,,,,360.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2002,2001-02,True
145-1541-164-165-1721,1610612761,"Tracy Murray, Alvin Williams, Chris Childs, Hakeem Olajuwon, Keon Clark","Murray, Williams, Childs, Olajuwon, Clark",145-1541-164-165-1721,TOR,551.0,4,6.0,14.0,15.0,,,29.0,12.0,1.0,1.0,2.0,,,75.78947368421052,21.285714285714285,16.866666666666667,18.214285714285715,16.133333333333333,,9.0,2.0,3.0,2.0,6.0,1.0,2.0,5.0,11.0,2.0,18.0,4.0,6.0,2.0,4.0,,10.0,3.0,4.0,8.0,1.0,1.0,,3.0,,3.0,3.0,,1.0,,,1.0,14.0,0.4,0.4,0.45454545454545453,0.5714285714285714,0.6,,0.75,0.8,1.0,,0.5,0.21428571428571427,0.6666666666666666,1.0,,0.42857142857142855,0.3333333333333333,0.4,0.14285714285714285,0.5,0.5,0.42857142857142855,0.46032142857142855,0.06666666666666667,0.08333333333333333,8.027272727272727,4.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,6.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.21428571428571427,0.3333333333333333,0.18181818181818182,0.3333333333333333,0.16666666666666666,1.0,0.6666666666666666,1.0,0.5714285714285714,0.75,1.0,1.0,1.0,0.5,1.0,0.14285714285714285,1.0,1.0,1.0,0.07142857142857142,0.6666666666666666,0.5,0.5184333333333333,0.2222222222222222,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2002,2001-02,True
145-1541-164-165-213,1610612761,"Tracy Murray, Alvin Williams, Chris Childs, Hakeem Olajuwon, Antonio Davis","Murray, Williams, Childs, Olajuwon, Davis",145-1541-164-165-213,TOR,318.0,2,2.0,12.0,11.0,10.0,4.0,23.0,13.0,1.0,4.0,3.0,,10.0,104.15094339622642,12.166666666666666,15.636363636363637,12.166666666666666,15.636363636363637,0.8333333333333334,5.0,1.0,1.0,2.0,4.0,,,3.0,5.0,3.0,15.0,4.0,2.0,2.0,2.0,1.0,4.0,3.0,4.0,4.0,,,3.0,,2.0,1.0,4.0,1.0,1.0,,,1.0,15.0,0.6666666666666666,0.6666666666666666,0.6,0.8571428571428571,0.875,0.75,1.0,1.0,,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.5714285714285714,0.5,0.5,,,,0.42857142857142855,0.4556428571428571,0.125,0.16666666666666666,6.0200000000000005,,,,,,2.0,2.0,2.0,,,,,2.0,,,,,1.0,,,1.0,,,1.0,,1.0,,1.0,1.0,,,,0.2857142857142857,,,,,,,1.0,,,,1.0,1.0,0.5,,,,,,0.2857142857142857,,,,,26.05,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,12.0,6.0,2.0,1.0,3.0,1.0,1.0,1.0,12.0,1.0,0.5,0.8333333333333334,0.8571428571428571,1.0,1.0,0.16666666666666666,1.0,0.3333333333333333,1.0,1.0,0.47078333333333333,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2002,2001-02,True
145-1541-164-165-966,1610612761,"Tracy Murray, Alvin Williams, Chris Childs, Hakeem Olajuwon, Jerome Williams","Murray, Williams, Childs, Olajuwon, Williams",145-1541-164-165-966,TOR,265.0,3,4.0,8.0,7.0,4.0,2.0,15.0,6.0,,1.0,6.0,1.0,4.0,81.50943396226414,14.75,21.0,13.75,20.428571428571427,0.5,4.0,1.0,3.0,,,2.0,3.0,3.0,6.0,4.0,10.0,6.0,,3.0,3.0,1.0,6.0,3.0,4.0,6.0,,,,,,1.0,1.0,1.0,2.0,,,,8.0,1.0,1.0,0.5,0.5,0.5555555555555556,,0.75,0.8,1.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,1.0,,,,0.5,0.6666666666666666,0.6666666666666666,0.5,0.43298333333333333,0.25,0.25,9.1,1.0,1.0,2.0,,,,,,1.0,2.0,2.0,,,,,,,,2.0,2.0,1.0,2.0,,,,,,,,0.5,0.5,0.5,,,,,,,0.6666666666666666,1.0,0.6666666666666666,,1.0,1.0,,,1.0,,,,,,1.0,0.5,0.5462,0.2,,,1.0,,,,1.0,2.0,,,2.0,4.0,,,,,,,,4.0,,0.5,0.5,0.5,,,0.5,,,,,0.3997,0.4,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2002,2001-02,True
145-1541-164-1713-1721,1610612761,"Tracy Murray, Alvin Williams, Chris Childs, Vince Carter, Keon Clark","Murray, Williams, Childs, Carter, Clark",145-1541-164-1713-1721,TOR,23.0,1,,,1.0,,1.0,1.0,,,,,,,62.60869565217391,,23.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2002,2001-02,True
145-1541-164-1713-209,1610612761,"Tracy Murray, Alvin Williams, Chris Childs, Vince Carter, Dell Curry","Murray, Williams, Childs, Carter, Curry",145-1541-164-1713-209,TOR,1.0,1,-3.0,,1.0,,1.0,1.0,3.0,1.0,1.0,,,,1440.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2002,2001-02,True
145-1541-164-1713-213,1610612761,"Tracy Murray, Alvin Williams, Chris Childs, Vince Carter, Antonio Davis","Murray, Williams, Childs, Carter, Davis",145-1541-164-1713-213,TOR,25.0,2,-4.0,,2.0,,2.0,2.0,4.0,,1.0,,,,115.19999999999999,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,66.1,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2002,2001-02,True
145-1541-164-1721-1983,1610612761,"Tracy Murray, Alvin Williams, Chris Childs, Keon Clark, Jermaine Jackson","Murray, Williams, Childs, Clark, Jackson",145-1541-164-1721-1983,TOR,15.0,1,2.0,1.0,,1.0,,1.0,,,,,,1.0,96.0,15.0,,15.0,,1.0,,1.0,1.0,,,,,1.0,1.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,0.3946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,2.0,,,,,,,,2.0,,1.0,1.0,1.0,,,1.0,1.0,,,,0.3946,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2002,2001-02,True
